Sample ID	Strain	Strategy	Carbon Sources	Temperature	Time	Study Title	Series Accession	Related Sample
mt001001	WT		Barley	34°		Transcriptomic response to substrate and temperature in two thermophilic fungi, Myceliophthora thermophila and Thielavia terrestris, and a related mesophile, Chaetomium globosum	GSE27323	GSM675519
mt001002	WT		Barley	45°		Transcriptomic response to substrate and temperature in two thermophilic fungi, Myceliophthora thermophila and Thielavia terrestris, and a related mesophile, Chaetomium globosum	GSE27323	GSM675520,GSM675523
mt001003	WT		Glucose	34°		Transcriptomic response to substrate and temperature in two thermophilic fungi, Myceliophthora thermophila and Thielavia terrestris, and a related mesophile, Chaetomium globosum	GSE27323	GSM675524,GSM675525
mt001004	WT		Glucose	45°		Transcriptomic response to substrate and temperature in two thermophilic fungi, Myceliophthora thermophila and Thielavia terrestris, and a related mesophile, Chaetomium globosum	GSE27323	GSM675521
mt001005	WT		Alfalfa	45°		Transcriptomic response to substrate and temperature in two thermophilic fungi, Myceliophthora thermophila and Thielavia terrestris, and a related mesophile, Chaetomium globosum	GSE27323	GSM675522
mt002001	WT	early growth stage	Oat	45°		Transcriptomic response to different biomass in Myceliophthora thermophila (Sporotrichum thermophile)	GSE57235	GSM1377689
mt002002	WT	early growth stage	Triticale	45°		Transcriptomic response to different biomass in Myceliophthora thermophila (Sporotrichum thermophile)	GSE57235	GSM1377690
mt002003	WT	early growth stage	Canola	45°		Transcriptomic response to different biomass in Myceliophthora thermophila (Sporotrichum thermophile)	GSE57235	GSM1377691
mt002004	WT	early growth stage	Flax	45°		Transcriptomic response to different biomass in Myceliophthora thermophila (Sporotrichum thermophile)	GSE57235	GSM1377692
mt003001	WT		Nocarbon	45°	4h	Transcriptional landscape of Myceliophthora thermophila responding to soluble starch and the role of regulator AmyR on polysaccharide degradation	GSE110062	GSM2977199,GSM2977200
mt003002	WT		Glucose	45°	4h	Transcriptional landscape of Myceliophthora thermophila responding to soluble starch and the role of regulator AmyR on polysaccharide degradation	GSE110062	GSM2977201,GSM2977202
mt003003	WT		Starch	45°	4h	Transcriptional landscape of Myceliophthora thermophila responding to soluble starch and the role of regulator AmyR on polysaccharide degradation	GSE110062	GSM2977203,GSM2977204
mt004001	WT		Glucose	37°	2h	Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism	GSE137286	GSM4074527,GSM4074528
mt004002	WT		Xylose	37°	2h	Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism	GSE137286	GSM4074529,GSM4074530
mt004003	WT		Arabinose	37°	2h	Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism	GSE137286	GSM4074531,GSM4074532
mt004004	WT		Arabinoxylan	37°	2h	Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism	GSE137286	GSM4074533,GSM4074534
mt004005	WT		Arabinoxylan	37°	8h	Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism	GSE137286	GSM4074535,GSM4074536
mt004006	Xyr1 mutant		Glucose	37°	2h	Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism	GSE137286	GSM4074537,GSM4074538
mt004007	Xyr1 mutant		Xylose	37°	2h	Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism	GSE137286	GSM4074539,GSM4074540
mt004008	Xyr1 mutant		Arabinose	37°	2h	Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism	GSE137286	GSM4074541,GSM4074542
mt004009	Xyr1 mutant		Arabinoxylan	37°	2h	Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism	GSE137286	GSM4074543,GSM4074544
mt004010	Xyr1 mutant		Arabinoxylan	37°	8h	Myceliophthora thermophila Xyr1 is predominantly involved in xylan degradation and xylose catabolism	GSE137286	GSM4074545,GSM4074546
mt005001	Mtclr		Nocarbon	45°	4h	A novel conserved transcription factor CLR-4 regulates cellulase genes expression through controlling the intracellular cAMP level in ascomycete fungi	GSE111986	GSM3048706,GSM3048707
mt005002	WT		Nocarbon	45°	4h	A novel conserved transcription factor CLR-4 regulates cellulase genes expression through controlling the intracellular cAMP level in ascomycete fungi	GSE111986	GSM3048708,GSM3048709
mt006001	WT		Avicel	45°	2 or 4d	Engineering the Cellulolytic Fungus Myceliophthora thermophila into a Platform for Producing Commodity Chemicals Directly from Lignocellulose	GSE114057	GSM3131641,GSM3131642
mt006002	JG141		Avicel	45°	2 or 4d	Engineering the Cellulolytic Fungus Myceliophthora thermophila into a Platform for Producing Commodity Chemicals Directly from Lignocellulose	GSE114057	GSM3131643,GSM3131644
mt006003	JG207		Avicel	45°	2 or 4d	Engineering the Cellulolytic Fungus Myceliophthora thermophila into a Platform for Producing Commodity Chemicals Directly from Lignocellulose	GSE114057	GSM3131645,GSM3131646,GSM3131647
mt006004	JG207Ncclr2		Avicel	45°	2 or 4d	Engineering the Cellulolytic Fungus Myceliophthora thermophila into a Platform for Producing Commodity Chemicals Directly from Lignocellulose	GSE114057	GSM3131648,GSM3131649
mt006005	JG336		Avicel	45°	2 or 4d	Engineering the Cellulolytic Fungus Myceliophthora thermophila into a Platform for Producing Commodity Chemicals Directly from Lignocellulose	GSE114057	GSM3131650,GSM3131651
mt006006	WT		Glucose	45°	2 or 4d	Engineering the Cellulolytic Fungus Myceliophthora thermophila into a Platform for Producing Commodity Chemicals Directly from Lignocellulose	GSE114057	GSM3131652,GSM3131653
mt006007	JG207		Glucose	45°	2 or 4d	Engineering the Cellulolytic Fungus Myceliophthora thermophila into a Platform for Producing Commodity Chemicals Directly from Lignocellulose	GSE114057	GSM3131654,GSM3131655
mt007001	WT		Nocarbon	45°	4h	Transcriptional profiling of Myceliophthora thermophila on galactose and metabolic engineering for improved galactose utilization	GSE165516	GSM5035228,GSM5035229
mt007002	WT		Glucose	45°	4h	Transcriptional profiling of Myceliophthora thermophila on galactose and metabolic engineering for improved galactose utilization	GSE165516	GSM5035230,GSM5035231
mt007003	WT		Galatose	45°	4h	Transcriptional profiling of Myceliophthora thermophila on galactose and metabolic engineering for improved galactose utilization	GSE165516	GSM5035232,GSM5035233
