Sample ID	Series Accession	Study Title	Condition	Related Sample	PMID
nc001001	GSE35227	Conserved and Essential Transcription Factors for Cellulase Gene Expression in Ascomycete Fungi.	cdr1  Avicel  1h	GSM864216	22532664
nc001002	GSE35227	Conserved and Essential Transcription Factors for Cellulase Gene Expression in Ascomycete Fungi.	cdr1  Avicel  4h	GSM864217	22532664
nc001003	GSE35227	Conserved and Essential Transcription Factors for Cellulase Gene Expression in Ascomycete Fungi.	cdr1  Sucrose  1h	GSM864218	22532664
nc001004	GSE35227	Conserved and Essential Transcription Factors for Cellulase Gene Expression in Ascomycete Fungi.	cdr1  Sucrose  4h	GSM864219	22532664
nc001005	GSE35227	Conserved and Essential Transcription Factors for Cellulase Gene Expression in Ascomycete Fungi.	cdr2  Avicel  1h	GSM864220	22532664
nc001006	GSE35227	Conserved and Essential Transcription Factors for Cellulase Gene Expression in Ascomycete Fungi.	cdr2  Avicel  4h	GSM864221	22532664
nc001007	GSE35227	Conserved and Essential Transcription Factors for Cellulase Gene Expression in Ascomycete Fungi.	cdr2  Sucrose  1h	GSM864222	22532664
nc001008	GSE35227	Conserved and Essential Transcription Factors for Cellulase Gene Expression in Ascomycete Fungi.	cdr2  Sucrose  4h	GSM864223	22532664
nc001009	GSE35227	Conserved and Essential Transcription Factors for Cellulase Gene Expression in Ascomycete Fungi.	OR74A  Avicel  1h	GSM864224,GSM864225,GSM864226	22532664
nc001010	GSE35227	Conserved and Essential Transcription Factors for Cellulase Gene Expression in Ascomycete Fungi.	OR74A  Avicel  2h	GSM864227	22532664
nc001011	GSE35227	Conserved and Essential Transcription Factors for Cellulase Gene Expression in Ascomycete Fungi.	OR74A  Avicel  0.5h	GSM864228	22532664
nc001012	GSE35227	Conserved and Essential Transcription Factors for Cellulase Gene Expression in Ascomycete Fungi.	OR74A  Avicel  4h	GSM864229,GSM864230,GSM864231	22532664
nc001013	GSE35227	Conserved and Essential Transcription Factors for Cellulase Gene Expression in Ascomycete Fungi.	OR74A  No carbon  1h	GSM864232	22532664
