Gene id	mt001001 WT Barley 34° 	mt001002 WT Barley 45° 	mt001003 WT Glucose 34° 	mt001004 WT Glucose 45° 	mt001005 WT Alfalfa 45° 	mt002001 WT Oat 45° 	mt002002 WT Triticale 45° 	mt002003 WT Canola 45° 	mt002004 WT Flax 45° 	mt003001 WT Nocarbon 45° 4h	mt003002 WT Glucose 45° 4h	mt003003 WT Starch 45° 4h	mt004001 WT Glucose 37° 2h	mt004002 WT Xylose 37° 2h	mt004003 WT Arabinose 37° 2h	mt004004 WT Arabinoxylan 37° 2h	mt004005 WT Arabinoxylan 37° 8h	mt005002 WT Nocarbon 45° 4h	mt006001 WT Avicel 45° 2 or 4d	mt006006 WT Glucose 45° 2 or 4d	mt007001 WT Nocarbon 45° 4h	mt007002 WT Glucose 45° 4h	mt007003 WT Galatose 45° 4h	mt007004 WTdeltagalK Galatose 45° 4h	mt009001 WT Glucose 45° 2d	mt009002 WT Glucose 45° 4d	mt010001 WT Glucose 35° 66h	mt010002 WT Glucose 40° 40h	mt010003 WT Glucose 45° 40h	mt010004 WT Glucose 50° 40h	mt011004 WT Avicel 45° 4h	mt011005 WT Avicel 45° 6h	mt011006 WT Starch 45° 4h	mt012001 WT Glucose 45° 24h	mt012007 WT Avicel 45° 2d	mt012009 WT Avicel 45° 4d	mt012011 WT Avicel 45° 6d	mt014001 WT Nocarbon 45° 4h	mt014002 WT Glucose 45° 4h	mt014003 WT Xylose 45° 4h	mt014004 WT Aarabinose 45° 4h	mt014005 WT Arabinan 45° 2d	mt014006 WT Arabinan 45° 4d	mt014012 WT Arabinan 45° 4h
MYCTH_2294730	19.74	23.74	25.08	17.16	23.32	26.49	33.86	18.75	28.46	49.42	21.72	34.66	27.26	21.08	22.22	18.55	29.02	22.82	35.39	31.04	42.89	28.65	42.82	31.22	30.7	33.32	31.07	38.83	40.51	31.12	14.56	24.47	22.25	34.7	26.78	26.04	41.56	42.89	28.65	36.52	48.12	39.76	52.94	15.04
MYCTH_2294864	20.52	16.74	16.23	18.65	18.95	23.06	22.31	20.51	18.63	29.6	15.59	19.46	15.04	12.34	14.02	13.56	16.0	14.31	22.78	20.5	27.1	16.94	16.78	11.26	13.48	14.66	13.93	20.43	30.39	11.75	11.22	18.41	14.22	16.77	15.96	18.49	24.87	27.1	16.94	20.36	24.66	14.82	23.16	15.57
MYCTH_113886	66.02	55.56	79.21	88.37	76.86	65.37	37.56	63.56	76.49	79.09	131.14	129.44	111.72	99.18	78.12	73.48	87.4	91.68	112.73	118.94	84.14	137.12	123.03	130.85	125.26	124.22	95.16	79.41	51.17	131.59	98.56	123.95	114.47	152.04	105.74	90.34	135.12	84.14	137.12	156.44	124.88	114.33	144.52	95.98
MYCTH_2295173	99.54	95.66	101.6	97.99	64.24	83.73	95.35	112.17	105.95	71.2	63.33	50.11	55.58	58.46	70.03	72.46	82.68	53.68	111.12	121.19	96.98	61.5	92.44	68.65	221.56	227.2	86.06	89.8	109.3	69.88	44.55	37.52	103.05	57.44	69.96	109.98	75.31	96.98	61.5	84.77	74.04	106.62	81.26	207.71
MYCTH_2295254	7.68	6.84	15.0	13.71	15.42	10.0	4.02	8.6	11.74	0.82	7.34	6.92	12.88	10.34	8.91	8.39	15.08	7.04	17.34	19.79	6.98	9.59	10.43	6.02	15.56	17.58	5.64	7.07	7.95	8.54	2.95	3.71	6.2	10.18	8.71	7.52	6.93	6.98	9.59	8.49	5.96	9.75	11.58	3.76
MYCTH_2295800	24.01	15.74	41.2	35.88	44.58	25.63	10.04	35.81	48.57	122.34	46.95	47.24	25.36	24.03	21.92	19.33	26.07	43.21	102.34	74.38	111.24	54.56	61.07	90.12	52.76	68.0	46.02	35.11	38.07	40.14	32.39	52.32	26.96	58.74	105.85	173.52	63.37	111.24	54.56	60.02	75.2	64.63	156.59	27.24
MYCTH_2296007	19.67	15.54	18.42	20.64	14.8	23.71	9.24	20.89	9.27	17.77	9.29	11.08	15.61	11.19	13.04	12.04	12.02	10.99	14.11	15.14	9.3	10.05	7.49	8.14	17.24	17.94	11.63	7.14	6.94	13.2	8.67	14.48	10.87	9.3	14.94	13.04	16.72	9.3	10.05	10.03	10.68	11.85	16.05	17.7
MYCTH_2296191	4.58	4.47	7.5	6.83	7.34	6.23	4.26	5.57	6.82	5.1	6.21	8.22	9.59	7.93	6.24	5.42	7.93	6.72	8.34	10.39	6.98	6.64	7.27	6.1	6.94	7.24	5.24	4.98	5.92	7.06	2.72	6.6	5.28	8.84	5.69	6.98	7.75	6.98	6.64	8.31	7.6	6.69	7.22	3.48
MYCTH_2296558	20.15	18.88	23.14	15.07	16.11	24.0	23.14	15.55	15.01	19.69	10.48	13.96	14.66	10.88	9.26	9.52	14.66	13.16	18.46	22.26	13.36	11.99	17.58	8.56	18.82	18.94	15.03	15.61	20.29	14.97	5.0	10.58	11.5	13.32	13.86	16.22	20.13	13.36	11.99	14.52	12.11	15.74	19.74	8.52
MYCTH_2297020	90.04	116.78	133.02	109.65	118.8	96.22	122.07	81.82	93.0	151.55	126.64	123.09	158.6	135.1	111.8	111.06	121.1	82.08	116.98	175.64	120.76	117.96	138.86	142.42	137.34	129.74	99.97	108.44	130.89	132.6	124.38	111.29	132.45	114.14	133.79	140.6	122.74	120.76	117.96	144.65	148.44	94.1	131.46	102.27
MYCTH_2297068	10.53	10.66	14.31	18.28	14.15	11.88	7.61	14.51	11.97	2.9	7.83	4.47	5.84	4.18	4.55	4.14	5.68	7.34	11.27	8.64	8.08	2.14	4.34	2.33	4.72	5.72	3.89	4.22	2.34	3.45	3.83	2.53	4.02	4.6	2.42	6.35	7.32	8.08	2.14	3.62	2.22	3.15	3.56	17.84
MYCTH_2297482	26.36	22.73	28.14	22.63	21.11	30.16	29.87	24.78	32.6	40.95	15.74	18.26	17.63	16.28	15.02	11.64	27.2	16.21	22.9	22.8	29.5	18.1	21.89	30.23	26.74	32.06	28.43	37.83	37.21	24.53	10.02	13.54	13.0	22.94	38.6	35.02	40.88	29.5	18.1	20.1	15.48	24.33	37.22	15.3
MYCTH_2297709	86.38	131.02	95.68	146.8	60.77	75.57	69.56	193.21	65.11	39.06	62.1	40.12	25.93	20.13	25.32	21.05	50.5	65.87	47.51	44.22	28.65	68.22	46.56	36.06	75.46	77.9	88.11	89.07	58.98	92.93	56.15	34.73	95.62	56.5	88.84	63.0	71.93	28.65	68.22	47.3	37.33	69.96	50.66	197.78
MYCTH_2297779	757.66	429.49	502.2	384.82	328.23	443.02	446.87	400.56	509.12	388.28	197.47	191.65	229.96	255.15	188.8	154.6	500.18	205.48	444.17	504.4	546.4	233.73	415.0	276.8	363.49	463.84	420.43	388.61	533.79	331.72	223.68	278.61	239.72	215.92	448.84	572.74	440.79	546.4	233.73	459.99	484.28	285.76	561.78	322.73
MYCTH_2073265	125.19	128.68	102.05	178.38	142.64	110.86	99.99	133.39	144.29	241.0	99.88	84.62	77.73	167.12	73.69	77.63	173.76	68.31	161.86	99.96	126.51	113.7	136.15	179.04	121.34	155.72	455.99	254.03	158.55	133.62	75.8	107.32	130.78	131.5	129.17	128.05	110.4	126.51	113.7	170.02	124.83	124.68	189.99	127.9
MYCTH_2298243	66.18	51.76	64.14	60.95	64.75	55.34	58.39	38.35	52.08	108.84	62.32	60.42	20.42	15.64	13.76	12.69	21.52	65.08	83.29	108.8	73.76	72.6	80.65	94.56	86.01	82.66	39.83	55.61	75.27	68.36	47.33	68.18	61.85	71.82	119.13	181.07	111.2	73.76	72.6	71.45	82.06	75.2	142.0	54.92
MYCTH_2073591	106.18	79.17	105.97	70.56	61.31	79.01	107.0	61.85	82.85	73.87	89.46	76.5	91.35	62.24	55.52	52.72	69.76	77.47	82.48	93.61	94.93	89.91	110.92	74.78	86.96	75.76	88.2	91.55	61.42	94.31	75.0	84.29	118.06	91.53	70.7	78.54	82.98	94.93	89.91	118.82	110.73	66.04	96.28	65.27
MYCTH_2299099	152.95	142.62	127.44	107.23	94.46	124.83	168.53	103.4	81.75	75.37	86.66	88.81	221.71	209.9	192.44	230.18	111.84	89.84	55.78	73.12	73.74	99.16	99.47	135.72	78.88	70.58	125.23	143.68	183.23	99.13	101.25	81.81	126.87	114.24	67.96	98.94	81.3	73.74	99.16	105.1	81.45	68.62	62.42	65.86
MYCTH_2116523	21.39	19.31	31.57	21.55	19.59	14.63	18.07	14.24	21.83	109.26	40.95	38.51	30.04	23.4	23.77	18.34	27.84	41.25	57.54	64.9	45.33	34.54	46.9	24.67	55.56	76.76	46.84	37.16	22.13	45.03	42.17	34.19	42.43	28.07	80.25	47.38	46.03	45.33	34.54	71.12	73.41	38.03	58.98	34.17
MYCTH_2300159	25.51	26.02	31.38	30.92	32.09	26.21	20.34	29.72	30.97	22.03	31.84	33.22	32.59	28.56	26.12	25.59	39.78	25.62	67.79	66.39	54.48	40.24	49.89	49.98	76.74	78.85	33.18	47.57	63.45	50.78	18.02	19.19	33.08	35.57	49.8	60.79	59.1	54.48	40.24	52.76	41.66	51.06	73.88	32.25
MYCTH_2300282	59.26	63.92	83.74	37.92	67.39	60.28	87.4	59.57	57.87	164.56	59.86	97.08	75.84	54.68	65.31	58.92	64.4	59.56	115.63	75.3	161.34	81.9	143.86	87.02	115.21	131.61	93.14	106.53	138.63	126.23	38.25	31.81	96.49	97.66	119.14	103.88	115.97	161.34	81.9	78.36	103.6	100.32	144.09	70.13
MYCTH_2300427	16.47	13.98	25.56	14.12	15.36	16.62	18.25	13.31	18.7	33.36	14.26	15.62	9.2	9.41	6.51	5.45	15.66	12.66	26.88	38.09	27.2	18.81	25.28	29.86	30.2	30.27	17.33	18.73	20.56	17.7	10.72	13.99	15.26	18.22	30.26	59.38	38.24	27.2	18.81	24.54	25.2	22.4	38.47	19.72
MYCTH_100654	17.08	12.62	13.83	8.31	13.61	15.45	15.98	10.54	18.73	11.42	5.89	8.86	5.96	6.6	5.32	5.92	12.22	7.36	11.27	12.32	11.86	8.15	11.62	7.54	14.62	17.86	8.75	8.79	13.22	11.07	3.72	5.45	8.52	9.38	8.88	9.18	10.47	11.86	8.15	12.69	7.88	10.54	14.22	5.16
MYCTH_2080075	197.2	158.8	160.33	149.15	121.66	165.75	151.17	159.61	166.64	58.92	99.78	95.07	121.26	138.17	129.75	107.38	200.96	80.77	69.34	76.16	100.26	143.43	108.02	57.17	105.43	124.85	140.55	177.97	230.4	135.18	60.07	96.15	113.55	129.72	59.19	48.76	133.22	100.26	143.43	95.91	74.11	91.6	69.34	97.13
MYCTH_101588	15.2	13.32	19.24	17.0	11.78	13.31	15.78	12.72	14.33	23.43	13.58	14.9	10.37	9.58	6.04	6.14	12.52	10.66	15.47	27.74	12.0	17.19	17.98	17.19	25.97	25.64	16.37	13.07	18.33	14.47	6.58	13.03	11.63	18.06	12.82	24.2	29.6	12.0	17.19	21.13	18.52	15.66	24.91	8.67
MYCTH_2127482	143.86	178.11	130.99	155.48	140.77	162.12	211.52	138.12	134.63	337.35	197.32	205.09	200.56	163.84	126.06	123.18	168.74	163.74	111.38	136.43	237.23	201.02	176.79	249.53	138.18	144.03	203.81	235.53	268.47	183.2	226.9	208.12	190.46	189.29	170.64	172.36	197.07	237.23	201.02	224.66	247.9	170.34	191.21	219.61
MYCTH_2046198	9.84	5.08	15.3	14.06	10.47	7.64	2.82	9.68	12.1	0.29	8.06	8.28	11.68	9.55	9.53	7.14	11.86	8.49	18.1	23.42	17.26	11.44	16.98	12.34	18.87	20.06	10.51	11.65	13.95	16.17	3.88	2.62	9.05	12.56	14.98	17.0	11.22	17.26	11.44	18.02	14.72	13.14	17.14	10.62
