ReactionID	Flux	Equation	EC	Kcat_MW	E
R110	7.353	mal__L_c --> fum_c + h2o_c	4.2.1.2	347.008	0.0212
R107	7.353	atp_c + co2_c + h2o_c + pyr_c --> adp_c + 2.0 h_c + oaa_c + pi_c	6.4.1.1	493.872	0.0149
R40	15.291	2pg_c --> h2o_c + pep_c	4.2.1.11	1742.655	0.0088
R105_reverse	7.353	h_c + nadh_c + oaa_c --> mal__L_c + nad_c		932.975	0.0079
R112	2.859	adp_m + pi_m + succoa_m --> atp_m + coa_m + succ_m	6.2.1.5	411.293	0.007
R2269_reverse	15.0	fum_c --> fum_e		2313.412	0.0065
R61	2.141	R5P_c + xu5p__D_c --> g3p_c + s7p_c	2.2.1.1,2.2.1.3	390.601	0.0055
R2250_num6	10.0	glc__D_e --> glc__D_c		1939.389	0.0052
R2157	2.521	4.0 He_m + h_m + nadh_m + q_m --> 4.0 He_i + nad_m + qh2_m	1.6.5.9	574.186	0.0044
R1187_num2	2.569	coa_m + oxadpcoa_m --> accoa_m + succoa_m	2.3.1.16,2.3.1.174	676.462	0.0038
R118	2.859	akg_m + coa_m + nad_m --> co2_m + nadh_m + succoa_m	1.2.4.2	780.237	0.0037
R711_num2	7.822	2.0 hqn_c + o2_c --> 2.0 P_BENZOQUINONE_c + 2.0 h2o_c	1.14.18.1	2337.97	0.0033
R2308	5.369	pyr_c --> pyr_m		1736.624	0.0031
R67	3.853	atp_c + glcn__D_c --> 6pgc_c + adp_c + h_c	2.7.1.12	1534.65	0.0025
R17	1.27	fadh2_m + q_m --> fad_m + h_m + qh2_m	1.5.5.1	525.866	0.0024
R71	3.853	P_BENZOQUINONE_c + glc__D_c --> g15lac_c + hqn_c	1.1.5.9	1824.869	0.0021
R36_num2	12.722	adp_c + h_c + pep_c --> atp_c + pyr_c	2.7.1.40	6213.023	0.002
R1194_num3	2.569	2dda7p_c --> 3dhq_c + pi_c	4.2.3.4	1311.687	0.002
R1192_num1	2.569	3dhsk_c --> 34dhbz_c + h2o_c		1383.074	0.0019
R108	5.078	atp_m + co2_m + h2o_m + pyr_m --> adp_m + 2.0 h_m + oaa_m + pi_m	6.4.1.1	2664.25	0.0019
R70	3.853	g15lac_c + h2o_c --> glcn__D_c + h_c	3.1.1.17	2150.334	0.0018
R2013	3.853	P_BENZOQUINONE_c + h_c + nadph_c --> hqn_c + nadp_c	1.6.5.2	2597.524	0.0015
R993	7.937	P_BENZOQUINONE_c + lac__L_c --> hqn_c + pyr_c		5246.675	0.0015
R1598_num1	2.028	Glc_aD_c + atp_c --> adp_c + g6p_c + h_c	2.7.1.1,2.7.1.2	1699.538	0.0012
R1044_num1	7.859	fdp_B_c --> dhap_c + g3p_c	4.1.2.13	7408.74	0.0011
R351_reverse	0.428	f6p_c + g3p_c --> e4p_c + xu5p__D_c		402.403	0.0011
R51	15.291	13dpg_c + adp_c --> 3pg_c + atp_c	2.7.2.3	14639.822	0.001
R1193_num3	2.569	e4p_c + h2o_c + pep_c --> 2dda7p_c + pi_c	2.5.1.54	3008.272	0.0009
R46	0.291	coa_m + nad_m + pyr_m --> accoa_m + co2_m + h_m + nadh_m	1.2.4.1	334.55	0.0009
R1678_num1	2.569	3oxoadp_m + succoa_m --> oxadpcoa_m + succ_m	2.8.3.5	2935.982	0.0009
R802	1.27	icit_m + nadp_m --> akg_m + co2_m + nadph_m	1.1.1.42	1360.65	0.0009
R1195_num3	2.569	3dhq_c --> 3dhsk_c + h2o_c	4.2.1.10	3383.346	0.0008
R1036	7.859	atp_c + f6p_c --> adp_c + fdp_B_c + h_c	2.7.1.11	10441.18	0.0008
R2160	2.219	4.5454 He_i + adp_m + h_m + pi_m --> 4.5454 He_m + atp_m + h2o_m	7.1.2.2	3559.991	0.0006
R50	15.291	g3p_c + nad_c + pi_c --> 13dpg_c + h_c + nadh_c	1.2.1.12,1.2.1.59	24759.806	0.0006
R109_reverse	2.219	mal__L_m --> fum_m + h2o_m		4446.704	0.0005
R62_num1	2.141	g3p_c + s7p_c --> e4p_c + f6p_c	2.2.1.2	5551.922	0.0004
R687_reverse	1.27	h_m + nadph_m + td2coa_m --> nadp_m + tdcoa_m		3480.705	0.0004
R117_num1	1.59	icit_m + nad_m --> akg_m + co2_m + nadh_m	1.1.1.41,1.1.1.286	3709.103	0.0004
R111	5.428	q_m + succ_m --> fum_m + qh2_m	1.3.5.1	25354.338	0.0002
R35_num2	7.937	h_c + nadh_c + pyr_c --> lac__L_c + nad_c	1.1.1.27	49636.34	0.0002
R58_reverse	2.141	ru5p__D_c --> R5P_c		15871.646	0.0001
R1566	2.028	g6p_c --> f6p_c	5.3.1.9	17657.9	0.0001
R1033_num1	2.859	cit_m --> icit_m	4.2.1.3	40941.959	0.0001
R56_num3	3.853	6pgc_c + nadp_c --> co2_c + nadph_c + ru5p__D_c	1.1.1.44,1.1.1.351	36800.498	0.0001
R104_reverse	2.219	h_m + nadh_m + oaa_m --> mal__L_m + nad_m		33803.761	0.0001
R698_num2	0.0	3hddcoa_x + nad_x --> 3oddcoa_x + h_x + nadh_x	1.1.1.35,1.1.1.211	743.732	0.0
R700_num3	0.0	dc2coa_x + h2o_x --> 3hdcoa_x	4.2.1.17,4.2.1.74	576.484	0.0
R700_num2	0.0	dc2coa_x + h2o_x --> 3hdcoa_x	4.2.1.17,4.2.1.74	177.025	0.0
R699_num5	0.0	3oddcoa_x + coa_x --> accoa_x + deccoa_x	2.3.1.16	784.461	0.0
R699_num4	0.0	3oddcoa_x + coa_x --> accoa_x + deccoa_x	2.3.1.16	638.482	0.0
R699_num3	0.0	3oddcoa_x + coa_x --> accoa_x + deccoa_x	2.3.1.16	828.282	0.0
R699_num2	0.0	3oddcoa_x + coa_x --> accoa_x + deccoa_x	2.3.1.16	911.02	0.0
R697_num6	0.0	h2o_x + trans_dd2coa_x --> 3hddcoa_x	4.2.1.17,4.2.1.74	420.906	0.0
R697_num7	0.0	h2o_x + trans_dd2coa_x --> 3hddcoa_x	4.2.1.17,4.2.1.74	495.011	0.0
R700_num5	0.0	dc2coa_x + h2o_x --> 3hdcoa_x	4.2.1.17,4.2.1.74	640.876	0.0
R697_num5	0.0	h2o_x + trans_dd2coa_x --> 3hddcoa_x	4.2.1.17,4.2.1.74	540.399	0.0
R697_num4	0.0	h2o_x + trans_dd2coa_x --> 3hddcoa_x	4.2.1.17,4.2.1.74	620.863	0.0
R697_num3	0.0	h2o_x + trans_dd2coa_x --> 3hddcoa_x	4.2.1.17,4.2.1.74	511.768	0.0
R697_num2	0.0	h2o_x + trans_dd2coa_x --> 3hddcoa_x	4.2.1.17,4.2.1.74	135.419	0.0
R696_num5	0.0	3otdcoa_x + coa_x --> accoa_x + dodcoa_x	2.3.1.16	784.461	0.0
R696_num4	0.0	3otdcoa_x + coa_x --> accoa_x + dodcoa_x	2.3.1.16	638.482	0.0
R696_num3	0.0	3otdcoa_x + coa_x --> accoa_x + dodcoa_x	2.3.1.16	828.282	0.0
R700_num4	0.0	dc2coa_x + h2o_x --> 3hdcoa_x	4.2.1.17,4.2.1.74	861.408	0.0
R1194_num6	0.0	2dda7p_c --> 3dhq_c + pi_c	4.2.3.4	161.998	0.0
