reactionid	equation	flux
R2	R2: glc__D_c --> 0.67 BDGLC_c + 0.33 Glc_aD_c	6.855546861708033
R3	R3: Glc_aD_c --> BDGLC_c	2.262330464363651
R6	R6_num1: BDGLC_c + atp_c --> adp_c + g6p_B_c + h_c	6.855546861708032
R7	R7: g6p_B_c --> f6p_c	6.855546861708033
R9	R9: h_c + pyr_c --> acald_c + co2_c	21.685581815394887
R21	R21_num1: h_c + nadh_c + nh4_c + pyr_c --> ala__L_c + h2o_c + nad_c	0.34053154917537604
R22	R22_num1: BCCP_c + atp_c + co2_c + h2o_c --> adp_c + carP_c + 2.0 h_c + pi_c	0.31698804863365937
R24	R24: h2o_c + pap_c --> amp_c + pi_c	0.0050980250570108075
R25	R25: 0.2619 atp_c + 0.0187 damp_c + 0.01982 dcmp_c + 0.01982 dgmp_c + 0.0187 dtmp_c + 0.1849 h2o_c --> DNA_c + 0.2619 adp_c + 0.2619 pi_c	0.3515879349662629
R40	R40: 2pg_c --> h2o_c + pep_c	25.03618487940593
R42	R42_num1: 3pg_c --> 2pg_c	25.03618487940593
R46	R46: coa_m + nad_m + pyr_m --> accoa_m + co2_m + h_m + nadh_m	1.7624750879494102
R50	R50: g3p_c + nad_c + pi_c --> 13dpg_c + h_c + nadh_c	25.268470435229016
R51	R51: 13dpg_c + adp_c --> 3pg_c + atp_c	25.268470435229013
R53	R53_num1: R5P_c + atp_c --> amp_c + h_c + prpp_c	0.0954333414451572
R54	R54: ru5p__D_c --> xu5p__D_c	0.18732574266203728
R55	R55: g6p_c + nadp_c --> 6pgl_c + h_c + nadph_c	0.42237449853830367
R60	R60: 6pgl_c + h2o_c --> 6pgc_c + h_c	0.4223744985383036
R61	R61: R5P_c + xu5p__D_c --> g3p_c + s7p_c	0.13961541443110917
R62	R62_num1: g3p_c + s7p_c --> e4p_c + f6p_c	0.1396154144311092
R74	R74: g1p_c + h_c + utp_c --> ppi_c + udpg_c	0.4027605385924152
R104	R104: mal__L_m + nad_m --> h_m + nadh_m + oaa_m	1.3871316228594277
R107	R107: atp_c + co2_c + h2o_c + pyr_c --> adp_c + 2.0 h_c + oaa_c + pi_c	0.6579084320078951
R108	R108: atp_m + co2_m + h2o_m + pyr_m --> adp_m + 2.0 h_m + oaa_m + pi_m	0.12132118207685769
R109	R109: fum_m + h2o_m --> mal__L_m	0.34875181573006675
R111	R111: q_m + succ_m --> fum_m + qh2_m	0.21790295127816786
R115	R115: atp_c + cit_c + coa_c --> accoa_c + adp_c + oaa_c + pi_c	0.7123687684251224
R117	R117_num1: icit_m + nad_m --> akg_m + co2_m + nadh_m	0.30308245296393505
R128	R128: ala__L_c + glx_c --> gly_c + pyr_c	0.19437644460990056
R134	R134_num1: f6p_c + gln__L_c --> gam6p_c + glu__L_c	0.13297229103593589
R144	R144: asp__L_c + atp_c + nh4_c --> amp_c + asn__L_c + h_c + ppi_c	0.07538045325676676
R145	R145: akg_c + gln__L_c + h_c + nadh_c --> 2.0 glu__L_c + nad_c	1.756136366249366
R151	R151: acgam1p_c + h_c + utp_c --> ppi_c + uacgam_c	0.13297229103593589
R159	R159: acgam6p_c --> acgam1p_c	0.13297229103593589
R165	R165_num1: TRNA_c + ala__L_c + atp_c --> TRNAALA_c + amp_c + ppi_c	0.14615510456547548
R169	R169_num1: TRNA_c + asn__L_c + atp_c --> TRNAASN_c + amp_c + ppi_c	0.07538045325676676
R171	R171: TRNA_c + arg__L_c + atp_c --> TRNAARG_c + amp_c + ppi_c	0.09521001278886398
R173	R173: TRNA_c + atp_c + cys__L_c --> TRNACYS_c + amp_c + ppi_c	0.0018634160553211933
R177	R177_num1: TRNA_c + atp_c + ser__L_c --> TRNASER_c + amp_c + ppi_c	0.09528033037585724
R178	R178: TRNA_c + atp_c + gly_c --> TRNAGLY_c + amp_c + ppi_c	0.11205107487374799
R181	R181: TRNA_c + atp_c + his__L_c --> TRNAHIS_c + amp_c + ppi_c	0.02587687201351695
R182	R182_num1: TRNA_c + atp_c + ile__L_c --> TRNAILE_c + amp_c + ppi_c	0.07070433372171546
R189	R189_num1: TRNA_c + atp_c + tyr__L_c --> TRNATYR_c + amp_c + ppi_c	0.008262316471707179
R192	R192: TRNA_c + atp_c + phe__L_c --> TRNAPHE_c + amp_c + ppi_c	0.06089503033615672
R210	R210: akg_c + orn__L_c --> glu5sa_c + glu__L_c	0.08167387729266289
R214	R214: glu5sa_c --> 1pyr5c_c + h2o_c + h_c	0.08167387729266287
R215	R215_num1: 1pyr5c_c + 2.0 h_c + nadph_c --> nadp_c + pro__L_c	0.08167387729266289
R235	R235: cbp_m + orn_m --> citr__L_m + h_m + pi_m	0.09521001278886396
R238	R238_num1: acg5p_m + h_m + nadph_m --> acg5sa_m + nadp_m + pi_m	0.17688389008152688
R244	R244: argsuc_c --> arg__L_c + fum_c	0.09521001278886398
R255	R255_num1: 2.0 atp_m + hco3_m + nh4_m --> 2.0 adp_m + cbp_m + 2.0 h_m + pi_m	0.1187365194571313
R302	R302: C180ACP_c + h_c + nadph_c + o2_c --> C181ACP_c + 2.0 h2o_c + nadp_c	0.025615413925543284
R303	R303: C181ACP_c + h_c + nadph_c + o2_c --> C182ACP_c + 2.0 h2o_c + nadp_c	0.013114635553426218
R351	R351: e4p_c + xu5p__D_c --> f6p_c + g3p_c	0.04771032823092808
R395	R395_num1: accoa_c + hom__L_c --> achms_c + coa_c	0.003234609001689615
R398	R398: achms_c + h2s_c --> ac_c + h_c + hcys__L_c	0.003234609001689615
R401	R401: ahcys_c + h2o_c --> adn_c + hcys__L_c	0.022083589783165943
R402	R402: h2s_c + pser__L_c --> cys__L_c + pi_c	0.23228555582308483
R431	R431: 5mthf_c + hcys__L_c --> met__L_c + thf_c	0.02531819878485556
R441	R441: h_c + pphn_c --> co2_c + h2o_c + phpyr_c	0.06089503033615673
R504	R504_num1: C18HACP_c --> C18DACP_c + h2o_c	0.028554166803298184
R505	R505_num1: C18DACP_c + h_c + nadph_c --> C180ACP_c + nadp_c	0.028554166803298184
R512	R512_num1: ACP_c + ppcoa_c --> PROPACP_c + coa_c	0.00017023887811066452
R517	R517: PROPACP_c + 2.0 h_c + malACP_c + 2.0 nadph_c --> ACP_c + C50ACP_c + co2_c + h2o_c + 2.0 nadp_c	0.00017023887811066452
R522	R522: C50ACP_c + 3.0 h_c + malACP_c + 2.0 nadph_c --> ACP_c + C70ACP_c + co2_c + h2o_c + 2.0 nadp_c	0.00017023887811066452
R527	R527: C70ACP_c + 3.0 h_c + malACP_c + 2.0 nadph_c --> ACP_c + C90ACP_c + co2_c + h2o_c + 2.0 nadp_c	0.00017023887811066452
R532	R532: C90ACP_c + 3.0 h_c + malACP_c + 2.0 nadph_c --> ACP_c + C110ACP_c + co2_c + h2o_c + 2.0 nadp_c	0.00017023887811066452
R537	R537: C110ACP_c + 3.0 h_c + malACP_c + 2.0 nadph_c --> ACP_c + C130ACP_c + co2_c + h2o_c + 2.0 nadp_c	0.00017023887811066452
R542	R542: C130ACP_c + 3.0 h_c + malACP_c + 2.0 nadph_c --> ACP_c + C150ACP_c + co2_c + h2o_c + 2.0 nadp_c	0.00017023887811066452
R547	R547: C150ACP_c + 3.0 h_c + malACP_c + 2.0 nadph_c --> ACP_c + C170ACP_c + co2_c + h2o_c + 2.0 nadp_c	0.00017023887811066452
R583	R583_num1: C171ACP_c + coa_c --> ACP_c + C171COA_c	0.00017023887811066452
R584	R584_num1: C180ACP_c + coa_c --> ACP_c + stcoa_c	0.00034479384971097484
R585	R585_num1: C181ACP_c + coa_c --> ACP_c + ocdce9coa_c	9.30973208876517e-05
R614	R614: PE_c + amet_c --> C01241_c + ahcys_c + h_c	0.0032616812726820213
R615	R615: C01241_c + amet_c --> C04308_c + ahcys_c + h_c	0.003261681272682021
R616	R616: C04308_c + amet_c --> ahcys_c + h_c + pcholho_c	0.003261681272682021
R617	R617: MIPC_c + gdpmann_c --> DMIPC_c + gdp_c + h_c	3.4757983250764756e-05
R619	R619_num1: accoa_c + carP_c --> BCCP_c + malcoa_c	0.3169880486336593
R731	R731: f6p_c + h_c + nadh_c --> mnl1p_c + nad_c	0.2958749002971267
R784	R784: udpgal_c --> udpgalfur_c	0.0041313516092178195
R802	R802: icit_m + nadp_m --> akg_m + co2_m + nadph_m	0.2986251389373273
R835	R835: dhap_c + h_c + nadh_c --> glyc3p_c + nad_c	0.020970764746686826
R846	R846_num1: CLCDPDG_c + glyc3p_c --> cmp_c + h_c + pgp_EC_c	0.0014206262100246818
R847	R847: h2o_c + pgp_EC_c --> pglycho_c + pi_c	0.0014206262100246818
R848	R848: CLCDPDG_c + pglycho_c --> clpnho_c + cmp_c	0.0014206262100246818
R851	R851_num1: PE_c --> LPE_c + 0.3211 hdca_c + 0.3122 lnlc_c + 0.0606 ocdca_c + 0.3061 ocdcea_c	0.0008754539580659946
R866	R866: accoa_c + gam6p_c --> acgam6p_c + coa_c + h_c	0.13297229103593589
R880	R880: acald_c + gly_c --> thr__L_c	0.1633773582894499
R903	R903: 4pasp_c + h_c + nadph_c --> aspsa_c + nadp_c + pi_c	0.003234609001689614
R904	R904: aspsa_c + h_c + nadh_c --> hom__L_c + nad_c	0.003234609001689614
R905	R905_num1: 3pg_c + nad_c --> 3php_c + h_c + nadh_c	0.23228555582308485
R906	R906: 3php_c + glu__L_c --> akg_c + pser__L_c	0.23228555582308485
R915	R915: asp__L_c + atp_c --> 4pasp_c + adp_c	0.003234609001689614
R922	R922: CERB2_c + pailho_c --> IPC_c + h2o_c	3.4757983250764756e-05
R923	R923_num1: icit_x --> glx_x + succ_x	0.19437644460990056
R936	R936: for_c + h_c + o2_c --> co2_c + h2o2_c	0.012298545965119874
R939	R939: atp_c + prpp_c --> ppi_c + prbatp_c	0.02587687201351695
R940	R940_num1: h2o_c + prbatp_c --> h_c + ppi_c + prbamp_c	0.025876872013516954
R941	R941_num1: h2o_c + prbamp_c --> prfp_c	0.025876872013516954
R942	R942: prfp_c --> prlp_c	0.025876872013516954
R943	R943: gln__L_c + prlp_c --> aicar_c + eig3p_c + glu__L_c + h_c	0.025876872013516954
R944	R944: eig3p_c --> h2o_c + imacp_c	0.025876872013516954
R946	R946: h2o_c + hisp_c --> histd_c + pi_c	0.025876872013516957
R947	R947_num1: h2o_c + histd_c + 2.0 nad_c --> 3.0 h_c + his__L_c + 2.0 nadh_c	0.025876872013516954
R977	R977: CDPDG_c + inost_c --> cmp_c + pailho_c	0.0004900643590320751
R989	R989: 2ahbut_m + h_m + nadph_m --> 23dhmp_m + nadp_m	0.07070433372171547
R1001	R1001: 2obut_m + coa_m + nad_m --> co2_m + nadh_m + ppcoa_m	0.00017023887811066455
R1004	R1004_num1: b124tc_m + h2o_m --> hicit_m	0.11380901454857931
R1005	R1005: hicit_m + nad_m --> h_m + nadh_m + oxag_m	0.11380901454857931
R1006	R1006: h_m + oxag_m --> 2oxoadp_m + co2_m	0.11380901454857931
R1013	R1013: L2aadp6sa_m + glu__L_m + h_m + nadph_m --> h2o_m + nadp_m + saccrp__L_m	0.1138090145485793
R1015	R1015: accoa_m + akg_m + h2o_m --> HCIT_m + coa_m + h_m	0.11380901454857931
R1016	R1016: L2aadp_m + 2.0 h_m + nadh_m --> L2aadp6sa_m + h2o_m + nad_m	0.1138090145485793
R1033	R1033_num1: cit_m --> icit_m	0.796084036511163
R1036	R1036: atp_c + f6p_c --> adp_c + fdp_B_c + h_c	12.609491566176235
R1044	R1044_num1: fdp_B_c --> dhap_c + g3p_c	12.609491566176237
R1106	R1106: mlthf_c + nad_c --> methf_c + nadh_c	0.07244131875562831
R1107	R1107_num1: h_c + mlthf_c + nadph_c --> 5mthf_c + nadp_c	0.02531819878485556
R1114	R1114_num1: h2o_c + methf_c --> 10fthf_c + h_c	0.07244131875562833
R1122	R1122_num1: h2o_c + ppi_c --> h_c + 2.0 pi_c	2.5926453998869725
R1171	R1171: C170ACP_c + h_c + nadh_c + o2_c --> C171ACP_c + 2.0 h2o_c + nad_c	0.00017023887811066452
R1188	R1188: glu__L_c + phpyr_c --> akg_c + phe__L_c	0.06089503033615673
R1194	R1194_num1: 2dda7p_c --> 3dhq_c + pi_c	0.09190508620018109
R1195	R1195_num1: 3dhq_c --> 3dhsk_c + h2o_c	0.09190508620018109
R1197	R1197_num1: 3dhsk_c + h_c + nadh_c --> nad_c + skm_c	0.09190508620018112
R1199	R1199_num1: atp_c + skm_c --> adp_c + h_c + skm5p_c	0.0919050862001811
R1200	R1200_num1: pep_c + skm5p_c --> 3psme_c + pi_c	0.0919050862001811
R1201	R1201: 3psme_c --> chor_c + pi_c	0.0919050862001811
R1202	R1202: chor_c --> pphn_c	0.06915734680786391
R1203	R1203: nadp_c + pphn_c --> 34hpp_c + co2_c + nadph_c	0.00826231647170718
R1205	R1205: anth_c + prpp_c --> ppi_c + pran_c	0.022747739392317202
R1206	R1206: pran_c --> 2cpr5p_c	0.022747739392317202
R1207	R1207: 2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c	0.022747739392317202
R1269	R1269: atp_c + gly_c + pram_c --> adp_c + gar_c + h_c + pi_c	0.023282223371055677
R1270	R1270: atp_c + fgam_c + gln__L_c + h2o_c --> FGAM_c + adp_c + glu__L_c + h_c + pi_c	0.023282223371055677
R1271	R1271: FGAM_c + atp_c --> AIR_c + adp_c + h_c + pi_c	0.023282223371055677
R1272	R1272: AIR_c + co2_c --> 5aizc_c + 2.0 h_c	0.023282223371055677
R1273	R1273: 5aizc_c + asp__L_c + atp_c --> 25aics_c + adp_c + h_c + pi_c	0.023282223371055677
R1274	R1274: 25aics_c --> aicar_c + fum_c	0.02328222337105568
R1275	R1275: fprica_c --> h2o_c + imp_c	0.049159095384572644
R1278	R1278: adp_c + trdrd_c --> dadp_c + h2o_c + trdox_c	0.006574694383869115
R1280	R1280_num1: h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c	0.013275960424326076
R1282	R1282: atp_c + gmp_c --> adp_c + gdp_c	0.006968472871031321
R1284	R1284: gdp_c + trdrd_c --> dgdp_c + h2o_c + trdox_c	0.006968472871031331
R1285	R1285: adp_c + dgdp_c --> atp_c + dgmp_c	0.00696847287103133
R1312	R1312: amp_c + utp_c --> adp_c + udp_c	1.9482564390325483
R1313	R1313: amp_c + ctp_c --> adp_c + cdp_c	0.001942502245412505
R1321	R1321: adn_c + atp_c --> adp_c + amp_c + h_c	0.022083589783165943
R1338	R1338_num1: adp_c + atp_c + h_c --> ap4a_c + pi_c	0.005098025057010808
R1345	R1345: atp_c + nh4_c + xmp_c --> amp_c + gmp_c + 2.0 h_c + ppi_c	0.013275960424326078
R1367	R1367: asp__L_c + gtp_c + imp_c --> dcamp_c + gdp_c + 2.0 h_c + pi_c	0.03588313496024657
R1368	R1368: dcamp_c --> amp_c + fum_c	0.03588313496024656
R1370	R1370: 10fthf_c + gar_c --> fgam_c + h_c + thf_c	0.023282223371055677
R1371	R1371: 10fthf_c + aicar_c --> fprica_c + thf_c	0.04915909538457264
R1372	R1372_num1: aps_c + atp_c --> adp_c + h_c + paps_c	0.005098025057010808
R1375	R1375: orot_c + prpp_c --> orot5p_c + ppi_c	0.02352650666826734
R1376	R1376: h_c + orot5p_c --> co2_c + ump_c	0.02352650666826734
R1377	R1377: atp_c + ump_c --> adp_c + udp_c	0.019412576241227095
R1380	R1380: atp_c + nh4_c + utp_c --> adp_c + ctp_c + 2.0 h_c + pi_c	0.012837881857358124
R1383	R1383: cdp_c + trdrd_c --> dcdp_c + h2o_c + trdox_c	0.006968472871031332
R1384	R1384: trdrd_c + udp_c --> dudp_c + h2o_c + trdox_c	0.006574694383869118
R1411	R1411: dctp_c + h2o_c --> dcmp_c + h_c + ppi_c	0.006968472871031332
R1414	R1414: dutp_c + h2o_c --> dump_c + h_c + ppi_c	0.006574694383869118
R1421	R1421: dgtp_c + uri_c --> dgdp_c + h_c + ump_c	0.006574694383869118
R1440	R1440: dhor__S_c + fum_c --> orot_c + succ_c	0.02352650666826734
R1444	R1444: dump_c + mlthf_c --> dhf_c + dtmp_c	0.006574694383869117
R1455	R1455_num1: ac_c + atp_c + coa_c --> accoa_c + amp_c + ppi_c	0.003234609001689614
R1461	R1461: dhf_c + h_c + nadph_c --> nadp_c + thf_c	0.006574694383869116
R1505	R1505: h_c + nadph_c + trdox_c --> nadp_c + trdrd_c	0.032184359566811704
R1518	R1518: h_c + pmtcoa_c + ser__L_c --> 3dsphgn_c + co2_c + coa_c	0.000201716545928194
R1520	R1520: h_c + nadph_c + o2_c + sphgn_c --> h2o_c + nadp_c + psphings_c	5.249207869046304e-05
R1521	R1521: ser__L_c + stcoa_c --> C20DHSPH_c + co2_c + coa_c	0.00012383981833316676
R1523	R1523: C20SPH_c + h_c + nadph_c + o2_c --> C20PSPH_c + h2o_c + nadp_c	5.249207869046304e-05
R1524	R1524: C171COA_c + 4.0 h_c + ser__L_c --> C191DHSPH_c + co2_c + coa_c	0.00017023887811066452
R1526	R1526_num1: psphings_c + stcoa_c --> CERB1A_c + coa_c	2.624603934523152e-05
R1527	R1527_num1: ocdce9coa_c + psphings_c --> CERB1B_c + coa_c	2.624603934523152e-05
R1528	R1528_num1: C20PSPH_c + stcoa_c --> CERB1C_c + coa_c + 3.0 h_c	2.624603934523152e-05
R1529	R1529_num1: C20PSPH_c + ocdce9coa_c --> CERB1D_c + coa_c + 3.0 h_c	2.624603934523152e-05
R1530	R1530_num1: sphgn_c + stcoa_c --> CERB2A_c + coa_c	7.461223361886549e-05
R1531	R1531_num1: ocdce9coa_c + sphgn_c --> CERB2B_c + coa_c	7.461223361886549e-05
R1532	R1532_num1: C20SPH_c + stcoa_c --> CERB2C_c + coa_c + 3.0 h_c	3.5673869821351856e-05
R1533	R1533_num1: C20SPH_c + ocdce9coa_c --> CERB2D_c + coa_c + 3.0 h_c	3.5673869821351856e-05
R1534	R1534: CERB2A_c + udpgal_c --> GALCERA_c + udp_c	3.8938363797513624e-05
R1535	R1535: CERB2B_c + udpgal_c --> GALCERB_c + udp_c	3.8938363797513624e-05
R1536	R1536_num1: C191SPH_c + stcoa_c --> CEREB1_c + coa_c + h_c	8.501396267484237e-05
