Geneid,C1_1,C1_2,C1_3,C2_1,C2_2,C2_3,T1_1,T1_2,T1_3,T2_1,T2_2,T2_3
MYCTH_2114025,1.95,2.48,3.82,5.18,4.85,7.03,0.87,2.21,3.11,2.71,3.07,1.78
MYCTH_2293935,0.74,0.88,0.68,0.62,1.49,1.22,0.48,0.17,0.08,0.37,0.93,0.51
MYCTH_2293936,0.21,0.78,0.36,0.1,0.33,0.5,0.3,0.16,0.68,0.47,0.63,1.24
MYCTH_2051335,3.12,5.7,4.05,7.27,7.43,7.11,3.31,3.09,3.8,4.67,4.45,4.66
MYCTH_2121898,0,0.02,0.01,0,0,0.01,0.01,0.01,0.01,0,0.01,0.02
MYCTH_2293939,4.22,4.53,5.14,15.77,16.76,18.73,5.41,2.36,9.58,7.63,10.09,11.59
MYCTH_2293942,4.69,4.56,4.2,46.22,45.62,46.34,8.93,8.87,11.09,27.87,28.9,27.48
MYCTH_61543,885.82,945.33,1118.25,393.36,264.61,204.5,783.63,616.29,353.49,1295.69,1267.4,1432.11
MYCTH_2293944,13.01,11.29,11.3,18.61,16.93,16.76,8.92,8.97,9.25,13.32,12.25,14.42
MYCTH_98562,42.28,42.51,44.79,118.44,123.46,122.4,49.48,49.84,36.75,82.89,81.85,73.25
MYCTH_2105956,0.95,0.82,0.68,0.57,0.73,0.67,1.08,1.03,0.71,0.57,0.84,0.89
MYCTH_2293947,53.08,55.12,55.37,74.44,72.76,78.41,52.55,49.24,50.45,51.81,50.22,57.48
MYCTH_2293949,21.53,21.9,22.12,17.51,18.19,18.18,21.79,25.67,19.4,12.43,14.08,16.56
MYCTH_90655,7.97,6.03,7.2,27.26,30.3,29.36,11.7,7.2,37.05,26.16,27.49,28.93
MYCTH_2293953,37.51,34.39,31.47,282.38,294.47,300.33,41.04,37.67,38.06,233.22,246.2,216.71
MYCTH_t53,0,0,0.22,0.45,0,0,0.22,0,0,0.81,0,0
MYCTH_2293954,21.42,21.12,20.47,26.04,24.71,24.27,19.52,20.21,19.15,13.21,12.6,13.53
MYCTH_2049934,7.37,6.95,5.82,13.27,15.14,16.17,4.92,4.35,4.38,5.12,6.67,7.01
MYCTH_2293957,188.32,190.24,174.2,191.5,194.89,190.83,141.26,145.04,120.68,133.16,136.35,150.29
MYCTH_2293959,30.61,29.47,30.46,52.8,51.72,56.1,21.39,19.74,27.69,30.68,35.49,32.3
MYCTH_2293961,16.11,16.4,14.37,20.89,23.36,24.05,12.57,9.28,11.51,14.87,17.76,17.85
MYCTH_2293962,24.41,24.95,24.74,18.23,19.63,18.73,22.81,21.87,19.52,18.84,20.32,19.11
MYCTH_2293963,6.51,8.74,8.06,12.65,12.64,11.73,2.3,2.87,5.14,5.45,9.2,7.09
MYCTH_2293965,22.48,22.66,22.07,16.11,18.61,19.67,14.64,12.31,13.89,8.96,9.45,11.29
MYCTH_t52,0,0,0.21,0,0,0,0,0,0,0,0.93,1.34
MYCTH_2293966,0.75,0.8,0.33,2.56,2.97,2.8,0.49,0.84,1.24,1.85,0.84,1.28
MYCTH_2293968,5.62,5.47,6.17,10.9,10.81,10.66,4.06,4.27,4.03,5.16,5.63,5.28
MYCTH_2293969,25.49,27.78,24.95,19.13,19.17,20.67,17.55,12.27,14.03,11.41,12.87,13
MYCTH_2293970,36.93,41.88,35.85,28.73,26.63,29.31,28.47,27.2,25.58,19.05,19.79,23.78
MYCTH_2293973,3.48,3.71,3.08,10.34,9.32,8.37,2.96,1.48,2.5,2.68,4.27,3.45
MYCTH_2293977,16.73,16.5,16.17,22.58,19.23,17.91,16.14,15.81,13.48,11.69,13.05,12.74
MYCTH_2293982,35.08,37.16,33.26,19.52,20.14,18.29,27.61,28.92,24.24,14.6,15.55,16.67
MYCTH_31411,2.53,3.63,2.43,2.64,3.28,4.04,1.87,1.3,1.56,1.5,1.65,1.7
MYCTH_2293986,16.54,14.63,13.84,36.44,35.26,36.67,8.86,7.23,7.45,19.58,22.74,20.43
MYCTH_75421,26.13,29.47,24.67,46.11,46.68,48.02,22.25,16.72,24.32,23.02,28.89,30.13
MYCTH_2293995,7.56,5.73,6.98,16.38,17.35,15.85,4.64,4.9,5.35,11.28,11.24,10.29
MYCTH_2293998,7.81,7.61,8.64,17.42,18.79,21.39,5.97,4.45,5.92,8.85,10.11,9.74
MYCTH_2293999,34.67,35.28,34.13,45.67,40,37.86,28.89,27.96,33.38,31.19,34.09,32.45
MYCTH_2294001,4.66,7.25,6.33,15.06,13.5,12.58,3.9,2.22,5.3,6.13,8.33,8.29
MYCTH_2294003,17.01,13.97,16.62,21.63,23.26,19.68,14.07,14.74,17.82,14.34,15.29,15.43
MYCTH_2294005,6.78,4.84,4.91,8.66,8.86,7.19,4.43,5.35,5.82,8.85,4.59,3.25
MYCTH_2294006,15.07,13.89,14.62,26.84,27.36,27.5,12.18,14.6,11.14,17.13,17.19,15.05
MYCTH_2294008,19.21,19.65,18.4,21.93,25.09,25.36,13.95,11.01,14.81,12.57,13.8,12.85
MYCTH_2121938,152.55,149.17,148.16,476.44,478.22,479.62,103.26,95.82,156.66,340.8,345.67,337.7
MYCTH_2294022,6.27,5.85,6.52,13.16,14.1,15.31,4.35,3.4,4.2,8.58,8.74,8.22
MYCTH_2141262,80.74,85.15,75.59,78.03,80.32,79.22,60.48,64.13,58.28,60.82,59.78,63.63
MYCTH_2053489,9.3,8.96,9.71,15.85,15.9,16.95,6.78,5.36,4.05,10.24,10.31,9.55
MYCTH_2294026,12.33,10.79,12.1,36.16,39.47,41.92,5.54,4.63,6.49,13.05,15.15,14.47
MYCTH_2294033,15.9,16.97,14.85,62.41,66.84,68.23,14.76,11.39,15.73,36.32,36.36,32.07
MYCTH_2121946,0.07,0,0,0,0,0,0,0,0,0.12,0.12,0
MYCTH_2294035,82.68,69.68,72.04,59.78,62.36,66.85,76.5,89.97,69.03,42.24,43.94,47.26
