Geneid,C_1,C_2,C_3,T_1,T_2,T_3
MYCTH_2114025,15,37,30,160,190,226
MYCTH_2293935,14,39,25,15,46,31
MYCTH_2293936,17,14,14,2,8,10
MYCTH_2051335,219,358,329,311,403,317
MYCTH_2121898,0,0,0,2,2,3
MYCTH_2293939,183,276,277,1556,2097,1925
MYCTH_2293942,4308,7046,6060,3819,4780,3989
MYCTH_61543,2979,4815,5167,18225,15549,9872
MYCTH_2293944,687,1060,967,1500,1731,1407
MYCTH_98562,338,563,454,5406,7147,5821
MYCTH_2105956,13,20,7,26,42,32
MYCTH_2293947,831,1484,1567,3458,4287,3795
MYCTH_2293949,287,515,530,1078,1420,1166
MYCTH_90655,478,729,646,2933,4136,3292
MYCTH_2293953,737,1137,1044,18298,24201,20277
MYCTH_t53,5,5,9,2,0,0
MYCTH_2293954,577,1018,857,2218,2669,2154
MYCTH_2049934,626,991,924,929,1344,1179
MYCTH_2293957,5806,9584,9743,20328,26238,21106
MYCTH_2293959,804,1407,1400,2549,3167,2822
MYCTH_2293961,1259,2216,2128,2477,3514,2971
MYCTH_2293962,590,860,826,3019,4125,3233
MYCTH_2293963,198,284,264,986,1250,953
MYCTH_2293965,868,1365,1250,2713,3976,3452
MYCTH_t52,0,0,0,0,0,0
MYCTH_2293966,88,177,145,106,156,121
MYCTH_2293968,359,490,483,1097,1379,1117
MYCTH_2293969,686,1084,978,1764,2242,1986
MYCTH_2293970,1217,2043,2081,2170,2551,2307
MYCTH_2293973,111,224,192,608,695,513
MYCTH_2293977,600,919,789,2057,2221,1700
MYCTH_2293982,1071,1556,1616,2677,3503,2613
MYCTH_31411,190,312,317,249,392,397
MYCTH_2293986,570,862,882,2813,3452,2949
MYCTH_75421,1479,2421,2256,5149,6610,5587
MYCTH_2293995,1293,1987,1840,4083,5486,4116
MYCTH_2293998,983,1578,1227,2313,3163,2959
MYCTH_2293999,835,1159,1202,3531,3922,3050
MYCTH_2294001,697,1059,857,1544,1755,1344
MYCTH_2294003,632,980,1021,967,1319,917
MYCTH_2294005,29,56,31,141,183,122
MYCTH_2294006,932,1652,1399,2396,3098,2558
MYCTH_2294008,805,1193,1253,1089,1580,1312
MYCTH_2121938,41126,67560,71302,20280,25817,21271
MYCTH_2294022,1337,1839,1738,1142,1551,1384
MYCTH_2141262,3210,5567,5125,7749,10116,8197
MYCTH_2053489,445,725,697,1476,1879,1645
MYCTH_2294026,294,388,300,2818,3901,3403
MYCTH_2294033,2699,4231,3701,5604,7612,6383
MYCTH_2121946,3,10,6,0,0,0
MYCTH_2294035,1911,3091,2875,5593,7399,6516
MYCTH_2294036,101,171,192,349,480,325
MYCTH_2294037,614,1110,836,760,1118,895
MYCTH_2294039,889,1219,1073,4673,6427,5346
