Geneid,c_22h,c_47h,c_71h,c_88h
MYCTH_2298136,155953,295926,165303,118043
MYCTH_66783,11217,55948,122982,364558
MYCTH_77354,52680,103858,157561,148391
MYCTH_2301769,95841,109546,151501,85068
MYCTH_2299489,133886,107240,105510,30535
MYCTH_2314164,72788,106314,67666,43077
MYCTH_2303088,58408,43100,58040,88191
MYCTH_2095451,52144,69768,60673,56909
MYCTH_109566,63449,1599,8224,179325
MYCTH_2312852,19324,223035,11503,2948
MYCTH_112204,26099,91903,50843,23508
MYCTH_2305783,25230,57881,63062,54643
MYCTH_2316753,44632,99580,39512,26457
MYCTH_2311855,46125,84863,51991,32881
MYCTH_2316642,49659,83780,44069,31108
MYCTH_112686,45733,71884,43265,35799
MYCTH_2307257,8630,27325,48086,60078
MYCTH_66338,56152,73837,57939,18072
MYCTH_2304566,13919,3290,5070,139184
MYCTH_2088086,36117,66623,37572,27343
MYCTH_2297802,22412,47056,37044,46662
MYCTH_43671,20930,5686,34901,65690
MYCTH_2119589,20565,50431,58601,19655
MYCTH_2133483,32674,47403,26177,35072
MYCTH_2307578,24330,35134,40180,30148
MYCTH_40719,17566,10061,35724,61124
MYCTH_2294358,3727,13572,61663,56676
MYCTH_114107,44358,5394,15802,84169
MYCTH_86076,12904,23043,32342,32860
MYCTH_2141513,32247,20754,27694,57134
MYCTH_2300643,28864,34972,35784,34788
MYCTH_2315848,19429,27342,34315,42014
MYCTH_81258,5975,219,2232,78253
MYCTH_2314852,30722,40262,31871,28163
MYCTH_2297659,83818,32245,26347,10135
MYCTH_2135800,31845,20546,31046,35218
MYCTH_2295989,31306,51307,32561,17886
MYCTH_2315548,21276,19081,27005,37316
MYCTH_106819,20775,32619,30422,34451
MYCTH_2296210,16888,58175,31878,16085
MYCTH_2312579,28433,51684,25917,16465
MYCTH_105482,144343,329,60,27
MYCTH_2294840,21215,29292,25578,28269
MYCTH_2314413,5469,31351,65447,26325
MYCTH_2308798,20827,32538,21452,32415
MYCTH_2309766,38049,41480,29112,17526
MYCTH_71850,6006,6669,20287,60767
MYCTH_113450,45741,31143,21988,26818
MYCTH_73461,24168,67617,25388,10627
MYCTH_59591,23622,51631,28128,17165
MYCTH_2297550,22979,23262,30471,26214
MYCTH_2060338,7345,40766,51489,4754
MYCTH_2315630,30717,7734,21410,41555
MYCTH_2301341,17713,48685,38075,10507
MYCTH_2133976,28396,30724,33116,17398
MYCTH_75296,127227,193,13,68
MYCTH_2302076,24794,47377,22259,16462
MYCTH_2302731,12059,10639,22581,39359
MYCTH_110674,16594,9691,22241,48390
MYCTH_2294415,21517,33176,25305,17620
MYCTH_2071514,26989,19557,24810,23555
MYCTH_2071953,24310,21419,24986,22481
MYCTH_45669,33047,19588,39213,10492
MYCTH_2134407,18855,8999,7915,49167
MYCTH_2071285,24906,19504,18369,25765
MYCTH_66729,27015,4239,9238,63319
MYCTH_2302705,16440,42624,20010,15102
MYCTH_2296247,22964,21541,28351,25043
MYCTH_2086391,18408,33497,17852,16617
MYCTH_2300033,17697,20758,20720,23953
MYCTH_2308157,20313,15276,14672,22859
MYCTH_2141486,18492,32484,19912,19069
MYCTH_2295976,18913,44685,18528,13221
MYCTH_2297816,22674,15477,14750,21349
MYCTH_2071504,22557,15971,20664,20676
MYCTH_62925,21970,10444,16547,46880
MYCTH_2303045,9086,664,4040,87490
MYCTH_2315197,6168,58954,19703,8581
MYCTH_2134935,15396,54979,26245,2603
MYCTH_115968,20887,5104,9564,58826
MYCTH_2309261,24434,23570,8588,20218
MYCTH_2297820,17177,17804,22826,19891
MYCTH_2307328,8945,8079,8830,29797
MYCTH_106768,3209,25293,21379,20930
MYCTH_2316240,18122,29651,22740,12058
MYCTH_2299636,6211,4974,12530,28087
MYCTH_2295438,23493,26421,20925,15757
MYCTH_2305754,13925,2907,18141,40278
MYCTH_2314934,15217,27729,21514,12855
MYCTH_2295040,11527,28989,18682,17883
MYCTH_2295083,19478,22343,14964,19281
MYCTH_2308372,8214,37126,21828,5587
MYCTH_2316706,13832,20422,15188,21827
MYCTH_2314451,72829,8558,2659,5416
MYCTH_2298199,11543,22055,14131,19417
MYCTH_2298380,7071,26805,27500,17723
MYCTH_2073265,13452,13729,11667,21973
MYCTH_50335,5287,13652,50313,7092
MYCTH_2307982,28255,12318,17398,16251
MYCTH_2097570,14364,26660,11221,14206
MYCTH_2307600,7104,16748,16149,22032
MYCTH_2302632,12336,13827,13234,24800
MYCTH_111425,26554,25646,25276,3572
MYCTH_2304464,14649,21714,14925,15983
MYCTH_57779,20034,14555,12790,19403
MYCTH_107178,15056,17227,19630,17057
MYCTH_2315566,27202,10307,10722,15500
MYCTH_2313362,11323,23556,13358,15917
MYCTH_111030,5424,29901,28628,4109
MYCTH_2307921,16691,30114,14328,12845
MYCTH_2296382,20842,22785,13691,14012
MYCTH_2304921,22582,10937,11658,18315
MYCTH_2084531,6165,7815,10173,25866
MYCTH_2314609,22173,27213,21589,3894
MYCTH_46583,2692,353,609,72816
MYCTH_2301051,12468,22807,15710,14931
MYCTH_2299445,9418,12426,10193,21691
MYCTH_2315711,19240,20926,18879,9101
MYCTH_2316740,15712,8870,8946,20341
MYCTH_2305575,9901,32316,13175,9023
MYCTH_2304388,11983,20446,11464,17973
MYCTH_75824,16147,34876,14368,6294
MYCTH_2305813,12972,9704,13281,25383
MYCTH_110821,12608,21884,15043,14208
MYCTH_2294679,11087,17076,12209,14505
MYCTH_89872,6741,6986,13038,26610
MYCTH_2097501,20827,2947,4276,32249
MYCTH_2312253,23533,24902,19996,2666
MYCTH_140260,14596,19536,13570,13523
MYCTH_57777,14826,19274,15284,12155
MYCTH_2316337,16219,14605,10439,16183
MYCTH_2313632,7952,7899,5577,19944
