GO	GENE	CLASS
GO:0005634	ANI_1_2054014	CC
GO:0003677	ANI_1_2054014	MF
GO:0032968	ANI_1_2054014	BP
GO:0006367	ANI_1_2054014	BP
GO:0006367	ANI_1_2054014	BP
GO:0016740	ANI_1_2056014	MF
GO:0003824	ANI_1_2056014	MF
GO:0004318	ANI_1_2056014	MF
GO:0055114	ANI_1_2056014	BP
GO:0055114	ANI_1_2056014	BP
GO:0005835	ANI_1_2056014	CC
GO:0006633	ANI_1_2056014	BP
GO:0004312	ANI_1_2056014	MF
GO:0000287	ANI_1_6014	MF
GO:0008897	ANI_1_6014	MF
GO:0004312	ANI_1_6014	MF
GO:0042759	ANI_1_6014	BP
GO:0006633	ANI_1_6014	BP
GO:0000287	ANI_1_6014	MF
GO:0008897	ANI_1_6014	MF
GO:0003824	ANI_1_6014	MF
GO:0016020	ANI_1_2058014	CC
GO:0003723	ANI_1_2058014	MF
GO:0004809	ANI_1_2058014	MF
GO:0008033	ANI_1_2058014	BP
GO:0004739	ANI_1_12014	MF
GO:0006086	ANI_1_12014	BP
GO:0003824	ANI_1_12014	MF
GO:0009166	ANI_1_14014	BP
GO:0016787	ANI_1_14014	MF
GO:0016787	ANI_1_14014	MF
GO:0055114	ANI_1_2062014	BP
GO:0016491	ANI_1_2062014	MF
GO:0050567	ANI_1_2064014	MF
GO:0030956	ANI_1_2064014	CC
GO:0006412	ANI_1_2064014	BP
GO:0016787	ANI_1_2064014	MF
GO:0051568	ANI_1_2066014	BP
GO:0048188	ANI_1_2066014	CC
GO:0005515	ANI_1_2066014	MF
GO:0003700	ANI_1_24014	MF
GO:0006355	ANI_1_24014	BP
GO:0000981	ANI_1_2068014	MF
GO:0042025	ANI_1_2068014	CC
GO:0008270	ANI_1_2068014	MF
GO:0006355	ANI_1_2068014	BP
GO:0008410	ANI_1_30014	MF
GO:0046952	ANI_1_30014	BP
GO:0008410	ANI_1_30014	MF
GO:0022857	ANI_1_2072014	MF
GO:0022857	ANI_1_2072014	MF
GO:0055085	ANI_1_2072014	BP
GO:0005506	ANI_1_2076014	MF
GO:0055114	ANI_1_2076014	BP
GO:0020037	ANI_1_2076014	MF
GO:0016705	ANI_1_2076014	MF
