GO	GENE	CLASS
GO:0005515	MYCTH_73315	MF
GO:0003700	MYCTH_73315	MF
GO:0034770	MYCTH_73315	BP
GO:0004865	MYCTH_2312519	MF
GO:0006520	MYCTH_2090554	BP
GO:0016639	MYCTH_2090554	MF
GO:0003824	MYCTH_2305611	MF
GO:0004185	MYCTH_2302738	MF
GO:0005524	MYCTH_2094933	MF
GO:0043531	MYCTH_2297165	MF
GO:0003723	MYCTH_2302558	MF
GO:0003729	MYCTH_2302558	MF
GO:0003676	MYCTH_2302558	MF
GO:0006886	MYCTH_2300729	BP
GO:0030127	MYCTH_2300729	CC
GO:0009229	MYCTH_2305592	BP
GO:0004788	MYCTH_2305592	MF
GO:0006364	MYCTH_2309927	BP
GO:0005515	MYCTH_2309927	MF
GO:0003723	MYCTH_2306674	MF
GO:0005524	MYCTH_2309618	MF
GO:0004553	MYCTH_2065851	MF
GO:0008757	MYCTH_2302026	MF
GO:0006099	MYCTH_2312147	BP
GO:0003824	MYCTH_2312147	MF
GO:0005524	MYCTH_2312147	MF
GO:0016746	MYCTH_2112801	MF
GO:0003796	MYCTH_2312918	MF
GO:0035091	MYCTH_2293999	MF
GO:0016575	MYCTH_2306632	BP
GO:0006397	MYCTH_2071905	BP
GO:0016787	MYCTH_2071905	MF
GO:0015095	MYCTH_90985	MF
GO:0016020	MYCTH_90985	CC
GO:0003700	MYCTH_2295346	MF
GO:0030600	MYCTH_48379	MF
GO:1902979	MYCTH_2139768	BP
GO:0008289	MYCTH_2298256	MF
GO:0004521	MYCTH_2297073	MF
GO:0000981	MYCTH_2297073	MF
GO:0006812	MYCTH_2061857	BP
GO:0046872	MYCTH_2061857	MF
GO:0005215	MYCTH_2061857	MF
GO:0000166	MYCTH_2061857	MF
GO:0003735	MYCTH_2300549	MF
GO:0005739	MYCTH_2309533	CC
GO:0003884	MYCTH_60632	MF
GO:0016491	MYCTH_60632	MF
GO:0031011	MYCTH_2311850	CC
GO:0006338	MYCTH_2311850	BP
GO:0016788	MYCTH_2298656	MF
GO:0003723	MYCTH_2314933	MF
GO:0003924	MYCTH_2293959	MF
GO:0005525	MYCTH_2293959	MF
GO:0005525	MYCTH_2302186	MF
GO:0005680	MYCTH_2311299	CC
GO:0003700	MYCTH_2297059	MF
GO:0008271	MYCTH_2300067	MF
GO:0008272	MYCTH_2300067	BP
GO:0010945	MYCTH_2294236	MF
GO:0000045	MYCTH_40928	BP
GO:0005975	MYCTH_89872	BP
GO:0005515	MYCTH_2306401	MF
GO:0003743	MYCTH_2304586	MF
GO:0000049	MYCTH_2304529	MF
GO:0000166	MYCTH_2304529	MF
GO:0005515	MYCTH_2097686	MF
GO:0005484	MYCTH_2302111	MF
GO:0006886	MYCTH_2302111	BP
GO:0016020	MYCTH_2302111	CC
GO:0015031	MYCTH_2314691	BP
GO:0008080	MYCTH_2301807	MF
GO:0003824	MYCTH_2301807	MF
GO:0031124	MYCTH_2310812	BP
GO:0005849	MYCTH_2310812	CC
GO:0006396	MYCTH_2310812	BP
GO:0004100	MYCTH_2296388	MF
GO:0001401	MYCTH_2293977	CC
GO:0003677	MYCTH_2301403	MF
GO:0003688	MYCTH_2301403	MF
GO:0008270	MYCTH_2302632	MF
GO:0008289	MYCTH_2300156	MF
GO:0005337	MYCTH_2304406	MF
GO:0003676	MYCTH_2114843	MF
GO:0005672	MYCTH_2294640	CC
GO:0005515	MYCTH_2314749	MF
GO:0019784	MYCTH_2295609	MF
GO:0006508	MYCTH_2295609	BP
GO:0016491	MYCTH_2294173	MF
GO:0005515	MYCTH_2296655	MF
GO:0006396	MYCTH_2296655	BP
GO:0000398	MYCTH_2296655	BP
GO:0016491	MYCTH_39983	MF
GO:0048188	MYCTH_117625	CC
GO:0005515	MYCTH_117625	MF
GO:0003994	MYCTH_2309261	MF
GO:0031047	MYCTH_2070352	BP
GO:0008233	MYCTH_2295873	MF
GO:0016740	MYCTH_2306594	MF
GO:0009058	MYCTH_2306594	BP
GO:0004475	MYCTH_2306594	MF
GO:0000981	MYCTH_2305582	MF
GO:0003677	MYCTH_2305582	MF
GO:0003735	MYCTH_2315249	MF
GO:0003723	MYCTH_2315249	MF
GO:0003968	MYCTH_2297939	MF
GO:0006631	MYCTH_86143	BP
GO:0016491	MYCTH_86143	MF
GO:0008483	MYCTH_2304900	MF
GO:0003824	MYCTH_2304900	MF
GO:0003867	MYCTH_2304900	MF
GO:0042254	MYCTH_2315602	BP
GO:0003735	MYCTH_2082154	MF
GO:0008080	MYCTH_2087754	MF
GO:0008033	MYCTH_2312817	BP
GO:0006396	MYCTH_2312817	BP
GO:0005515	MYCTH_2307166	MF
GO:0005524	MYCTH_2303514	MF
GO:0004672	MYCTH_2303514	MF
GO:0003723	MYCTH_2310878	MF
GO:0000015	MYCTH_2295989	CC
GO:0005515	MYCTH_2296602	MF
GO:0043015	MYCTH_2299193	MF
GO:0000226	MYCTH_2299193	BP
GO:0005096	MYCTH_2141524	MF
GO:0001510	MYCTH_2300833	BP
GO:0008168	MYCTH_2300833	MF
GO:0008649	MYCTH_2300833	MF
GO:0005634	MYCTH_2300833	CC
GO:0003735	MYCTH_2122073	MF
GO:0003682	MYCTH_2296919	MF
GO:0005524	MYCTH_2296919	MF
GO:0004190	MYCTH_2112475	MF
GO:0006886	MYCTH_2311843	BP
GO:0016192	MYCTH_2311843	BP
GO:0003924	MYCTH_2309912	MF
GO:0005525	MYCTH_2309912	MF
GO:0016409	MYCTH_2298114	MF
GO:0003677	MYCTH_2294854	MF
GO:0016021	MYCTH_2306977	CC
GO:0006400	MYCTH_2300653	BP
GO:0005975	MYCTH_2296536	BP
GO:0016868	MYCTH_2296536	MF
GO:0000287	MYCTH_2296536	MF
GO:0004614	MYCTH_2296536	MF
