GO	GENE	CLASS
GO:0003723	TRIREDRAFT_1673	MF
GO:0003743	TRIREDRAFT_1673	MF
GO:0006413	TRIREDRAFT_1673	BP
GO:0051056	TRIREDRAFT_1683	BP
GO:0005096	TRIREDRAFT_1683	MF
GO:0005634	TRIREDRAFT_1683	CC
GO:0043547	TRIREDRAFT_1683	BP
GO:0005096	TRIREDRAFT_1683	MF
GO:0005096	TRIREDRAFT_1683	MF
GO:0043547	TRIREDRAFT_1683	BP
GO:0005096	TRIREDRAFT_1683	MF
GO:0051056	TRIREDRAFT_1683	BP
GO:0006412	TRIREDRAFT_1692	BP
GO:0005840	TRIREDRAFT_1692	CC
GO:0003735	TRIREDRAFT_1692	MF
GO:0008134	TRIREDRAFT_1702	MF
GO:0006355	TRIREDRAFT_1702	BP
GO:0003677	TRIREDRAFT_1702	MF
GO:0005730	TRIREDRAFT_1702	CC
GO:0006397	TRIREDRAFT_1735	BP
GO:0000445	TRIREDRAFT_1735	CC
GO:0005515	TRIREDRAFT_1737	MF
GO:0071949	TRIREDRAFT_1751	MF
GO:0005515	TRIREDRAFT_1847	MF
GO:0016570	TRIREDRAFT_1847	BP
GO:0006355	TRIREDRAFT_1847	BP
GO:0006606	TRIREDRAFT_1857	BP
GO:0035556	TRIREDRAFT_1879	BP
GO:2001070	TRIREDRAFT_1885	MF
GO:0030246	TRIREDRAFT_1885	MF
GO:0004339	TRIREDRAFT_1885	MF
GO:0005976	TRIREDRAFT_1885	BP
GO:0003824	TRIREDRAFT_1885	MF
GO:2001070	TRIREDRAFT_1885	MF
GO:0004339	TRIREDRAFT_1885	MF
GO:0000272	TRIREDRAFT_1885	BP
GO:0006890	TRIREDRAFT_1912	BP
GO:0016021	TRIREDRAFT_1912	CC
GO:0080132	TRIREDRAFT_1925	MF
GO:0006629	TRIREDRAFT_1925	BP
GO:0016021	TRIREDRAFT_1925	CC
GO:0005506	TRIREDRAFT_1925	MF
GO:0016491	TRIREDRAFT_1925	MF
GO:0055114	TRIREDRAFT_1925	BP
GO:0008610	TRIREDRAFT_1925	BP
GO:0020037	TRIREDRAFT_1925	MF
GO:0006511	TRIREDRAFT_1947	BP
GO:0005515	TRIREDRAFT_1958	MF
GO:0016787	TRIREDRAFT_1959	MF
GO:0003723	TRIREDRAFT_1983	MF
GO:0016491	TRIREDRAFT_1993	MF
GO:0055114	TRIREDRAFT_1993	BP
GO:0006561	TRIREDRAFT_1993	BP
GO:0004350	TRIREDRAFT_1993	MF
GO:0055114	TRIREDRAFT_1993	BP
GO:0016491	TRIREDRAFT_1993	MF
GO:0016620	TRIREDRAFT_1993	MF
GO:0055114	TRIREDRAFT_1993	BP
GO:0004350	TRIREDRAFT_1993	MF
GO:0006561	TRIREDRAFT_1993	BP
GO:0055114	TRIREDRAFT_1993	BP
GO:0006561	TRIREDRAFT_1993	BP
GO:0004350	TRIREDRAFT_1993	MF
GO:0055114	TRIREDRAFT_1993	BP
GO:0050661	TRIREDRAFT_1993	MF
GO:0007018	TRIREDRAFT_1997	BP
GO:0008017	TRIREDRAFT_1997	MF
GO:0005524	TRIREDRAFT_1997	MF
GO:0003777	TRIREDRAFT_1997	MF
GO:0003777	TRIREDRAFT_1997	MF
GO:0007018	TRIREDRAFT_1997	BP
GO:0005524	TRIREDRAFT_1997	MF
GO:0003777	TRIREDRAFT_1997	MF
GO:0007018	TRIREDRAFT_1997	BP
