ang01100	Metabolic pathways
ang01110	Biosynthesis of secondary metabolites
ang01200	Carbon metabolism
ang01210	2-Oxocarboxylic acid metabolism
ang01212	Fatty acid metabolism
ang01230	Biosynthesis of amino acids
ang01232	Nucleotide metabolism
ang01250	Biosynthesis of nucleotide sugars
ang01240	Biosynthesis of cofactors
ang00010	Glycolysis / Gluconeogenesis
ang00020	Citrate cycle (TCA cycle)
ang00030	Pentose phosphate pathway
ang00040	Pentose and glucuronate interconversions
ang00051	Fructose and mannose metabolism
ang00052	Galactose metabolism
ang00053	Ascorbate and aldarate metabolism
ang00500	Starch and sucrose metabolism
ang00520	Amino sugar and nucleotide sugar metabolism
ang00620	Pyruvate metabolism
ang00630	Glyoxylate and dicarboxylate metabolism
ang00640	Propanoate metabolism
ang00650	Butanoate metabolism
ang00660	C5-Branched dibasic acid metabolism
ang00562	Inositol phosphate metabolism
ang00190	Oxidative phosphorylation
ang00680	Methane metabolism
ang00910	Nitrogen metabolism
ang00920	Sulfur metabolism
ang00061	Fatty acid biosynthesis
ang00062	Fatty acid elongation
ang00071	Fatty acid degradation
ang00073	Cutin, suberine and wax biosynthesis
ang00100	Steroid biosynthesis
ang00561	Glycerolipid metabolism
ang00564	Glycerophospholipid metabolism
ang00565	Ether lipid metabolism
ang00600	Sphingolipid metabolism
ang00590	Arachidonic acid metabolism
ang00591	Linoleic acid metabolism
ang00592	alpha-Linolenic acid metabolism
ang01040	Biosynthesis of unsaturated fatty acids
ang00230	Purine metabolism
ang00240	Pyrimidine metabolism
ang00250	Alanine, aspartate and glutamate metabolism
ang00260	Glycine, serine and threonine metabolism
ang00270	Cysteine and methionine metabolism
ang00280	Valine, leucine and isoleucine degradation
ang00290	Valine, leucine and isoleucine biosynthesis
ang00300	Lysine biosynthesis
ang00310	Lysine degradation
ang00220	Arginine biosynthesis
ang00330	Arginine and proline metabolism
ang00340	Histidine metabolism
ang00350	Tyrosine metabolism
ang00360	Phenylalanine metabolism
ang00380	Tryptophan metabolism
ang00400	Phenylalanine, tyrosine and tryptophan biosynthesis
ang00410	beta-Alanine metabolism
ang00430	Taurine and hypotaurine metabolism
ang00440	Phosphonate and phosphinate metabolism
ang00450	Selenocompound metabolism
ang00460	Cyanoamino acid metabolism
ang00470	D-Amino acid metabolism
ang00480	Glutathione metabolism
ang00510	N-Glycan biosynthesis
ang00513	Various types of N-glycan biosynthesis
ang00515	Mannose type O-glycan biosynthesis
ang00514	Other types of O-glycan biosynthesis
ang00531	Glycosaminoglycan degradation
ang00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
ang00603	Glycosphingolipid biosynthesis - globo and isoglobo series
ang00511	Other glycan degradation
ang00730	Thiamine metabolism
ang00740	Riboflavin metabolism
ang00750	Vitamin B6 metabolism
ang00760	Nicotinate and nicotinamide metabolism
ang00770	Pantothenate and CoA biosynthesis
ang00780	Biotin metabolism
ang00785	Lipoic acid metabolism
ang00790	Folate biosynthesis
ang00670	One carbon pool by folate
ang00860	Porphyrin metabolism
ang00130	Ubiquinone and other terpenoid-quinone biosynthesis
ang00900	Terpenoid backbone biosynthesis
ang00909	Sesquiterpenoid and triterpenoid biosynthesis
ang00904	Diterpenoid biosynthesis
ang00906	Carotenoid biosynthesis
ang01053	Biosynthesis of siderophore group nonribosomal peptides
ang00403	Indole diterpene alkaloid biosynthesis
ang00232	Caffeine metabolism
ang00311	Penicillin and cephalosporin biosynthesis
ang00261	Monobactam biosynthesis
ang00404	Staurosporine biosynthesis
ang00254	Aflatoxin biosynthesis
ang00999	Biosynthesis of various plant secondary metabolites
ang00791	Atrazine degradation
ang03020	RNA polymerase
ang03022	Basal transcription factors
ang03040	Spliceosome
ang03010	Ribosome
ang00970	Aminoacyl-tRNA biosynthesis
ang03013	Nucleocytoplasmic transport
ang03015	mRNA surveillance pathway
ang03008	Ribosome biogenesis in eukaryotes
ang03060	Protein export
ang04141	Protein processing in endoplasmic reticulum
ang04130	SNARE interactions in vesicular transport
ang04120	Ubiquitin mediated proteolysis
ang04122	Sulfur relay system
ang03050	Proteasome
ang03018	RNA degradation
ang03030	DNA replication
ang03410	Base excision repair
ang03420	Nucleotide excision repair
ang03430	Mismatch repair
ang03440	Homologous recombination
ang03450	Non-homologous end-joining
ang03082	ATP-dependent chromatin remodeling
ang03083	Polycomb repressive complex
ang03250	Viral life cycle - HIV-1
ang02010	ABC transporters
ang04011	MAPK signaling pathway - yeast
ang04070	Phosphatidylinositol signaling system
ang04144	Endocytosis
ang04145	Phagosome
ang04146	Peroxisome
ang04138	Autophagy - yeast
ang04136	Autophagy - other
ang04139	Mitophagy - yeast
ang04111	Cell cycle - yeast
ang04113	Meiosis - yeast
ang04814	Motor proteins
ang01501	beta-Lactam resistance
