Geneid,C_1,C_2,C_3,WT_1,WT_2,WT_3,G_1,G_2,G_3
MYCTH_2114025,15,37,30,160,190,226,173,186,157
MYCTH_2293935,14,39,25,15,46,31,21,19,24
MYCTH_2293936,17,14,14,2,8,10,9,1,7
MYCTH_2051335,219,358,329,311,403,317,367,294,277
MYCTH_2121898,0,0,0,2,2,3,1,2,3
MYCTH_2293939,183,276,277,1556,2097,1925,3255,3351,3589
MYCTH_2293942,4308,7046,6060,3819,4780,3989,3681,4140,4064
MYCTH_61543,2979,4815,5167,18225,15549,9872,14651,18763,23773
MYCTH_2293944,687,1060,967,1500,1731,1407,1847,1860,1831
MYCTH_98562,338,563,454,5406,7147,5821,2018,2068,2326
MYCTH_2105956,13,20,7,26,42,32,44,41,58
MYCTH_2293947,831,1484,1567,3458,4287,3795,3244,3163,3544
MYCTH_2293949,287,515,530,1078,1420,1166,1498,1368,1521
MYCTH_90655,478,729,646,2933,4136,3292,4811,5607,5754
MYCTH_2293953,737,1137,1044,18298,24201,20277,4211,4306,4940
MYCTH_t53,5,5,9,2,0,0,9,7,0
MYCTH_2293954,577,1018,857,2218,2669,2154,2810,2969,3289
MYCTH_2049934,626,991,924,929,1344,1179,1163,1501,1480
MYCTH_2293957,5806,9584,9743,20328,26238,21106,37240,39638,42024
MYCTH_2293959,804,1407,1400,2549,3167,2822,2956,3019,3175
MYCTH_2293961,1259,2216,2128,2477,3514,2971,4134,4178,4684
MYCTH_2293962,590,860,826,3019,4125,3233,3611,3799,4304
MYCTH_2293963,198,284,264,986,1250,953,538,652,679
MYCTH_2293965,868,1365,1250,2713,3976,3452,4348,4272,4345
MYCTH_t52,0,0,0,0,0,0,0,0,0
MYCTH_2293966,88,177,145,106,156,121,111,144,145
MYCTH_2293968,359,490,483,1097,1379,1117,1305,1458,1452
MYCTH_2293969,686,1084,978,1764,2242,1986,5819,5866,6221
MYCTH_2293970,1217,2043,2081,2170,2551,2307,3279,3634,3953
MYCTH_2293973,111,224,192,608,695,513,671,740,738
MYCTH_2293977,600,919,789,2057,2221,1700,2446,2873,2880
MYCTH_2293982,1071,1556,1616,2677,3503,2613,7107,7414,7911
MYCTH_31411,190,312,317,249,392,397,596,817,919
MYCTH_2293986,570,862,882,2813,3452,2949,2748,3089,3431
MYCTH_75421,1479,2421,2256,5149,6610,5587,7301,7939,7883
MYCTH_2293995,1293,1987,1840,4083,5486,4116,4518,4813,4865
MYCTH_2293998,983,1578,1227,2313,3163,2959,2657,2613,2791
MYCTH_2293999,835,1159,1202,3531,3922,3050,3673,3726,3953
MYCTH_2294001,697,1059,857,1544,1755,1344,1386,1532,1665
MYCTH_2294003,632,980,1021,967,1319,917,1603,1755,1738
MYCTH_2294005,29,56,31,141,183,122,93,52,76
MYCTH_2294006,932,1652,1399,2396,3098,2558,1350,1437,1533
MYCTH_2294008,805,1193,1253,1089,1580,1312,2073,1997,2031
MYCTH_2121938,41126,67560,71302,20280,25817,21271,11392,12576,12706
MYCTH_2294022,1337,1839,1738,1142,1551,1384,1170,1178,1182
MYCTH_2141262,3210,5567,5125,7749,10116,8197,12604,12377,13528
MYCTH_2053489,445,725,697,1476,1879,1645,1756,1756,1934
MYCTH_2294026,294,388,300,2818,3901,3403,3349,3282,3735
MYCTH_2294033,2699,4231,3701,5604,7612,6383,2957,2725,3279
MYCTH_2121946,3,10,6,0,0,0,0,3,2
MYCTH_2294035,1911,3091,2875,5593,7399,6516,2286,2451,2677
MYCTH_2294036,101,171,192,349,480,325,287,315,315
MYCTH_2294037,614,1110,836,760,1118,895,934,1013,1071
MYCTH_2294039,889,1219,1073,4673,6427,5346,6516,6052,6886
MYCTH_2072958,761,1218,1062,2234,2990,2643,3751,3741,4078
MYCTH_2313252,3019,4661,4335,6525,8513,7175,11590,10815,12044
MYCTH_2294048,537,722,602,3495,4233,3427,3257,3269,3355
MYCTH_2294051,1903,3131,2744,3917,5203,4078,5059,5162,5883
MYCTH_2121955,1428,2281,2422,2357,3092,2589,3941,4249,4002
MYCTH_2294054,1197,1853,1947,2764,3507,2957,7163,7549,7877
MYCTH_2054076,0,2,11,10,5,1,2,2,13
MYCTH_2294062,5489,8908,8064,37777,52400,42097,29054,31498,33278
MYCTH_2294065,3097,5250,4678,2579,3580,3187,1121,1123,1313
MYCTH_2294067,37,43,38,286,531,308,232,166,231
MYCTH_2085599,10475,17437,16541,20617,27230,22203,13546,13518,14934
MYCTH_2294074,333,427,492,1907,2576,1968,1707,1556,1726
MYCTH_2294077,1972,3230,3278,7808,9980,7222,9336,10211,10402
MYCTH_2051419,949,1419,1444,7667,9437,8086,5761,5790,6167
MYCTH_2294085,370,601,539,3227,3809,3362,734,766,894
MYCTH_2294086,103,191,157,546,528,456,252,232,344
MYCTH_2054510,0,0,0,0,0,0,0,0,0
MYCTH_2054216,0,0,0,0,0,0,0,0,0
MYCTH_2052384,0,0,0,0,0,0,0,0,0
MYCTH_61649,0,0,0,0,0,0,0,0,0
MYCTH_2052509,0,0,0,0,0,0,0,0,0
MYCTH_36219,0,0,0,0,0,0,0,0,0
MYCTH_2294088,684,1021,850,3071,4681,4751,2723,2305,2895
MYCTH_2294089,543,860,804,1354,1690,1522,2024,2022,2178
MYCTH_2294092,275,587,591,341,409,406,410,464,451
MYCTH_61659,972,1606,1451,5080,6316,5410,5170,5108,5500
MYCTH_75490,433,775,661,5349,7199,4883,2715,2584,2854
MYCTH_2294099,1222,1922,1791,3117,4255,3558,2588,2871,3154
MYCTH_2294100,339,441,408,823,1103,819,996,948,1038
MYCTH_2294101,37,63,30,148,302,262,278,222,279
MYCTH_2141282,558,909,773,1880,2710,2266,3354,3142,3782
MYCTH_2294104,1035,1950,1811,1715,2247,1888,2871,2654,2930
MYCTH_2313262,2747,4827,4809,4378,5457,4506,4680,4394,5079
MYCTH_2294109,337,523,583,433,626,456,372,461,485
MYCTH_2294110,523,851,770,1190,1537,1220,1659,1762,1841
MYCTH_2294115,748,1220,1194,1535,1778,1688,1769,1760,1795
MYCTH_2294116,290,483,497,190,201,249,223,218,214
MYCTH_2294124,350,589,572,268,477,326,233,185,193
MYCTH_2114100,94,174,150,291,269,236,182,187,199
MYCTH_2313270,149,185,100,2361,2696,2022,2331,2200,2347
MYCTH_2136371,2193,3324,2961,9467,10553,8988,9042,9150,10016
MYCTH_2053555,132,199,182,466,619,567,617,589,619
MYCTH_2294137,371,673,635,699,750,607,834,1037,959
MYCTH_2294138,417,626,625,642,751,702,907,863,910
MYCTH_2294143,2342,3659,3388,12313,15907,12916,17410,17389,18575
MYCTH_2294145,803,1401,1242,1236,1863,1790,2539,2464,2792
MYCTH_2050335,354,552,580,769,939,847,1061,1073,1049
MYCTH_2294147,357,708,549,1749,2076,1843,2152,2550,2529
MYCTH_2294148,14592,22577,20674,26899,37417,28855,55332,56199,60285
MYCTH_75536,4163,6645,6222,9000,11862,9635,16260,15857,18063
MYCTH_2141297,628,994,932,1396,1746,1399,3328,3160,3373
MYCTH_105575,1423,2383,2010,908,1235,1110,4770,5635,5684
MYCTH_2294164,478,745,679,1974,2630,2252,2416,2157,2381
MYCTH_2294165,27,46,43,491,568,482,569,364,569
MYCTH_43356,1934,3154,3003,2158,2909,2118,5146,6303,6223
MYCTH_2294168,1425,2199,1805,23170,31236,25415,19876,18527,21965
MYCTH_2122013,5,8,12,3,8,8,17,6,8
MYCTH_2294173,3123,5379,4923,1132,1620,1411,1070,900,1042
MYCTH_2294181,7010,11735,10510,15281,20977,18442,15035,13242,14836
MYCTH_2294188,2330,3641,3295,2616,3652,2932,5323,5226,5579
MYCTH_2294189,868,1235,1268,874,1198,974,1206,1364,1343
MYCTH_2294191,293,493,401,572,864,708,1121,1165,1254
MYCTH_2294192,402,679,702,750,929,749,713,644,628
MYCTH_2294193,723,1260,1190,2607,3963,3446,4314,4404,4599
MYCTH_2051994,32,84,58,53,104,72,112,123,119
MYCTH_2294197,618,1081,967,2857,4396,3079,7519,8653,8572
MYCTH_2294200,138,188,124,566,909,668,1093,1112,1207
MYCTH_2294202,333,454,281,1580,1800,1416,2417,2924,2842
MYCTH_86520,944,1593,1473,916,1212,1191,1631,1728,1739
MYCTH_2294206,726,1170,1038,2445,3316,2748,3851,3717,4043
MYCTH_2049865,561,931,943,70,64,59,859,985,1022
MYCTH_2294210,1962,3285,3046,2478,3433,2887,8671,8718,9337
MYCTH_61755,51,86,71,281,350,296,363,357,372
MYCTH_t1,0,0,0,0,0,0,0,0,0
MYCTH_2294213,1901,3004,2599,10372,13727,9913,11757,10942,12621
MYCTH_2294215,4723,8063,7326,7670,9340,8077,10021,8792,10626
MYCTH_2294216,463,696,791,1019,1465,1018,1426,1490,1631
MYCTH_2131445,262,464,456,760,1141,903,2170,2072,2299
MYCTH_2294218,1812,2770,2751,3630,4576,4261,7263,7522,8132
MYCTH_2294220,598,1058,909,2497,3192,2632,5999,5807,6223
MYCTH_2122038,72,139,76,44,61,69,117,67,103
MYCTH_2294223,93,163,106,714,1010,959,2248,2049,2412
MYCTH_2294224,67,96,88,124,99,79,286,232,280
MYCTH_2294226,332,667,548,1296,1355,1132,1223,1310,1337
MYCTH_2294230,595,895,816,2133,2726,2190,3065,2787,3269
MYCTH_2294231,380,560,576,2404,2406,2217,1833,2133,2245
MYCTH_2294232,620,1055,1021,1436,1574,1068,1900,2060,2151
MYCTH_2294233,84,148,110,103,182,145,224,308,249
MYCTH_2294236,275,494,502,927,1124,884,988,992,1079
MYCTH_2294238,613,900,848,2403,2910,2555,1835,1755,2031
MYCTH_2294240,1655,2787,2739,16163,20899,18060,5756,6228,6592
MYCTH_2294243,2341,4089,4147,5700,7245,6117,5048,4995,5478
MYCTH_2050447,221,467,404,363,517,442,586,591,622
MYCTH_2294247,757,1320,1142,1455,1755,1735,2281,2308,2541
MYCTH_2294249,407,579,574,774,1044,864,1010,1127,1005
MYCTH_2294250,873,1336,1121,2922,4285,3384,2966,2723,3422
MYCTH_2294252,1149,1788,1678,5824,7671,6206,9002,8515,9398
MYCTH_2294253,1361,2110,1860,4303,6028,5002,7248,6991,7592
MYCTH_113715,1423,2272,2082,3730,4975,4196,5875,6029,6529
MYCTH_2294261,975,1744,1626,730,860,665,708,762,801
MYCTH_2294264,519,908,1012,910,1340,1091,1684,1597,1738
MYCTH_105600,412,696,740,337,585,522,709,674,686
MYCTH_2294267,482,622,514,3940,4876,3680,4324,4347,4693
MYCTH_2294268,707,1242,1102,5174,6301,5249,2520,2584,2745
