Sample ID	Strain	Strategy	Carbon Sources	Temperature	Time	Study Title	Series Accession	Related Sample
an001001	N402		Glucose		48h	Genome-wide Transcriptional Responses of the Filamentous Fungus Aspergillus niger to Lignocellulose (Wheat straw) using RNA-sequencing	GSE33852	GSM838010,GSM838011,GSM838012
an001002	N402		Straw		24h	Genome-wide Transcriptional Responses of the Filamentous Fungus Aspergillus niger to Lignocellulose (Wheat straw) using RNA-sequencing	GSE33852	GSM838013,GSM838014,GSM838015
an001003	N402		Glucose+straw		5h	Genome-wide Transcriptional Responses of the Filamentous Fungus Aspergillus niger to Lignocellulose (Wheat straw) using RNA-sequencing	GSE33852	GSM838016,GSM838017,GSM838018
an002001	N402	Acm 			developmental stage: dormant conidia	Trancriptional landscape of Aspergillus niger at breaking of conidial dormancy revealed by RNA-sequencing	GSE42652	GSM1047321,GSM1047322
an002002	N402	Acm 			conidia germinated for 1h	Trancriptional landscape of Aspergillus niger at breaking of conidial dormancy revealed by RNA-sequencing	GSE42652	GSM1047323,GSM1047324
an003001	N402		Glucose		48h	The role of carbon starvation in the induction of enzymes that degrade plant-derived carbohydrates in Aspergillus niger	GSE57315	GSM1379419,GSM1379420
an003002	N402		Wheat straw		6h	The role of carbon starvation in the induction of enzymes that degrade plant-derived carbohydrates in Aspergillus niger	GSE57315	GSM1379421,GSM1379422
an003003	N402		Starvation		6h	The role of carbon starvation in the induction of enzymes that degrade plant-derived carbohydrates in Aspergillus niger	GSE57315	GSM1379423,GSM1379424
an003004	N402		Starvation		24h	The role of carbon starvation in the induction of enzymes that degrade plant-derived carbohydrates in Aspergillus niger	GSE57315	GSM1379425,GSM1379426
an004001	N402		Glucose		48h	RNA-sequencing reveals the complexities of the transcriptional response to lignocellulosic biofuel substrates in Aspergillus niger.	GSE62284	GSM1524800,GSM1524801
an004002	N402		Willow		24h	RNA-sequencing reveals the complexities of the transcriptional response to lignocellulosic biofuel substrates in Aspergillus niger.	GSE62284	GSM1524802,GSM1524803
an004003	N402		Willow + glucose		24h	RNA-sequencing reveals the complexities of the transcriptional response to lignocellulosic biofuel substrates in Aspergillus niger.	GSE62284	GSM1524804,GSM1524805
an005001	CBS 141257	Medium with ga			2h	The transcriptional activator GaaR of Aspergillus niger is required for release and utilization of D-galacturonic acid from pectin	GSE80227	GSM2121232,GSM2121233
an005002	ΔgaaR	Medium with ga			2h	The transcriptional activator GaaR of Aspergillus niger is required for release and utilization of D-galacturonic acid from pectin	GSE80227	GSM2121234,GSM2121235
an005003	CBS 141257	Medium with sbp			2h	The transcriptional activator GaaR of Aspergillus niger is required for release and utilization of D-galacturonic acid from pectin	GSE80227	GSM2121236,GSM2121237
an005004	ΔgaaR	Medium with sbp			2h	The transcriptional activator GaaR of Aspergillus niger is required for release and utilization of D-galacturonic acid from pectin	GSE80227	GSM2121238,GSM2121239
an005005	CBS 141257	Medium with sbp			8h	The transcriptional activator GaaR of Aspergillus niger is required for release and utilization of D-galacturonic acid from pectin	GSE80227	GSM2121240,GSM2121241
an005006	ΔgaaR	Medium with sbp			8h	The transcriptional activator GaaR of Aspergillus niger is required for release and utilization of D-galacturonic acid from pectin	GSE80227	GSM2121242,GSM2121243
an005007	CBS 141257	Medium with sbp			24h	The transcriptional activator GaaR of Aspergillus niger is required for release and utilization of D-galacturonic acid from pectin	GSE80227	GSM2121244,GSM2121245
