ncr01100	Metabolic pathways
ncr00600	Sphingolipid metabolism
ncr04141	Protein processing in endoplasmic reticulum
ncr01110	Biosynthesis of secondary metabolites
ncr00900	Terpenoid backbone biosynthesis
ncr00561	Glycerolipid metabolism
ncr03015	mRNA surveillance pathway
ncr04011	MAPK signaling pathway - yeast
ncr04113	Meiosis - yeast
ncr01212	Fatty acid metabolism
ncr01240	Biosynthesis of cofactors
ncr00061	Fatty acid biosynthesis
ncr00780	Biotin metabolism
ncr00510	N-Glycan biosynthesis
ncr00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
ncr03450	Non-homologous end-joining
ncr03440	Homologous recombination
ncr01200	Carbon metabolism
ncr00030	Pentose phosphate pathway
ncr01230	Biosynthesis of amino acids
ncr00330	Arginine and proline metabolism
ncr00332	Carbapenem biosynthesis
ncr04138	Autophagy - yeast
ncr03010	Ribosome
ncr00500	Starch and sucrose metabolism
ncr00460	Cyanoamino acid metabolism
ncr00999	Biosynthesis of various plant secondary metabolites
ncr03013	Nucleocytoplasmic transport
ncr00564	Glycerophospholipid metabolism
ncr00270	Cysteine and methionine metabolism
ncr00340	Histidine metabolism
ncr03040	Spliceosome
ncr03060	Protein export
ncr00680	Methane metabolism
ncr00230	Purine metabolism
ncr04120	Ubiquitin mediated proteolysis
ncr04136	Autophagy - other
ncr04139	Mitophagy - yeast
ncr00400	Phenylalanine, tyrosine and tryptophan biosynthesis
ncr00760	Nicotinate and nicotinamide metabolism
ncr04111	Cell cycle - yeast
ncr00520	Amino sugar and nucleotide sugar metabolism
ncr04130	SNARE interactions in vesicular transport
ncr04814	Motor proteins
ncr00010	Glycolysis / Gluconeogenesis
ncr00040	Pentose and glucuronate interconversions
ncr00053	Ascorbate and aldarate metabolism
ncr00620	Pyruvate metabolism
ncr01232	Nucleotide metabolism
ncr00240	Pyrimidine metabolism
ncr00310	Lysine degradation
ncr03420	Nucleotide excision repair
ncr03410	Base excision repair
ncr02010	ABC transporters
ncr04146	Peroxisome
ncr00071	Fatty acid degradation
ncr03008	Ribosome biogenesis in eukaryotes
ncr03018	RNA degradation
ncr00100	Steroid biosynthesis
ncr00630	Glyoxylate and dicarboxylate metabolism
ncr00380	Tryptophan metabolism
ncr00562	Inositol phosphate metabolism
ncr04070	Phosphatidylinositol signaling system
ncr00770	Pantothenate and CoA biosynthesis
ncr00280	Valine, leucine and isoleucine degradation
ncr00410	beta-Alanine metabolism
ncr00190	Oxidative phosphorylation
ncr00970	Aminoacyl-tRNA biosynthesis
ncr03020	RNA polymerase
ncr03250	Viral life cycle - HIV-1
ncr04144	Endocytosis
ncr00910	Nitrogen metabolism
ncr03022	Basal transcription factors
ncr00650	Butanoate metabolism
ncr00250	Alanine, aspartate and glutamate metabolism
ncr00220	Arginine biosynthesis
ncr00430	Taurine and hypotaurine metabolism
ncr00860	Porphyrin metabolism
ncr00790	Folate biosynthesis
ncr04122	Sulfur relay system
ncr00740	Riboflavin metabolism
ncr00480	Glutathione metabolism
ncr00906	Carotenoid biosynthesis
ncr01210	2-Oxocarboxylic acid metabolism
ncr00260	Glycine, serine and threonine metabolism
ncr00300	Lysine biosynthesis
ncr00261	Monobactam biosynthesis
ncr00785	Lipoic acid metabolism
ncr01250	Biosynthesis of nucleotide sugars
ncr00051	Fructose and mannose metabolism
ncr00052	Galactose metabolism
ncr00513	Various types of N-glycan biosynthesis
ncr00062	Fatty acid elongation
ncr04145	Phagosome
ncr00640	Propanoate metabolism
ncr00020	Citrate cycle (TCA cycle)
ncr00350	Tyrosine metabolism
ncr00290	Valine, leucine and isoleucine biosynthesis
ncr00511	Other glycan degradation
ncr03050	Proteasome
ncr00670	One carbon pool by folate
ncr03030	DNA replication
ncr03430	Mismatch repair
ncr00750	Vitamin B6 metabolism
ncr00730	Thiamine metabolism
ncr00130	Ubiquinone and other terpenoid-quinone biosynthesis
ncr00515	Mannose type O-glycan biosynthesis
ncr00514	Other types of O-glycan biosynthesis
ncr00920	Sulfur metabolism
ncr00660	C5-Branched dibasic acid metabolism
ncr00360	Phenylalanine metabolism
ncr00450	Selenocompound metabolism
ncr00565	Ether lipid metabolism
ncr00440	Phosphonate and phosphinate metabolism
ncr01040	Biosynthesis of unsaturated fatty acids
ncr00590	Arachidonic acid metabolism
ncr00791	Atrazine degradation
ncr00232	Caffeine metabolism
ncr00531	Glycosaminoglycan degradation
ncr01501	beta-Lactam resistance
ncr00592	alpha-Linolenic acid metabolism
ncr00591	Linoleic acid metabolism
ncr00909	Sesquiterpenoid and triterpenoid biosynthesis
ncr00470	D-Amino acid metabolism
ncr00604	Glycosphingolipid biosynthesis - ganglio series
