Gene	Pathway
TRIREDRAFT_102382	Metabolic pathways
TRIREDRAFT_102612	Metabolic pathways
TRIREDRAFT_102744	Metabolic pathways
TRIREDRAFT_103049	Metabolic pathways
TRIREDRAFT_103451	Metabolic pathways
TRIREDRAFT_103517	Metabolic pathways
TRIREDRAFT_103563	Metabolic pathways
TRIREDRAFT_103850	Metabolic pathways
TRIREDRAFT_104121	Metabolic pathways
TRIREDRAFT_104140	Metabolic pathways
TRIREDRAFT_104152	Metabolic pathways
TRIREDRAFT_104318	Metabolic pathways
TRIREDRAFT_104390	Metabolic pathways
TRIREDRAFT_104438	Metabolic pathways
TRIREDRAFT_104599	Metabolic pathways
TRIREDRAFT_104609	Metabolic pathways
TRIREDRAFT_104797	Metabolic pathways
TRIREDRAFT_104803	Metabolic pathways
TRIREDRAFT_104842	Metabolic pathways
TRIREDRAFT_104972	Metabolic pathways
TRIREDRAFT_105011	Metabolic pathways
TRIREDRAFT_105035	Metabolic pathways
TRIREDRAFT_105055	Metabolic pathways
TRIREDRAFT_105447	Metabolic pathways
TRIREDRAFT_105504	Metabolic pathways
TRIREDRAFT_105557	Metabolic pathways
TRIREDRAFT_105623	Metabolic pathways
TRIREDRAFT_105722	Metabolic pathways
TRIREDRAFT_105832	Metabolic pathways
TRIREDRAFT_105884	Metabolic pathways
TRIREDRAFT_105931	Metabolic pathways
TRIREDRAFT_105956	Metabolic pathways
TRIREDRAFT_105978	Metabolic pathways
TRIREDRAFT_106245	Metabolic pathways
TRIREDRAFT_106493	Metabolic pathways
TRIREDRAFT_106646	Metabolic pathways
TRIREDRAFT_106695	Metabolic pathways
TRIREDRAFT_106885	Metabolic pathways
TRIREDRAFT_107206	Metabolic pathways
TRIREDRAFT_107258	Metabolic pathways
TRIREDRAFT_107268	Metabolic pathways
TRIREDRAFT_107323	Metabolic pathways
TRIREDRAFT_107360	Metabolic pathways
TRIREDRAFT_107402	Metabolic pathways
TRIREDRAFT_107554	Metabolic pathways
TRIREDRAFT_107776	Metabolic pathways
TRIREDRAFT_107852	Metabolic pathways
TRIREDRAFT_108299	Metabolic pathways
TRIREDRAFT_108398	Metabolic pathways
TRIREDRAFT_108459	Metabolic pathways
TRIREDRAFT_108463	Metabolic pathways
TRIREDRAFT_108592	Metabolic pathways
TRIREDRAFT_108665	Metabolic pathways
TRIREDRAFT_108710	Metabolic pathways
TRIREDRAFT_108732	Metabolic pathways
TRIREDRAFT_109086	Metabolic pathways
TRIREDRAFT_109187	Metabolic pathways
TRIREDRAFT_109349	Metabolic pathways
TRIREDRAFT_109378	Metabolic pathways
TRIREDRAFT_109435	Metabolic pathways
TRIREDRAFT_109531	Metabolic pathways
TRIREDRAFT_109652	Metabolic pathways
TRIREDRAFT_109673	Metabolic pathways
TRIREDRAFT_109687	Metabolic pathways
TRIREDRAFT_109724	Metabolic pathways
TRIREDRAFT_109998	Metabolic pathways
TRIREDRAFT_110040	Metabolic pathways
TRIREDRAFT_110170	Metabolic pathways
TRIREDRAFT_110171	Metabolic pathways
TRIREDRAFT_110293	Metabolic pathways
TRIREDRAFT_110317	Metabolic pathways
TRIREDRAFT_110414	Metabolic pathways
TRIREDRAFT_110491	Metabolic pathways
TRIREDRAFT_110631	Metabolic pathways
TRIREDRAFT_110663	Metabolic pathways
TRIREDRAFT_110678	Metabolic pathways
TRIREDRAFT_110853	Metabolic pathways
TRIREDRAFT_110890	Metabolic pathways
TRIREDRAFT_110899	Metabolic pathways
TRIREDRAFT_111033	Metabolic pathways
TRIREDRAFT_111074	Metabolic pathways
TRIREDRAFT_111085	Metabolic pathways
TRIREDRAFT_111102	Metabolic pathways
TRIREDRAFT_111216	Metabolic pathways
TRIREDRAFT_111351	Metabolic pathways
TRIREDRAFT_111357	Metabolic pathways
TRIREDRAFT_111502	Metabolic pathways
TRIREDRAFT_111536	Metabolic pathways
TRIREDRAFT_111591	Metabolic pathways
TRIREDRAFT_111912	Metabolic pathways
TRIREDRAFT_111953	Metabolic pathways
TRIREDRAFT_112126	Metabolic pathways
TRIREDRAFT_112140	Metabolic pathways
TRIREDRAFT_112247	Metabolic pathways
TRIREDRAFT_112271	Metabolic pathways
TRIREDRAFT_112371	Metabolic pathways
TRIREDRAFT_119600	Metabolic pathways
TRIREDRAFT_119603	Metabolic pathways
TRIREDRAFT_119609	Metabolic pathways
TRIREDRAFT_119735	Metabolic pathways
TRIREDRAFT_119788	Metabolic pathways
TRIREDRAFT_119790	Metabolic pathways
TRIREDRAFT_119854	Metabolic pathways
TRIREDRAFT_119859	Metabolic pathways
TRIREDRAFT_119896	Metabolic pathways
TRIREDRAFT_119931	Metabolic pathways
TRIREDRAFT_119954	Metabolic pathways
TRIREDRAFT_120079	Metabolic pathways
TRIREDRAFT_120106	Metabolic pathways
TRIREDRAFT_120176	Metabolic pathways
TRIREDRAFT_120195	Metabolic pathways
TRIREDRAFT_120198	Metabolic pathways
TRIREDRAFT_120219	Metabolic pathways
TRIREDRAFT_120267	Metabolic pathways
TRIREDRAFT_120272	Metabolic pathways
TRIREDRAFT_120288	Metabolic pathways
TRIREDRAFT_120312	Metabolic pathways
TRIREDRAFT_120371	Metabolic pathways
TRIREDRAFT_120378	Metabolic pathways
TRIREDRAFT_120404	Metabolic pathways
TRIREDRAFT_120424	Metabolic pathways
TRIREDRAFT_120473	Metabolic pathways
TRIREDRAFT_120539	Metabolic pathways
TRIREDRAFT_120568	Metabolic pathways
TRIREDRAFT_120635	Metabolic pathways
TRIREDRAFT_120646	Metabolic pathways
TRIREDRAFT_120675	Metabolic pathways
TRIREDRAFT_120676	Metabolic pathways
TRIREDRAFT_120712	Metabolic pathways
TRIREDRAFT_120765	Metabolic pathways
TRIREDRAFT_120784	Metabolic pathways
TRIREDRAFT_120786	Metabolic pathways
TRIREDRAFT_120807	Metabolic pathways
TRIREDRAFT_120884	Metabolic pathways
TRIREDRAFT_120911	Metabolic pathways
TRIREDRAFT_120943	Metabolic pathways
TRIREDRAFT_120952	Metabolic pathways
TRIREDRAFT_120983	Metabolic pathways
TRIREDRAFT_121019	Metabolic pathways
TRIREDRAFT_121068	Metabolic pathways
TRIREDRAFT_121127	Metabolic pathways
TRIREDRAFT_121154	Metabolic pathways
TRIREDRAFT_121156	Metabolic pathways
TRIREDRAFT_121166	Metabolic pathways
TRIREDRAFT_121191	Metabolic pathways
TRIREDRAFT_121206	Metabolic pathways
TRIREDRAFT_121227	Metabolic pathways
TRIREDRAFT_121230	Metabolic pathways
TRIREDRAFT_121255	Metabolic pathways
TRIREDRAFT_121275	Metabolic pathways
TRIREDRAFT_121298	Metabolic pathways
TRIREDRAFT_121345	Metabolic pathways
TRIREDRAFT_121351	Metabolic pathways
TRIREDRAFT_121367	Metabolic pathways
TRIREDRAFT_121374	Metabolic pathways
TRIREDRAFT_121405	Metabolic pathways
TRIREDRAFT_121420	Metabolic pathways
TRIREDRAFT_121449	Metabolic pathways
TRIREDRAFT_121464	Metabolic pathways
TRIREDRAFT_121498	Metabolic pathways
TRIREDRAFT_121504	Metabolic pathways
TRIREDRAFT_121534	Metabolic pathways
TRIREDRAFT_121546	Metabolic pathways
TRIREDRAFT_121550	Metabolic pathways
TRIREDRAFT_121620	Metabolic pathways
TRIREDRAFT_121661	Metabolic pathways
TRIREDRAFT_121664	Metabolic pathways
TRIREDRAFT_121686	Metabolic pathways
TRIREDRAFT_121706	Metabolic pathways
TRIREDRAFT_121733	Metabolic pathways
TRIREDRAFT_121735	Metabolic pathways
TRIREDRAFT_121746	Metabolic pathways
TRIREDRAFT_121789	Metabolic pathways
TRIREDRAFT_121814	Metabolic pathways
TRIREDRAFT_121820	Metabolic pathways
TRIREDRAFT_121824	Metabolic pathways
TRIREDRAFT_121826	Metabolic pathways
TRIREDRAFT_121856	Metabolic pathways
TRIREDRAFT_121920	Metabolic pathways
TRIREDRAFT_122074	Metabolic pathways
TRIREDRAFT_122081	Metabolic pathways
TRIREDRAFT_122091	Metabolic pathways
TRIREDRAFT_122110	Metabolic pathways
TRIREDRAFT_122166	Metabolic pathways
TRIREDRAFT_122172	Metabolic pathways
TRIREDRAFT_122226	Metabolic pathways
TRIREDRAFT_122233	Metabolic pathways
TRIREDRAFT_122287	Metabolic pathways
TRIREDRAFT_122296	Metabolic pathways
TRIREDRAFT_122301	Metabolic pathways
TRIREDRAFT_122350	Metabolic pathways
TRIREDRAFT_122385	Metabolic pathways
TRIREDRAFT_122419	Metabolic pathways
TRIREDRAFT_122499	Metabolic pathways
TRIREDRAFT_122531	Metabolic pathways
TRIREDRAFT_122551	Metabolic pathways
TRIREDRAFT_122565	Metabolic pathways
TRIREDRAFT_122582	Metabolic pathways
TRIREDRAFT_122592	Metabolic pathways
TRIREDRAFT_122641	Metabolic pathways
TRIREDRAFT_122644	Metabolic pathways
TRIREDRAFT_122653	Metabolic pathways
TRIREDRAFT_122736	Metabolic pathways
TRIREDRAFT_122745	Metabolic pathways
TRIREDRAFT_122780	Metabolic pathways
TRIREDRAFT_122811	Metabolic pathways
TRIREDRAFT_122820	Metabolic pathways
TRIREDRAFT_122828	Metabolic pathways
TRIREDRAFT_122860	Metabolic pathways
TRIREDRAFT_122868	Metabolic pathways
TRIREDRAFT_122960	Metabolic pathways
TRIREDRAFT_122963	Metabolic pathways
TRIREDRAFT_122987	Metabolic pathways
TRIREDRAFT_123008	Metabolic pathways
TRIREDRAFT_123013	Metabolic pathways
TRIREDRAFT_123026	Metabolic pathways
TRIREDRAFT_123071	Metabolic pathways
TRIREDRAFT_123174	Metabolic pathways
TRIREDRAFT_123198	Metabolic pathways
TRIREDRAFT_123223	Metabolic pathways
TRIREDRAFT_123226	Metabolic pathways
TRIREDRAFT_123274	Metabolic pathways
TRIREDRAFT_123283	Metabolic pathways
TRIREDRAFT_123288	Metabolic pathways
TRIREDRAFT_123368	Metabolic pathways
TRIREDRAFT_123382	Metabolic pathways
TRIREDRAFT_123457	Metabolic pathways
TRIREDRAFT_123468	Metabolic pathways
TRIREDRAFT_123471	Metabolic pathways
TRIREDRAFT_123550	Metabolic pathways
TRIREDRAFT_123572	Metabolic pathways
TRIREDRAFT_123618	Metabolic pathways
TRIREDRAFT_123627	Metabolic pathways
TRIREDRAFT_123631	Metabolic pathways
TRIREDRAFT_123633	Metabolic pathways
TRIREDRAFT_123655	Metabolic pathways
TRIREDRAFT_123681	Metabolic pathways
TRIREDRAFT_123705	Metabolic pathways
TRIREDRAFT_123714	Metabolic pathways
TRIREDRAFT_123720	Metabolic pathways
TRIREDRAFT_123729	Metabolic pathways
TRIREDRAFT_123738	Metabolic pathways
TRIREDRAFT_123758	Metabolic pathways
TRIREDRAFT_123771	Metabolic pathways
TRIREDRAFT_123795	Metabolic pathways
TRIREDRAFT_123805	Metabolic pathways
TRIREDRAFT_123820	Metabolic pathways
TRIREDRAFT_123827	Metabolic pathways
TRIREDRAFT_123978	Metabolic pathways
TRIREDRAFT_123989	Metabolic pathways
TRIREDRAFT_124016	Metabolic pathways
TRIREDRAFT_124043	Metabolic pathways
TRIREDRAFT_124115	Metabolic pathways
TRIREDRAFT_124148	Metabolic pathways
TRIREDRAFT_124228	Metabolic pathways
TRIREDRAFT_124319	Metabolic pathways
TRIREDRAFT_124332	Metabolic pathways
TRIREDRAFT_124340	Metabolic pathways
TRIREDRAFT_1885	Metabolic pathways
TRIREDRAFT_1993	Metabolic pathways
TRIREDRAFT_2036	Metabolic pathways
TRIREDRAFT_2091	Metabolic pathways
TRIREDRAFT_21120	Metabolic pathways
TRIREDRAFT_21406	Metabolic pathways
TRIREDRAFT_21435	Metabolic pathways
TRIREDRAFT_21535	Metabolic pathways
TRIREDRAFT_21606	Metabolic pathways
TRIREDRAFT_21609	Metabolic pathways
