Gene id	tr002001	tr002002	tr002003	tr013001	tr013002	tr003001	tr003002	tr005001	tr005002	tr005003	tr005004	tr006001	tr006002	tr002004	tr002005	tr002006	tr014004	tr014003	tr014002	tr014001	tr012001	tr012002	tr012003	tr012004	tr012005	tr012006	tr007001	tr007002	tr007003	tr007004	tr007005	tr007006	tr009001	tr009002	tr009003	tr009004	tr009005	tr009006	tr009007	tr009008	tr009009	tr010001	tr010002	tr001001	tr001002	tr001003	tr011001	tr011002	tr011003	tr011004	tr008001	tr008002	tr008003	tr008004	tr008005
TRIREDRAFT_119530	8.78	11.25	15.45	17.6	16.05	7.15	22.44	27.55	41.47	10.95	19.37	5.56	11.25	10.19	4.24	10.84	10.31	13.28	12.73	10.51	22.52	24.8	28.64	20.92	54.05	57.12	3.54	5.55	4.89	6.89	6.77	5.65	17.03	7.04	19.08	14.03	6.13	17.28	9.87	11.65	11.47	17.62	9.04	2.67	10.05	5.72	24.57	22.75	22.28	27.18	12.79	30.15	29.32	39.83	31.51
TRIREDRAFT_53187	7.06	6.79	8.54	17.91	15.82	4.78	9.9	23.02	14.96	27.23	19.91	10.67	6.79	8.5	7.54	6.39	5.97	7.48	6.62	7.12	22.51	18.52	13.56	11.2	16.83	17.1	6.58	7.82	6.96	7.8	7.78	8.1	11.24	10.94	22.18	12.49	9.69	22.4	12.02	24.17	15.87	15.06	13.88	4.1	5.32	6.84	15.22	15.17	13.79	14.3	8.41	8.54	9.44	7.29	8.42
TRIREDRAFT_73501	28.32	35.37	26.92	20.95	25.78	18.48	31.69	32.41	31.73	21.12	21.38	39.4	35.37	24.25	20.87	19.31	29.35	32.96	31.14	31.26	23.98	26.79	12.41	13.6	17.09	17.39	17.74	19.05	19.54	15.01	15.62	16.37	17.78	13.11	31.79	15.78	11.06	32.59	16.52	20.55	33.71	17.91	14.43	14.2	17.73	18.37	18.31	19.98	24.16	19.06	24.4	25.04	22.22	20.29	20.73
TRIREDRAFT_73504	10.79	13.56	11.5	19.35	20.92	6.15	12.33	29.47	25.55	20.35	15.67	17.76	13.56	10.88	11.82	8.53	12.87	15.05	11.55	12.29	33.77	32.77	18.67	20.9	21.42	24.11	17.85	15.4	17.92	8.89	10.03	9.93	13.41	12.49	24.38	14.77	11.25	26.46	17.52	24.77	24.6	7.34	6.77	12.64	18.0	7.83	19.34	20.52	20.24	17.1	10.17	13.25	11.43	8.62	9.27
TRIREDRAFT_21117	131.32	148.99	137.82	91.05	104.23	88.56	165.98	140.41	130.2	122.29	135.99	160.63	148.99	144.56	145.63	154.69	263.66	249.48	251.48	250.98	212.17	235.55	129.07	149.48	171.66	180.27	322.06	181.18	165.82	269.35	270.5	239.67	127.29	127.02	125.74	141.08	99.58	131.21	152.34	146.92	139.23	127.19	170.68	33.98	49.65	31.94	194.02	205.47	172.82	190.14	158.09	154.76	181.99	133.02	182.97
TRIREDRAFT_53044	11.19	13.58	15.59	10.14	9.12	8.24	14.81	10.4	16.85	7.12	7.46	14.03	13.58	10.48	7.54	10.89	13.8	17.49	12.6	11.86	12.44	14.15	6.39	6.45	9.63	9.76	3.92	4.38	4.38	7.37	7.16	5.82	7.75	11.64	16.5	10.89	7.72	17.9	6.16	15.6	14.94	12.26	8.68	19.25	26.63	9.24	11.98	12.92	8.16	10.59	9.97	10.53	11.46	7.54	10.17
TRIREDRAFT_53660	23.69	30.23	20.4	42.31	42.95	15.6	20.66	38.41	21.36	49.27	33.67	30.87	30.23	33.29	24.36	13.54	35.53	37.86	25.08	23.98	51.79	43.16	29.48	26.33	34.82	34.77	30.18	21.64	19.58	30.48	33.29	16.16	34.05	24.41	47.72	42.93	22.19	47.86	43.82	37.06	45.62	31.61	35.56	10.67	49.52	4.47	59.44	59.02	38.39	47.22	13.86	24.16	27.29	21.51	23.47
TRIREDRAFT_102377	64.39	66.88	61.23	91.8	128.83	51.18	80.44	73.84	112.58	72.97	71.92	84.71	66.88	51.77	64.35	50.68	52.2	55.03	40.96	41.17	29.37	26.12	14.23	12.56	17.8	19.39	17.62	26.6	29.09	16.39	18.84	17.63	25.95	17.37	47.16	25.99	13.47	45.7	39.4	23.1	63.01	74.58	43.18	12.97	20.87	20.92	39.02	39.53	48.3	39.85	65.25	61.54	61.36	59.69	60.75
TRIREDRAFT_102378	75.53	41.44	40.59	37.41	64.38	68.21	45.74	70.15	42.09	53.93	58.58	54.91	41.44	105.71	30.31	22.53	48.64	46.05	41.56	44.38	37.46	38.16	24.86	20.36	34.72	35.0	22.28	26.51	35.61	23.72	24.16	27.92	31.49	16.02	42.93	26.03	11.77	42.67	60.57	25.58	125.78	42.33	44.84	2.2	6.9	11.74	43.29	48.28	74.1	49.78	40.05	42.44	41.11	41.71	41.92
TRIREDRAFT_102379	3.56	3.91	1.01	8.72	10.29	2.16	0.91	1.78	0.45	4.83	1.56	3.63	3.91	4.15	1.3	0.63	1.51	1.87	2.49	2.48	6.22	6.5	14.94	15.21	11.82	12.55	1.1	1.44	1.36	1.29	1.1	0.84	6.06	3.0	4.64	4.23	1.62	4.16	8.4	3.42	5.31	1.65	1.06	0.74	2.79	0.0	4.19	3.5	3.51	5.2	1.12	4.14	2.92	3.35	2.0
TRIREDRAFT_1673	18.54	22.05	17.1	33.04	32.6	11.95	25.37	32.94	17.91	30.55	33.6	24.0	22.05	26.39	30.39	13.18	33.56	34.01	42.56	43.8	35.78	38.05	30.34	29.67	34.48	39.67	9.64	15.96	14.94	16.54	19.01	18.72	24.16	12.1	34.78	24.06	9.5	32.76	21.41	16.69	31.62	35.99	19.02	3.94	8.2	5.4	29.14	33.08	50.13	49.86	31.59	40.88	39.91	33.04	35.22
TRIREDRAFT_102381	12.4	12.14	15.33	39.37	46.5	10.34	18.27	15.08	14.96	19.97	14.06	14.97	12.14	25.99	12.53	10.91	11.0	13.73	13.9	15.83	15.32	13.09	12.92	10.02	12.68	11.76	4.51	8.12	9.21	6.59	5.92	7.72	18.33	8.91	13.08	19.35	5.21	14.77	17.43	13.13	14.59	14.41	14.3	9.75	21.33	13.58	17.14	17.02	16.87	14.57	13.17	13.12	13.3	13.33	15.52
TRIREDRAFT_102382	67.06	65.58	141.22	125.77	102.43	68.91	118.59	74.74	28.91	132.65	111.64	44.02	65.58	82.35	114.05	175.95	15.1	17.97	27.6	25.05	131.26	122.74	103.96	100.36	107.43	104.48	395.92	220.39	132.3	342.3	301.26	201.94	95.72	128.87	125.04	125.96	102.03	133.34	139.55	151.66	130.86	169.62	155.33	81.51	120.88	21.88	57.61	60.84	48.5	123.89	50.67	79.24	93.6	82.26	91.35
TRIREDRAFT_102383	21.21	22.75	25.0	32.67	42.47	12.53	23.91	23.27	22.56	26.87	17.69	20.03	22.75	46.11	18.73	14.67	9.25	13.34	9.9	10.2	37.56	26.27	23.25	16.61	29.68	21.05	7.28	4.89	5.66	7.86	7.6	7.62	40.77	14.41	38.99	66.83	15.85	40.12	51.13	37.52	29.42	18.49	30.52	11.93	17.42	8.07	43.12	39.7	23.24	35.02	9.06	14.05	17.9	11.58	17.96
TRIREDRAFT_119534	142.13	83.16	70.41	91.54	90.03	34.81	30.39	43.05	7.14	100.97	36.77	61.87	83.16	173.57	119.76	36.45	55.24	46.84	27.03	24.24	101.55	70.96	47.33	38.55	62.23	48.93	87.6	36.77	15.5	61.34	51.27	57.66	198.7	12.76	77.12	243.72	14.46	64.35	105.44	28.54	31.2	32.91	85.51	27.21	83.88	7.25	68.49	57.54	30.4	136.62	10.08	18.28	29.83	10.29	26.51
TRIREDRAFT_102385	0.12	0.08	0.0	0.27	0.36	0.04	0.03	0.05	0.01	0.19	0.09	0.03	0.08	0.19	0.15	0.04	0.08	0.05	0.17	0.23	0.14	0.09	0.09	0.07	0.09	0.06	0.12	0.06	0.03	0.05	0.01	0.08	0.32	0.0	0.14	0.48	0.11	0.03	0.58	0.03	0.17	0.15	0.11	0.31	3.28	3.44	0.14	0.03	0.04	0.13	0.01	0.02	0.01	0.02	0.06
TRIREDRAFT_102386	2.64	4.43	2.27	4.38	4.82	2.28	0.89	0.84	0.38	4.31	2.04	2.38	4.43	3.58	5.1	1.56	1.71	1.32	0.9	1.23	4.26	3.29	2.95	2.46	3.15	1.74	2.77	1.32	0.96	1.74	1.12	1.39	9.15	3.54	6.4	11.85	5.0	5.94	9.25	4.23	2.54	4.92	5.88	2.99	6.23	0.0	1.64	1.1	0.92	1.76	1.6	0.34	0.87	0.97	1.44
TRIREDRAFT_53989	12.05	18.07	11.15	23.18	25.76	6.89	6.21	9.81	2.27	22.62	10.63	11.54	18.07	27.33	18.55	9.68	11.7	13.17	9.52	8.46	17.83	14.04	17.33	12.31	16.33	12.61	13.23	6.1	4.2	11.54	9.9	9.12	14.18	13.35	16.35	20.21	11.78	18.49	18.58	19.64	14.91	17.57	19.56	12.02	27.19	4.38	18.32	16.94	9.18	17.32	6.29	5.46	8.13	6.65	7.87
TRIREDRAFT_73511	74.94	83.32	129.75	91.32	98.08	49.62	68.32	52.32	23.12	63.95	42.65	64.09	83.32	114.08	70.46	90.22	43.47	49.84	37.07	33.53	71.59	61.3	59.41	48.41	67.71	54.61	45.28	31.8	30.47	80.44	76.53	61.6	98.52	82.04	82.38	113.48	83.03	78.82	87.38	97.62	53.19	83.7	88.3	44.25	44.11	38.09	83.99	80.56	48.29	86.24	51.18	35.58	47.52	43.62	55.81
