ID	Gene
KEY:TRIREDRAFT_102377	TRIREDRAFT_102377
KEY:TRIREDRAFT_102378	TRIREDRAFT_102378
KEY:TRIREDRAFT_102379	TRIREDRAFT_102379
KEY:TRIREDRAFT_102381	TRIREDRAFT_102381
KEY:TRIREDRAFT_102382	TRIREDRAFT_102382
KEY:TRIREDRAFT_102383	TRIREDRAFT_102383
KEY:TRIREDRAFT_102385	TRIREDRAFT_102385
KEY:TRIREDRAFT_102386	TRIREDRAFT_102386
KEY:TRIREDRAFT_102401	TRIREDRAFT_102401
KEY:TRIREDRAFT_102403	TRIREDRAFT_102403
KEY:TRIREDRAFT_102411	TRIREDRAFT_102411
KEY:TRIREDRAFT_102414	TRIREDRAFT_102414
KEY:TRIREDRAFT_102416	TRIREDRAFT_102416
KEY:TRIREDRAFT_102437	TRIREDRAFT_102437
KEY:TRIREDRAFT_102441	TRIREDRAFT_102441
KEY:TRIREDRAFT_102444	TRIREDRAFT_102444
KEY:TRIREDRAFT_102451	TRIREDRAFT_102451
KEY:TRIREDRAFT_102454	TRIREDRAFT_102454
KEY:TRIREDRAFT_102458	TRIREDRAFT_102458
KEY:TRIREDRAFT_102461	TRIREDRAFT_102461
KEY:TRIREDRAFT_102464	TRIREDRAFT_102464
KEY:TRIREDRAFT_102467	TRIREDRAFT_102467
KEY:TRIREDRAFT_102468	TRIREDRAFT_102468
KEY:TRIREDRAFT_102476	TRIREDRAFT_102476
KEY:TRIREDRAFT_102482	TRIREDRAFT_102482
KEY:TRIREDRAFT_102487	TRIREDRAFT_102487
KEY:TRIREDRAFT_102489	TRIREDRAFT_102489
KEY:TRIREDRAFT_102492	TRIREDRAFT_102492
KEY:TRIREDRAFT_102497	TRIREDRAFT_102497
KEY:TRIREDRAFT_102499	TRIREDRAFT_102499
KEY:TRIREDRAFT_102500	TRIREDRAFT_102500
KEY:TRIREDRAFT_102504	TRIREDRAFT_102504
KEY:TRIREDRAFT_102512	TRIREDRAFT_102512
KEY:TRIREDRAFT_102521	TRIREDRAFT_102521
KEY:TRIREDRAFT_102554	TRIREDRAFT_102554
KEY:TRIREDRAFT_102555	TRIREDRAFT_102555
KEY:TRIREDRAFT_102559	TRIREDRAFT_102559
KEY:TRIREDRAFT_102561	TRIREDRAFT_102561
KEY:TRIREDRAFT_102562	TRIREDRAFT_102562
KEY:TRIREDRAFT_102567	TRIREDRAFT_102567
KEY:TRIREDRAFT_102572	TRIREDRAFT_102572
KEY:TRIREDRAFT_102579	TRIREDRAFT_102579
KEY:TRIREDRAFT_102581	TRIREDRAFT_102581
KEY:TRIREDRAFT_102582	TRIREDRAFT_102582
KEY:TRIREDRAFT_102593	TRIREDRAFT_102593
KEY:TRIREDRAFT_102599	TRIREDRAFT_102599
KEY:TRIREDRAFT_102603	TRIREDRAFT_102603
KEY:TRIREDRAFT_102607	TRIREDRAFT_102607
KEY:TRIREDRAFT_102612	TRIREDRAFT_102612
KEY:TRIREDRAFT_102616	TRIREDRAFT_102616
KEY:TRIREDRAFT_102617	TRIREDRAFT_102617
KEY:TRIREDRAFT_102619	TRIREDRAFT_102619
KEY:TRIREDRAFT_102627	TRIREDRAFT_102627
KEY:TRIREDRAFT_102637	TRIREDRAFT_102637
KEY:TRIREDRAFT_102640	TRIREDRAFT_102640
KEY:TRIREDRAFT_102641	TRIREDRAFT_102641
KEY:TRIREDRAFT_102648	TRIREDRAFT_102648
KEY:TRIREDRAFT_102650	TRIREDRAFT_102650
KEY:TRIREDRAFT_102652	TRIREDRAFT_102652
KEY:TRIREDRAFT_102655	TRIREDRAFT_102655
KEY:TRIREDRAFT_102659	TRIREDRAFT_102659
KEY:TRIREDRAFT_102668	TRIREDRAFT_102668
KEY:TRIREDRAFT_102672	TRIREDRAFT_102672
KEY:TRIREDRAFT_102673	TRIREDRAFT_102673
KEY:TRIREDRAFT_102676	TRIREDRAFT_102676
KEY:TRIREDRAFT_102677	TRIREDRAFT_102677
KEY:TRIREDRAFT_102680	TRIREDRAFT_102680
KEY:TRIREDRAFT_102686	TRIREDRAFT_102686
KEY:TRIREDRAFT_102694	TRIREDRAFT_102694
KEY:TRIREDRAFT_102700	TRIREDRAFT_102700
KEY:TRIREDRAFT_102705	TRIREDRAFT_102705
KEY:TRIREDRAFT_102711	TRIREDRAFT_102711
KEY:TRIREDRAFT_102723	TRIREDRAFT_102723
KEY:TRIREDRAFT_102735	TRIREDRAFT_102735
KEY:TRIREDRAFT_102737	TRIREDRAFT_102737
KEY:TRIREDRAFT_102738	TRIREDRAFT_102738
KEY:TRIREDRAFT_102743	TRIREDRAFT_102743
KEY:TRIREDRAFT_102744	TRIREDRAFT_102744
KEY:TRIREDRAFT_102763	TRIREDRAFT_102763
KEY:TRIREDRAFT_102766	TRIREDRAFT_102766
KEY:TRIREDRAFT_102769	TRIREDRAFT_102769
KEY:TRIREDRAFT_102772	TRIREDRAFT_102772
KEY:TRIREDRAFT_102773	TRIREDRAFT_102773
KEY:TRIREDRAFT_102774	TRIREDRAFT_102774
KEY:TRIREDRAFT_102775	TRIREDRAFT_102775
KEY:TRIREDRAFT_102776	TRIREDRAFT_102776
KEY:TRIREDRAFT_102778	TRIREDRAFT_102778
KEY:TRIREDRAFT_102779	TRIREDRAFT_102779
KEY:TRIREDRAFT_102780	TRIREDRAFT_102780
KEY:TRIREDRAFT_102785	TRIREDRAFT_102785
KEY:TRIREDRAFT_102787	TRIREDRAFT_102787
KEY:TRIREDRAFT_102788	TRIREDRAFT_102788
KEY:TRIREDRAFT_102789	TRIREDRAFT_102789
KEY:TRIREDRAFT_102794	TRIREDRAFT_102794
KEY:TRIREDRAFT_102799	TRIREDRAFT_102799
KEY:TRIREDRAFT_102813	TRIREDRAFT_102813
KEY:TRIREDRAFT_102816	TRIREDRAFT_102816
KEY:TRIREDRAFT_102820	TRIREDRAFT_102820
KEY:TRIREDRAFT_102830	TRIREDRAFT_102830
KEY:TRIREDRAFT_102836	TRIREDRAFT_102836
KEY:TRIREDRAFT_102837	TRIREDRAFT_102837
KEY:TRIREDRAFT_102846	TRIREDRAFT_102846
KEY:TRIREDRAFT_102850	TRIREDRAFT_102850
KEY:TRIREDRAFT_102851	TRIREDRAFT_102851
KEY:TRIREDRAFT_102855	TRIREDRAFT_102855
KEY:TRIREDRAFT_102863	TRIREDRAFT_102863
KEY:TRIREDRAFT_102864	TRIREDRAFT_102864
KEY:TRIREDRAFT_102870	TRIREDRAFT_102870
KEY:TRIREDRAFT_102871	TRIREDRAFT_102871
KEY:TRIREDRAFT_102876	TRIREDRAFT_102876
KEY:TRIREDRAFT_102884	TRIREDRAFT_102884
KEY:TRIREDRAFT_102887	TRIREDRAFT_102887
KEY:TRIREDRAFT_102890	TRIREDRAFT_102890
KEY:TRIREDRAFT_102892	TRIREDRAFT_102892
KEY:TRIREDRAFT_102901	TRIREDRAFT_102901
KEY:TRIREDRAFT_102904	TRIREDRAFT_102904
KEY:TRIREDRAFT_102906	TRIREDRAFT_102906
KEY:TRIREDRAFT_102908	TRIREDRAFT_102908
KEY:TRIREDRAFT_102909	TRIREDRAFT_102909
KEY:TRIREDRAFT_102910	TRIREDRAFT_102910
KEY:TRIREDRAFT_102920	TRIREDRAFT_102920
KEY:TRIREDRAFT_102927	TRIREDRAFT_102927
KEY:TRIREDRAFT_102933	TRIREDRAFT_102933
KEY:TRIREDRAFT_102935	TRIREDRAFT_102935
KEY:TRIREDRAFT_102936	TRIREDRAFT_102936
KEY:TRIREDRAFT_102938	TRIREDRAFT_102938
KEY:TRIREDRAFT_102941	TRIREDRAFT_102941
KEY:TRIREDRAFT_102947	TRIREDRAFT_102947
KEY:TRIREDRAFT_102952	TRIREDRAFT_102952
KEY:TRIREDRAFT_102953	TRIREDRAFT_102953
KEY:TRIREDRAFT_102957	TRIREDRAFT_102957
KEY:TRIREDRAFT_102960	TRIREDRAFT_102960
KEY:TRIREDRAFT_102964	TRIREDRAFT_102964
KEY:TRIREDRAFT_102966	TRIREDRAFT_102966
KEY:TRIREDRAFT_102970	TRIREDRAFT_102970
KEY:TRIREDRAFT_102973	TRIREDRAFT_102973
KEY:TRIREDRAFT_102976	TRIREDRAFT_102976
KEY:TRIREDRAFT_102980	TRIREDRAFT_102980
KEY:TRIREDRAFT_102985	TRIREDRAFT_102985
KEY:TRIREDRAFT_102989	TRIREDRAFT_102989
KEY:TRIREDRAFT_102996	TRIREDRAFT_102996
KEY:TRIREDRAFT_102998	TRIREDRAFT_102998
KEY:TRIREDRAFT_102999	TRIREDRAFT_102999
KEY:TRIREDRAFT_103002	TRIREDRAFT_103002
KEY:TRIREDRAFT_103006	TRIREDRAFT_103006
KEY:TRIREDRAFT_103009	TRIREDRAFT_103009
KEY:TRIREDRAFT_103012	TRIREDRAFT_103012
KEY:TRIREDRAFT_103015	TRIREDRAFT_103015
KEY:TRIREDRAFT_103016	TRIREDRAFT_103016
KEY:TRIREDRAFT_103023	TRIREDRAFT_103023
KEY:TRIREDRAFT_103028	TRIREDRAFT_103028
KEY:TRIREDRAFT_103031	TRIREDRAFT_103031
KEY:TRIREDRAFT_103032	TRIREDRAFT_103032
KEY:TRIREDRAFT_103033	TRIREDRAFT_103033
KEY:TRIREDRAFT_103034	TRIREDRAFT_103034
KEY:TRIREDRAFT_103039	TRIREDRAFT_103039
KEY:TRIREDRAFT_103041	TRIREDRAFT_103041
KEY:TRIREDRAFT_103043	TRIREDRAFT_103043
KEY:TRIREDRAFT_103044	TRIREDRAFT_103044
KEY:TRIREDRAFT_103045	TRIREDRAFT_103045
KEY:TRIREDRAFT_103048	TRIREDRAFT_103048
KEY:TRIREDRAFT_103049	TRIREDRAFT_103049
KEY:TRIREDRAFT_103050	TRIREDRAFT_103050
KEY:TRIREDRAFT_103059	TRIREDRAFT_103059
KEY:TRIREDRAFT_103060	TRIREDRAFT_103060
KEY:TRIREDRAFT_103061	TRIREDRAFT_103061
KEY:TRIREDRAFT_103062	TRIREDRAFT_103062
KEY:TRIREDRAFT_103063	TRIREDRAFT_103063
KEY:TRIREDRAFT_103064	TRIREDRAFT_103064
KEY:TRIREDRAFT_103065	TRIREDRAFT_103065
KEY:TRIREDRAFT_103073	TRIREDRAFT_103073
KEY:TRIREDRAFT_103080	TRIREDRAFT_103080
KEY:TRIREDRAFT_103103	TRIREDRAFT_103103
KEY:TRIREDRAFT_103108	TRIREDRAFT_103108
KEY:TRIREDRAFT_103112	TRIREDRAFT_103112
KEY:TRIREDRAFT_103113	TRIREDRAFT_103113
KEY:TRIREDRAFT_103114	TRIREDRAFT_103114
KEY:TRIREDRAFT_103119	TRIREDRAFT_103119
KEY:TRIREDRAFT_103121	TRIREDRAFT_103121
KEY:TRIREDRAFT_103122	TRIREDRAFT_103122
KEY:TRIREDRAFT_103127	TRIREDRAFT_103127
KEY:TRIREDRAFT_103129	TRIREDRAFT_103129
KEY:TRIREDRAFT_103130	TRIREDRAFT_103130
KEY:TRIREDRAFT_103131	TRIREDRAFT_103131
KEY:TRIREDRAFT_103132	TRIREDRAFT_103132
KEY:TRIREDRAFT_103133	TRIREDRAFT_103133
KEY:TRIREDRAFT_103134	TRIREDRAFT_103134
KEY:TRIREDRAFT_103135	TRIREDRAFT_103135
KEY:TRIREDRAFT_103136	TRIREDRAFT_103136
KEY:TRIREDRAFT_103138	TRIREDRAFT_103138
KEY:TRIREDRAFT_103143	TRIREDRAFT_103143
KEY:TRIREDRAFT_103145	TRIREDRAFT_103145
KEY:TRIREDRAFT_103147	TRIREDRAFT_103147
KEY:TRIREDRAFT_103149	TRIREDRAFT_103149
KEY:TRIREDRAFT_103153	TRIREDRAFT_103153
KEY:TRIREDRAFT_103155	TRIREDRAFT_103155
KEY:TRIREDRAFT_103156	TRIREDRAFT_103156
KEY:TRIREDRAFT_103157	TRIREDRAFT_103157
KEY:TRIREDRAFT_103158	TRIREDRAFT_103158
KEY:TRIREDRAFT_103162	TRIREDRAFT_103162
KEY:TRIREDRAFT_103167	TRIREDRAFT_103167
KEY:TRIREDRAFT_103172	TRIREDRAFT_103172
KEY:TRIREDRAFT_103174	TRIREDRAFT_103174
KEY:TRIREDRAFT_103175	TRIREDRAFT_103175
KEY:TRIREDRAFT_103176	TRIREDRAFT_103176
KEY:TRIREDRAFT_103177	TRIREDRAFT_103177
KEY:TRIREDRAFT_103179	TRIREDRAFT_103179
KEY:TRIREDRAFT_103180	TRIREDRAFT_103180
KEY:TRIREDRAFT_103186	TRIREDRAFT_103186
KEY:TRIREDRAFT_103189	TRIREDRAFT_103189
KEY:TRIREDRAFT_103191	TRIREDRAFT_103191
KEY:TRIREDRAFT_103193	TRIREDRAFT_103193
KEY:TRIREDRAFT_103205	TRIREDRAFT_103205
KEY:TRIREDRAFT_103209	TRIREDRAFT_103209
KEY:TRIREDRAFT_103215	TRIREDRAFT_103215
KEY:TRIREDRAFT_103222	TRIREDRAFT_103222
KEY:TRIREDRAFT_103230	TRIREDRAFT_103230
KEY:TRIREDRAFT_103236	TRIREDRAFT_103236
KEY:TRIREDRAFT_103252	TRIREDRAFT_103252
KEY:TRIREDRAFT_103273	TRIREDRAFT_103273
KEY:TRIREDRAFT_103275	TRIREDRAFT_103275
