tre01100	Metabolic pathways
tre00620	Pyruvate metabolism
tre03030	DNA replication
tre03410	Base excision repair
tre03420	Nucleotide excision repair
tre03430	Mismatch repair
tre03440	Homologous recombination
tre04111	Cell cycle - yeast
tre03040	Spliceosome
tre03018	RNA degradation
tre04141	Protein processing in endoplasmic reticulum
tre00562	Inositol phosphate metabolism
tre04070	Phosphatidylinositol signaling system
tre04011	MAPK signaling pathway - yeast
tre03020	RNA polymerase
tre03015	mRNA surveillance pathway
tre00970	Aminoacyl-tRNA biosynthesis
tre01110	Biosynthesis of secondary metabolites
tre01230	Biosynthesis of amino acids
tre00400	Phenylalanine, tyrosine and tryptophan biosynthesis
tre04814	Motor proteins
tre04144	Endocytosis
tre00040	Pentose and glucuronate interconversions
tre03010	Ribosome
tre03082	ATP-dependent chromatin remodeling
tre03083	Polycomb repressive complex
tre01200	Carbon metabolism
tre00020	Citrate cycle (TCA cycle)
tre00640	Propanoate metabolism
tre03008	Ribosome biogenesis in eukaryotes
tre00760	Nicotinate and nicotinamide metabolism
tre01240	Biosynthesis of cofactors
tre00740	Riboflavin metabolism
tre04130	SNARE interactions in vesicular transport
tre04145	Phagosome
tre03050	Proteasome
tre00564	Glycerophospholipid metabolism
tre04146	Peroxisome
tre00510	N-Glycan biosynthesis
tre00513	Various types of N-glycan biosynthesis
tre03022	Basal transcription factors
tre00280	Valine, leucine and isoleucine degradation
tre00410	beta-Alanine metabolism
tre00190	Oxidative phosphorylation
tre03013	Nucleocytoplasmic transport
tre00910	Nitrogen metabolism
tre00480	Glutathione metabolism
tre00130	Ubiquinone and other terpenoid-quinone biosynthesis
tre04113	Meiosis - yeast
tre00500	Starch and sucrose metabolism
tre00460	Cyanoamino acid metabolism
tre00999	Biosynthesis of various plant secondary metabolites
tre00250	Alanine, aspartate and glutamate metabolism
tre00230	Purine metabolism
tre00270	Cysteine and methionine metabolism
tre00340	Histidine metabolism
tre01212	Fatty acid metabolism
tre00062	Fatty acid elongation
tre01040	Biosynthesis of unsaturated fatty acids
tre04120	Ubiquitin mediated proteolysis
tre04138	Autophagy - yeast
tre00730	Thiamine metabolism
tre00790	Folate biosynthesis
tre00254	Aflatoxin biosynthesis
tre00520	Amino sugar and nucleotide sugar metabolism
tre00600	Sphingolipid metabolism
tre00531	Glycosaminoglycan degradation
tre00603	Glycosphingolipid biosynthesis - globo and isoglobo series
tre00604	Glycosphingolipid biosynthesis - ganglio series
tre00511	Other glycan degradation
tre01210	2-Oxocarboxylic acid metabolism
tre00300	Lysine biosynthesis
tre00350	Tyrosine metabolism
tre00360	Phenylalanine metabolism
tre00380	Tryptophan metabolism
tre00630	Glyoxylate and dicarboxylate metabolism
tre00010	Glycolysis / Gluconeogenesis
tre00053	Ascorbate and aldarate metabolism
tre00561	Glycerolipid metabolism
tre03060	Protein export
tre00061	Fatty acid biosynthesis
tre00920	Sulfur metabolism
tre04136	Autophagy - other
tre00071	Fatty acid degradation
tre00680	Methane metabolism
tre00330	Arginine and proline metabolism
tre01232	Nucleotide metabolism
tre04139	Mitophagy - yeast
tre00240	Pyrimidine metabolism
tre00590	Arachidonic acid metabolism
tre03250	Viral life cycle - HIV-1
tre00900	Terpenoid backbone biosynthesis
tre00220	Arginine biosynthesis
tre00565	Ether lipid metabolism
tre00052	Galactose metabolism
tre00770	Pantothenate and CoA biosynthesis
tre00051	Fructose and mannose metabolism
tre00650	Butanoate metabolism
tre02010	ABC transporters
tre00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
tre00860	Porphyrin metabolism
tre01250	Biosynthesis of nucleotide sugars
tre00310	Lysine degradation
tre00260	Glycine, serine and threonine metabolism
tre00660	C5-Branched dibasic acid metabolism
tre00290	Valine, leucine and isoleucine biosynthesis
tre00791	Atrazine degradation
tre00430	Taurine and hypotaurine metabolism
tre00750	Vitamin B6 metabolism
tre00030	Pentose phosphate pathway
tre00785	Lipoic acid metabolism
tre00780	Biotin metabolism
tre00670	One carbon pool by folate
tre00100	Steroid biosynthesis
tre00909	Sesquiterpenoid and triterpenoid biosynthesis
tre00450	Selenocompound metabolism
tre00591	Linoleic acid metabolism
tre00592	alpha-Linolenic acid metabolism
tre00261	Monobactam biosynthesis
tre00440	Phosphonate and phosphinate metabolism
tre00332	Carbapenem biosynthesis
tre00514	Other types of O-glycan biosynthesis
tre00515	Mannose type O-glycan biosynthesis
tre00073	Cutin, suberine and wax biosynthesis
tre00470	D-Amino acid metabolism
tre00404	Staurosporine biosynthesis
tre04122	Sulfur relay system
tre00904	Diterpenoid biosynthesis
tre03450	Non-homologous end-joining
tre01501	beta-Lactam resistance
tre00906	Carotenoid biosynthesis
tre00232	Caffeine metabolism
