Sample ID	Series Accession	Study Title	Condition	Related Sample	PMID
tr001001	GSE44648	Genome-wide transcriptional response of the filamentous fungus Trichoderma reesei to lignocellulose using RNA sequencing and comparison with Aspergillus niger	QM6a  Glucose  48h	GSM1088351,GSM1088352,GSM1088353	24060058
tr001002	GSE44648	Genome-wide transcriptional response of the filamentous fungus Trichoderma reesei to lignocellulose using RNA sequencing and comparison with Aspergillus niger	QM6a  Straw  24h	GSM1088354,GSM1088355,GSM1088356	24060058
tr001003	GSE44648	Genome-wide transcriptional response of the filamentous fungus Trichoderma reesei to lignocellulose using RNA sequencing and comparison with Aspergillus niger	QM6a  Straw + glucose  5h	GSM1088357,GSM1088358	24060058
tr002001	GSE66982	Transcriptional landscape of XYR1 in Trichoderma reesei during the degradation of cellulosic material	QM9414  Cellulose  	GSM1297497,GSM1297498,GSM1297499	26909077
tr002002	GSE66982	Transcriptional landscape of XYR1 in Trichoderma reesei during the degradation of cellulosic material	QM9414  Sophorose  	GSM1297500,GSM1297501,GSM1297502	26909077
tr002003	GSE66982	Transcriptional landscape of XYR1 in Trichoderma reesei during the degradation of cellulosic material	QM9414  Glucose  	GSM1297503,GSM1297505,GSM1297504	26909077
tr002004	GSE66982	Transcriptional landscape of XYR1 in Trichoderma reesei during the degradation of cellulosic material	Δxyr1  Cellulose  	GSM1635465,GSM1635466,GSM1635467	26909077
tr002005	GSE66982	Transcriptional landscape of XYR1 in Trichoderma reesei during the degradation of cellulosic material	Δxyr1  Sophorose  	GSM1635468,GSM1635469,GSM1635470	26909077
tr002006	GSE66982	Transcriptional landscape of XYR1 in Trichoderma reesei during the degradation of cellulosic material	Δxyr1  Glucose  	GSM1635471,GSM1635472,GSM1635473	26909077
tr003001	GSE57374	Genome-wide RNA-seq analysis during carbon catabolite repression in Trichoderma reesei reveals a multilevel control of cellulase production and action	Δcre1  Cellulose  	GSM1381336,GSM1381337,GSM1381338	25459535
tr003002	GSE57374	Genome-wide RNA-seq analysis during carbon catabolite repression in Trichoderma reesei reveals a multilevel control of cellulase production and action	Δcre1  Glucose  	GSM1381339,GSM1381340,GSM1381341	25459535
tr005001	GSE59600	The ß-importin KAP8 (Pse1/Kap121) is required for nuclear import of the cellulase transcriptional regulator XYR1, asexual sporulation and stress resistance in Trichoderma reesei	Tu-6 DeltaKap8  Sophorose  3h	GSM1440308,GSM1440309,GSM1440310	25626518
tr005002	GSE59600	The ß-importin KAP8 (Pse1/Kap121) is required for nuclear import of the cellulase transcriptional regulator XYR1, asexual sporulation and stress resistance in Trichoderma reesei	Tu-6 DeltaKap8  Glycerol  	GSM1440311,GSM1440312,GSM1440313	25626518
