Gene	GOID	ONTOLOGY	TERM
NCU00005	GO:0016020	CC	membrane
NCU00006	GO:0005515	MF	protein binding
NCU00008	GO:0016021	CC	integral component of membrane
NCU00010	GO:0016887	MF	ATPase activity
NCU00010	GO:0005524	MF	ATP binding
NCU00010	GO:0016021	CC	integral component of membrane
NCU00010	GO:0005524	MF	ATP binding
NCU00010	GO:0016021	CC	integral component of membrane
NCU00010	GO:0055085	BP	transmembrane transport
NCU00010	GO:0042626	MF	ATPase-coupled transmembrane transporter activity
NCU00010	GO:0005524	MF	ATP binding
NCU00015	GO:0055114	BP	oxidation-reduction process
NCU00017	GO:0042025	CC	host cell nucleus
NCU00017	GO:0008270	MF	zinc ion binding
NCU00017	GO:0000981	MF	DNA-binding transcription factor activity
NCU00017	GO:0006355	BP	 RNA polymerase II-specific
NCU00019	GO:0003700	MF	DNA-binding transcription factor activity
NCU00019	GO:0006355	BP	regulation of transcription
NCU00019	GO:0043565	MF	 DNA-templated
NCU00019	GO:0005515	MF	sequence-specific DNA binding
NCU00019	GO:0003700	MF	protein binding
NCU00019	GO:0043565	MF	DNA-binding transcription factor activity
NCU00019	GO:0006355	BP	sequence-specific DNA binding
NCU00021	GO:0005515	MF	protein binding
NCU00021	GO:0048312	BP	intracellular distribution of mitochondria
NCU00023	GO:0016491	MF	oxidoreductase activity
NCU00023	GO:0055114	BP	oxidation-reduction process
NCU00025	GO:0016021	CC	integral component of membrane
NCU00025	GO:0015165	MF	pyrimidine nucleotide-sugar transmembrane transporter activity
NCU00025	GO:0000139	CC	Golgi membrane
NCU00025	GO:0090481	BP	pyrimidine nucleotide-sugar transmembrane transport
NCU00025	GO:0016021	CC	integral component of membrane
NCU00027	GO:0006388	BP	tRNA splicing
NCU00027	GO:0000214	CC	 via endonucleolytic cleavage and ligation
NCU00027	GO:0000379	BP	tRNA-intron endonuclease complex
NCU00028	GO:0055114	BP	oxidation-reduction process
NCU00028	GO:0016491	MF	oxidoreductase activity
NCU00028	GO:0008270	MF	zinc ion binding
NCU00028	GO:0055114	BP	oxidation-reduction process
NCU00029	GO:0016020	CC	membrane
NCU00029	GO:0055085	BP	transmembrane transport
NCU00029	GO:0046873	MF	metal ion transmembrane transporter activity
NCU00029	GO:0030001	BP	metal ion transport
NCU00030	GO:0016787	MF	hydrolase activity
NCU00030	GO:0003676	MF	nucleic acid binding
NCU00030	GO:0046872	MF	metal ion binding
NCU00030	GO:0016787	MF	hydrolase activity
NCU00030	GO:0046872	MF	metal ion binding
NCU00030	GO:0003676	MF	nucleic acid binding
NCU00034	GO:0016021	CC	integral component of membrane
NCU00034	GO:0004671	MF	protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity
NCU00034	GO:0006481	BP	C-terminal protein methylation
NCU00034	GO:0005783	CC	endoplasmic reticulum
NCU00034	GO:0004671	MF	protein C-terminal S-isoprenylcysteine carboxyl O-methyltransferase activity
NCU00034	GO:0006481	BP	C-terminal protein methylation
NCU00037	GO:0005515	MF	protein binding
NCU00040	GO:0005852	CC	eukaryotic translation initiation factor 3 complex
NCU00041	GO:0007186	BP	G protein-coupled receptor signaling pathway
NCU00041	GO:0031681	MF	G-protein beta-subunit binding
NCU00041	GO:0007186	BP	G protein-coupled receptor signaling pathway
NCU00041	GO:0000750	BP	pheromone-dependent signal transduction involved in conjugation with cellular fusion
NCU00043	GO:0016787	MF	hydrolase activity
NCU00043	GO:0072357	CC	PTW/PP1 phosphatase complex
NCU00043	GO:0004722	MF	protein serine/threonine phosphatase activity
NCU00043	GO:0000164	CC	protein phosphatase type 1 complex
NCU00050	GO:0016746	MF	transferase activity
NCU00052	GO:0008410	MF	CoA-transferase activity
NCU00054	GO:0003677	MF	DNA binding
NCU00054	GO:0005634	CC	nucleus
NCU00054	GO:0006351	BP	transcription
NCU00054	GO:0008270	MF	 DNA-templated
NCU00055	GO:0008199	MF	ferric iron binding
NCU00055	GO:0003824	MF	catalytic activity
NCU00055	GO:0006725	BP	cellular aromatic compound metabolic process
NCU00055	GO:0055114	BP	oxidation-reduction process
NCU00055	GO:0016702	MF	oxidoreductase activity
NCU00055	GO:0055114	BP	 acting on single donors with incorporation of molecular oxygen
NCU00055	GO:0005506	MF	 incorporation of two atoms of oxygen
NCU00055	GO:0009712	BP	oxidation-reduction process
NCU00055	GO:0055114	BP	iron ion binding
NCU00055	GO:0018576	MF	catechol-containing compound metabolic process
NCU00055	GO:0005506	MF	oxidation-reduction process
NCU00055	GO:0016702	MF	catechol 1
NCU00056	GO:0003824	MF	catalytic activity
NCU00056	GO:0006633	BP	fatty acid biosynthetic process
NCU00056	GO:0016747	MF	transferase activity
NCU00061	GO:0005975	BP	carbohydrate metabolic process
NCU00061	GO:0004553	MF	hydrolase activity
NCU00065	GO:0008033	BP	tRNA processing
NCU00065	GO:0017150	MF	tRNA dihydrouridine synthase activity
NCU00065	GO:0055114	BP	oxidation-reduction process
NCU00065	GO:0050660	MF	flavin adenine dinucleotide binding
NCU00065	GO:0003824	MF	catalytic activity
NCU00065	GO:0008033	BP	tRNA processing
NCU00065	GO:0055114	BP	oxidation-reduction process
NCU00065	GO:0017150	MF	tRNA dihydrouridine synthase activity
NCU00065	GO:0050660	MF	flavin adenine dinucleotide binding
NCU00066	GO:0003723	MF	RNA binding
NCU00066	GO:0005515	MF	protein binding
NCU00067	GO:0030234	MF	enzyme regulator activity
