Chr	Start	End	Length	Abs_summit	Pileup	Fold_enrichment	Pvalue	Name
chromosome_1	2721	3049	329	2819	47.98	1.35578	0.0322985	peak_1
chromosome_1	2721	3049	329	2991	53.62	1.51203	0.370154	peak_1b
chromosome_1	3226	3426	201	3340	52.92	1.4925	0.283806	peak_2
chromosome_1	3585	4375	791	3616	45.86	1.29719	0.0	peak_3a
chromosome_1	3585	4375	791	3869	52.21	1.47297	0.283806	peak_3b
chromosome_1	3585	4375	791	4105	47.27	1.33625	0.0322985	peak_3c
chromosome_1	3585	4375	791	4299	52.92	1.4925	0.283806	peak_3d
chromosome_1	5117	5383	267	5169	50.8	1.43391	0.185774	peak_4
chromosome_1	6144	6429	286	6220	50.09	1.41438	0.185774	peak_5
chromosome_1	8764	8910	147	8826	45.16	1.27766	0.0	peak_6
chromosome_1	9650	10204	555	9719	48.68	1.37531	0.0999776	peak_7a
chromosome_1	9650	10204	555	9939	55.74	1.57062	0.479285	peak_7b
chromosome_1	10379	10552	174	10473	47.27	1.33625	0.0322985	peak_8
chromosome_1	12393	13166	774	12648	55.74	1.57062	0.479285	peak_9a
chromosome_1	12393	13166	774	12930	45.16	1.27766	0.0	peak_9b
chromosome_1	13603	13957	355	13644	45.86	1.29719	0.0	peak_10
chromosome_1	15006	15180	175	15095	47.27	1.33625	0.0322985	peak_11
chromosome_1	15958	16474	517	16011	47.98	1.35578	0.0322985	peak_12a
chromosome_1	15958	16474	517	16267	48.68	1.37531	0.0999776	peak_12b
chromosome_1	16970	17367	398	17222	59.27	1.66828	0.697535	peak_13
chromosome_1	17551	17711	161	17631	50.09	1.41438	0.185774	peak_14
chromosome_1	18414	18817	404	18552	52.21	1.47297	0.283806	peak_15
chromosome_1	19051	19314	264	19123	47.98	1.35578	0.0322985	peak_16a
chromosome_1	19051	19314	264	19231	47.98	1.35578	0.0322985	peak_16b
chromosome_1	20381	20758	378	20557	47.98	1.35578	0.0322985	peak_17
chromosome_1	21577	21938	362	21698	52.21	1.47297	0.283806	peak_18
chromosome_1	23543	23823	281	23627	47.27	1.33625	0.0322985	peak_19
chromosome_1	24214	24445	232	24335	47.98	1.35578	0.0322985	peak_20
chromosome_1	24804	25030	227	24950	50.09	1.41438	0.185774	peak_21
chromosome_1	26356	26688	333	26423	46.57	1.31672	0.0205677	peak_22
chromosome_1	28585	28896	312	28640	49.39	1.39484	0.170141	peak_23a
chromosome_1	28585	28896	312	28875	46.57	1.31672	0.0205677	peak_23b
chromosome_1	29421	29999	579	29680	47.27	1.33625	0.0322985	peak_24a
chromosome_1	29421	29999	579	29902	48.68	1.37531	0.0999776	peak_24b
chromosome_1	31480	31810	331	31528	45.86	1.29719	0.0	peak_25
chromosome_1	33652	33815	164	33736	48.68	1.37531	0.0999776	peak_26
chromosome_1	36497	37271	775	36537	45.16	1.27766	0.0	peak_27a
chromosome_1	36497	37271	775	36663	45.16	1.27766	0.0	peak_27b
chromosome_1	36497	37271	775	36773	47.98	1.35578	0.0322985	peak_27c
chromosome_1	36497	37271	775	37167	49.39	1.36186	0.0999776	peak_27d
chromosome_1	37711	37960	250	37854	52.92	1.4925	0.283806	peak_28
chromosome_1	38212	38559	348	38284	51.51	1.45344	0.263606	peak_29
chromosome_1	39505	40065	561	39553	45.16	1.27766	0.0	peak_30a
chromosome_1	39505	40065	561	39911	47.98	1.35578	0.0322985	peak_30b
chromosome_1	40405	40719	315	40462	47.98	1.35578	0.0322985	peak_31a
chromosome_1	40405	40719	315	40670	51.51	1.45344	0.263606	peak_31b
chromosome_1	40898	41145	248	40956	46.57	1.31672	0.0205677	peak_32
chromosome_1	199394	199607	214	199424	54.33	1.2471	0.0	peak_33
chromosome_1	230906	231494	589	230941	49.39	1.263	0.0	peak_34a
chromosome_1	230906	231494	589	231202	49.39	1.26207	0.0	peak_34b
chromosome_1	230906	231494	589	231254	50.09	1.26946	0.0	peak_34c
chromosome_1	230906	231494	589	231409	55.74	1.41434	0.213873	peak_34d
chromosome_1	237777	237947	171	237934	66.32	1.43238	0.370154	peak_35
chromosome_1	271139	271536	398	271250	58.56	1.64875	0.681741	peak_36
chromosome_1	274255	274463	209	274350	47.98	1.35578	0.0322985	peak_37
chromosome_1	276337	276525	189	276430	52.92	1.4925	0.283806	peak_38
chromosome_1	277589	277978	390	277635	45.16	1.27766	0.0	peak_39a
chromosome_1	277589	277978	390	277867	46.57	1.31672	0.0205677	peak_39b
chromosome_1	279433	279584	152	279562	50.09	1.41438	0.185774	peak_40
chromosome_1	308326	308500	175	308420	50.8	1.43391	0.185774	peak_41
chromosome_1	329474	329783	310	329542	47.27	1.33625	0.0322985	peak_42
chromosome_1	332537	332976	440	332883	52.21	1.47297	0.283806	peak_43
chromosome_1	334606	334893	288	334706	45.16	1.27766	0.0	peak_44a
chromosome_1	334606	334893	288	334720	45.16	1.27766	0.0	peak_44b
chromosome_1	345452	345700	249	345516	47.98	1.35578	0.0322985	peak_45
chromosome_1	345886	346111	226	346021	45.16	1.27766	0.0	peak_46
chromosome_1	347577	347855	279	347649	45.86	1.29719	0.0	peak_47a
chromosome_1	347577	347855	279	347723	45.16	1.27766	0.0	peak_47b
chromosome_1	356072	356242	171	356104	45.16	1.27766	0.0	peak_48
chromosome_1	359945	360097	153	360070	50.8	1.43391	0.185774	peak_49
chromosome_1	365075	365536	462	365198	57.86	1.62922	0.586256	peak_50a
chromosome_1	365075	365536	462	365443	46.57	1.31672	0.0205677	peak_50b
chromosome_1	390039	390230	192	390091	45.86	1.29719	0.0	peak_51
chromosome_1	402223	402438	216	402285	47.98	1.35578	0.0322985	peak_52
chromosome_1	408712	409014	303	408781	49.39	1.39484	0.170141	peak_53
chromosome_1	414887	415278	392	414931	47.27	1.33625	0.0322985	peak_54a
chromosome_1	414887	415278	392	415198	47.27	1.33625	0.0322985	peak_54b
chromosome_1	416632	416818	187	416731	46.57	1.31672	0.0205677	peak_55
chromosome_1	436138	436322	185	436190	51.51	1.30166	0.0322985	peak_56
chromosome_1	477241	477713	473	477333	47.27	1.28877	0.0160507	peak_57a
chromosome_1	477241	477713	473	477429	50.8	1.3884	0.170141	peak_57b
chromosome_1	477241	477713	473	477638	52.92	1.40098	0.185774	peak_57c
chromosome_1	477888	480713	2826	477955	53.62	1.33756	0.0923706	peak_58a
chromosome_1	477888	480713	2826	478154	54.33	1.25745	0.0	peak_58b
chromosome_1	477888	480713	2826	478403	52.21	1.38794	0.185774	peak_58c
chromosome_1	477888	480713	2826	478577	57.86	1.54883	0.479285	peak_58d
chromosome_1	477888	480713	2826	478890	59.97	1.68781	0.697535	peak_58e
chromosome_1	477888	480713	2826	479187	61.38	1.52154	0.479285	peak_58f
chromosome_1	477888	480713	2826	479566	64.21	1.67193	0.835095	peak_58g
chromosome_1	477888	480713	2826	479932	59.27	1.66828	0.697535	peak_58h
chromosome_1	477888	480713	2826	480441	54.33	1.53156	0.457835	peak_58i
