Gene	Description	Symbol	EC
TRIREDRAFT_102377	AT hook motif		
TRIREDRAFT_102378	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family		
TRIREDRAFT_102379			
TRIREDRAFT_102381	ef-hand superfamily ca2 -modulated protein		
TRIREDRAFT_102382	Hydroxyacylglutathione hydrolase C-terminus(GLO2)		3.1.2.6
TRIREDRAFT_102383	Las1-like(LAS1)		
TRIREDRAFT_102385			
TRIREDRAFT_102386			
TRIREDRAFT_102401	DNA polymerase alpha/epsilon subunit B(cdc1)		
TRIREDRAFT_102403	Mis6		
TRIREDRAFT_102411			
TRIREDRAFT_102414			
TRIREDRAFT_102416	Amino acid permease		
TRIREDRAFT_102437			
TRIREDRAFT_102441	SCP / Tpx-1 / Ag5 / PR-1 / Sc7 family of extracellular domains.		
TRIREDRAFT_102444	Protein similar to CwfJ C-terminus 2		
TRIREDRAFT_102451			
TRIREDRAFT_102454			
TRIREDRAFT_102458	RQC(SGS1)		3.6.4.12
TRIREDRAFT_102461	helicase superfamily c-terminal domain(MPH1)		3.6.4.12
TRIREDRAFT_102464	helix loop helix domain		
TRIREDRAFT_102467			
TRIREDRAFT_102468			
TRIREDRAFT_102476	CRT10		
TRIREDRAFT_102482			
TRIREDRAFT_102487	Cytochrome P450		1.14.14.54
TRIREDRAFT_102489			
TRIREDRAFT_102492	short chain dehydrogenase		
TRIREDRAFT_102497	Fungal specific transcription factor domain		
TRIREDRAFT_102499	GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain		
TRIREDRAFT_102500			
TRIREDRAFT_102504	Ankyrin repeats (3 copies)		
TRIREDRAFT_102512	Conserved region of Rad21 / Rec8 like protein(MCD1)		
TRIREDRAFT_102521			
TRIREDRAFT_102554	snRNP Sm proteins		
TRIREDRAFT_102555	Inosine-uridine preferring nucleoside hydrolase		
TRIREDRAFT_102559	Rhomboid family		3.4.21.105
TRIREDRAFT_102561	FAD binding domain		
TRIREDRAFT_102562	Bacterial protein of unknown function (DUF899)		
TRIREDRAFT_102567			
TRIREDRAFT_102572	PPIC-type PPIASE domain		5.2.1.8
TRIREDRAFT_102579	BRE1 E3 ubiquitin ligase(BRE1)		2.3.2.27
TRIREDRAFT_102581	XPC-binding domain(RAD23)		
TRIREDRAFT_102582			
TRIREDRAFT_102593	39S mitochondrial ribosomal protein L46		
TRIREDRAFT_102599	Thiamine-binding protein(ECM15)		
TRIREDRAFT_102603	PHF5-like protein(ini1)		
TRIREDRAFT_102607	Life-span regulatory factor		
TRIREDRAFT_102612	Phosphorylates Ins(1,3,4,5,6)P5 at position 2 to form Ins(1,2,3,4,5,6)P6 (InsP6 or phytate)(IPK1)		2.7.1.158
TRIREDRAFT_102616	Anaphase-promoting complex, cyclosome, subunit 3(SSN6)		
TRIREDRAFT_102617	Eukaryotic integral membrane protein (DUF1751)		
TRIREDRAFT_102619			
TRIREDRAFT_102627			
TRIREDRAFT_102637			
TRIREDRAFT_102640	DNA-directed RNA polymerase III subunit Rpc31(RPC31)		
TRIREDRAFT_102641			
TRIREDRAFT_102648			
TRIREDRAFT_102650	Uncharacterised protein family UPF0047		
TRIREDRAFT_102652	zinc finger		
TRIREDRAFT_102655	3'5'-cyclic nucleotide phosphodiesterase(PDE2)		3.1.4.17
TRIREDRAFT_102659	Belongs to the small GTPase superfamily. Arf family(ARL1)		
TRIREDRAFT_102668	Fungal protein of unknown function (DUF1770)		
TRIREDRAFT_102672	Telomerase activating protein Est1		
TRIREDRAFT_102673	zinc finger		
TRIREDRAFT_102676	RNA polymerase Rpb3/Rpb11 dimerisation domain(RPC19)		
TRIREDRAFT_102677			
TRIREDRAFT_102680			
TRIREDRAFT_102686			
TRIREDRAFT_102694	SPO76 protein(PDS5)		
TRIREDRAFT_102700	Anticodon binding domain(GRS1)		6.1.1.14
TRIREDRAFT_102705	DNA binding domain with preference for A/T rich regions		
TRIREDRAFT_102711	PAS domain(FUN31)		
TRIREDRAFT_102723	Domain in Tre-2, BUB2p, and Cdc16p. Probable Rab-GAPs.		
TRIREDRAFT_102735	Domain of unknown function (DUF1996)		
TRIREDRAFT_102737	Velvet factor		
TRIREDRAFT_102738	c6 transcription factor		
TRIREDRAFT_102743			
TRIREDRAFT_102744	Anthranilate synthase component I, N terminal region(TRP2)		4.1.3.27
TRIREDRAFT_102763			
TRIREDRAFT_102766	Aldo/keto reductase family		1.1.1.358
TRIREDRAFT_102769	Get5 carboxyl domain		
TRIREDRAFT_102772			
TRIREDRAFT_102773			
TRIREDRAFT_102774			
TRIREDRAFT_102775			
TRIREDRAFT_102776			
TRIREDRAFT_102778			
TRIREDRAFT_102779			
TRIREDRAFT_102780			
TRIREDRAFT_102785			
TRIREDRAFT_102787			
TRIREDRAFT_102788			
TRIREDRAFT_102789			
TRIREDRAFT_102794	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)		5.2.1.8
TRIREDRAFT_102799			
TRIREDRAFT_102813	Dynein associated protein		
TRIREDRAFT_102816	GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain		
TRIREDRAFT_102820	Belongs to the multicopper oxidase family		
TRIREDRAFT_102830			
TRIREDRAFT_102836	RTA1 like protein		
TRIREDRAFT_102837	CFEM domain		
TRIREDRAFT_102846	positive regulation of MDA-5 signaling pathway		
TRIREDRAFT_102850			
TRIREDRAFT_102851			
TRIREDRAFT_102855	Methyltransferase domain(TRM9)		2.1.1.229
TRIREDRAFT_102863	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain		
TRIREDRAFT_102864	methyltransferase activity		
TRIREDRAFT_102870	GYF domain(SMY2)		
TRIREDRAFT_102871			
TRIREDRAFT_102876			
TRIREDRAFT_102884			
TRIREDRAFT_102887			
TRIREDRAFT_102890	DUF218 domain		
TRIREDRAFT_102892			
TRIREDRAFT_102901	Belongs to the complex I LYR family		
TRIREDRAFT_102904			
TRIREDRAFT_102906			
TRIREDRAFT_102908	Alternaria alternata allergen 1		
TRIREDRAFT_102909	Glycosyl hydrolases family 2, sugar binding domain		
TRIREDRAFT_102910	Protein tyrosine kinase		
TRIREDRAFT_102920	zinc finger		
TRIREDRAFT_102927			
TRIREDRAFT_102933			
TRIREDRAFT_102935			
TRIREDRAFT_102936			
TRIREDRAFT_102938			
TRIREDRAFT_102941	Vta1 like		
TRIREDRAFT_102947	Broad-Complex, Tramtrack and Bric a brac		
TRIREDRAFT_102952	Broad-Complex, Tramtrack and Bric a brac		
TRIREDRAFT_102953	Major Facilitator Superfamily		
TRIREDRAFT_102957	Belongs to the iron ascorbate-dependent oxidoreductase family		
TRIREDRAFT_102960			
TRIREDRAFT_102964			
TRIREDRAFT_102966	Protein of unknown function (DUF1349)		
TRIREDRAFT_102970			
TRIREDRAFT_102973	transcriptional corepressor of histone genes(HIR3)		
TRIREDRAFT_102976	DNA directed RNA polymerase, 7 kDa subunit(RPC10)		
TRIREDRAFT_102980	Belongs to the ubiquitin-conjugating enzyme family		3.4.21.89
TRIREDRAFT_102985			
TRIREDRAFT_102989	WD40 repeats		
TRIREDRAFT_102996	NAD dependent epimerase dehydratase		
TRIREDRAFT_102998	ADP-ribosylglycohydrolase		
TRIREDRAFT_102999			
TRIREDRAFT_103002			
TRIREDRAFT_103006	Putative oxalocrotonate tautomerase enzyme		
TRIREDRAFT_103009			
TRIREDRAFT_103012	Taurine catabolism dioxygenase TauD, TfdA family		
TRIREDRAFT_103015	NADH:flavin oxidoreductase / NADH oxidase family		1.6.99.1
TRIREDRAFT_103016			
TRIREDRAFT_103023			
TRIREDRAFT_103028	GTP cyclohydrolase I		3.5.4.16
TRIREDRAFT_103031			
TRIREDRAFT_103032	Male sterility protein		
TRIREDRAFT_103033	Alginate lyase		
TRIREDRAFT_103034	GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain		
TRIREDRAFT_103039	Peptidase family S51		
TRIREDRAFT_103041	Acetamidase/Formamidase family		
TRIREDRAFT_103043	calcium ion binding(RPTN)		
TRIREDRAFT_103044			
TRIREDRAFT_103045			
TRIREDRAFT_103048			
TRIREDRAFT_103049	Glycosyl hydrolases family 28		3.2.1.15
TRIREDRAFT_103050			
TRIREDRAFT_103059			
TRIREDRAFT_103060	Subtilase family		
TRIREDRAFT_103061			
TRIREDRAFT_103062			
TRIREDRAFT_103063			
TRIREDRAFT_103064	WD40 repeats		
TRIREDRAFT_103065	Heterokaryon incompatibility protein (HET)		
TRIREDRAFT_103073	Subtilase family		
TRIREDRAFT_103080			
TRIREDRAFT_103103	Acetyltransferase (GNAT) domain		
TRIREDRAFT_103108	Phytanoyl-CoA dioxygenase (PhyH)		
TRIREDRAFT_103112			
TRIREDRAFT_103113	Enoyl-(Acyl carrier protein) reductase		1.1.1.349
TRIREDRAFT_103114	Methyltransferase		
TRIREDRAFT_103119	Belongs to the metallo-dependent hydrolases superfamily. Peptidase M19 family		3.4.13.19
TRIREDRAFT_103121			
TRIREDRAFT_103122	Belongs to the cytochrome P450 family		
TRIREDRAFT_103127			
TRIREDRAFT_103129			
TRIREDRAFT_103130			
TRIREDRAFT_103131			
TRIREDRAFT_103132	Semialdehyde dehydrogenase, NAD binding domain		1.2.1.38,2.7.2.8
TRIREDRAFT_103133			
TRIREDRAFT_103134			
TRIREDRAFT_103135			
TRIREDRAFT_103136	FMN-dependent dehydrogenase		1.1.2.3
TRIREDRAFT_103138	Fungal specific transcription factor domain		
TRIREDRAFT_103143			
TRIREDRAFT_103145			
TRIREDRAFT_103147	Belongs to the cytochrome P450 family		
TRIREDRAFT_103149	ATPase family associated with various cellular activities (AAA)		
TRIREDRAFT_103153			
TRIREDRAFT_103155			
TRIREDRAFT_103156			
TRIREDRAFT_103157	Polyketide cyclase / dehydrase and lipid transport		
TRIREDRAFT_103158	Fungal specific transcription factor domain		
TRIREDRAFT_103162	Serine-threonine rich protein		
TRIREDRAFT_103167	4F5 protein family		
TRIREDRAFT_103172			
TRIREDRAFT_103174			
TRIREDRAFT_103175	Epoxide hydrolase N terminus		3.3.2.9
TRIREDRAFT_103176			
TRIREDRAFT_103177	Glutathione S-transferase, C-terminal domain		
TRIREDRAFT_103179			
TRIREDRAFT_103180	N-terminal domain of NWD NACHT-NTPase		
TRIREDRAFT_103186			
TRIREDRAFT_103189	Heterokaryon incompatibility protein (HET)		
TRIREDRAFT_103191			
TRIREDRAFT_103193	Ankyrin repeats (many copies)		
TRIREDRAFT_103205			
TRIREDRAFT_103209	Subunit 17 of Mediator complex(SRB4)		
TRIREDRAFT_103215	Belongs to the cytochrome P450 family		
TRIREDRAFT_103222	Ribosomal protein S14p/S29e(RPS29)		
TRIREDRAFT_103230	Fungal specific transcription factor domain		
TRIREDRAFT_103236	LPXTG-domain-containing protein		
TRIREDRAFT_103252			
TRIREDRAFT_103273	WD domain, G-beta repeat(ELP2)		
TRIREDRAFT_103275	Zinc finger, C2H2 type(AZF1)		
TRIREDRAFT_103276			
TRIREDRAFT_103282			
TRIREDRAFT_103286			
TRIREDRAFT_103291	snRNP Sm proteins		
TRIREDRAFT_103302	PGAP1-like protein		
TRIREDRAFT_103303	Heterokaryon incompatibility protein (HET)		
TRIREDRAFT_103311	Histone-binding protein RBBP4 or subunit C of CAF1 complex(HAT2)		
TRIREDRAFT_103312			
TRIREDRAFT_103321	Ubiquitin Carboxyl-terminal Hydrolase-like zinc finger(ubp10)		
TRIREDRAFT_103322	Belongs to the eukaryotic initiation factor 4E family		
TRIREDRAFT_103330			
TRIREDRAFT_103335			
TRIREDRAFT_103336			
TRIREDRAFT_103348	Exosome complex exonuclease RRP4 N-terminal region(rrp4)		
TRIREDRAFT_103350	Mitochondrial ribosomal subunit protein(RSM24)		
TRIREDRAFT_103356	Domain of unknown function (DUF202)(nrf1)		
TRIREDRAFT_103364			
TRIREDRAFT_103366			
TRIREDRAFT_103372	Aft1 HRR domain(SKO1)		
TRIREDRAFT_103376	Component of the spliceosomal U1 snRNP, which is essential for recognition of the pre-mRNA 5' splice-site and the subsequent assembly of the spliceosome. U1-C is directly involved in initial 5' splice-site recognition for both constitutive and regulated alternative splicing. The interaction with the 5' splice-site seems to precede base-pairing between the pre-mRNA and the U1 snRNA. Stimulates commitment or early (E) complex formation by stabilizing the base pairing of the 5' end of the U1 snRNA and the 5' splice-site region(YHC1)		
TRIREDRAFT_103393			
TRIREDRAFT_103394			
TRIREDRAFT_103395	ATPase family associated with various cellular activities (AAA)		
TRIREDRAFT_103403	Ankyrin repeat		
TRIREDRAFT_103411			
TRIREDRAFT_103421			
TRIREDRAFT_103423			
TRIREDRAFT_103437			
TRIREDRAFT_103438	SnoaL-like domain		
TRIREDRAFT_103442	Protein of unknown function (DUF3626)		
TRIREDRAFT_103446	zinc finger		
TRIREDRAFT_103447	OTT_1508-like deaminase		
TRIREDRAFT_103451	ATP-grasp domain		6.2.1.4,6.2.1.5
TRIREDRAFT_103455			
TRIREDRAFT_103458	Glycosyl hydrolases family 25		
TRIREDRAFT_103459			
TRIREDRAFT_103463	F-box domain protein		
TRIREDRAFT_103470	RNA dependent RNA polymerase		2.7.7.48
TRIREDRAFT_103482	In Between Ring fingers		
TRIREDRAFT_103487	Glutathione S-transferase, N-terminal domain		
TRIREDRAFT_103498			
TRIREDRAFT_103506	AARP2CN (NUC121) domain(BMS1)		
TRIREDRAFT_103517	Haloacid dehalogenase-like hydrolase(SDT1)		
TRIREDRAFT_103537	Acetyltransferase (GNAT) family		
TRIREDRAFT_103555			
TRIREDRAFT_103560			
TRIREDRAFT_103563	RibD C-terminal domain(RIB7)		1.1.1.302
TRIREDRAFT_103576			
TRIREDRAFT_103579			
TRIREDRAFT_103594	PCI/PINT associated module		
TRIREDRAFT_103597			
TRIREDRAFT_103599	RNA recognition motif(ESF2)		
TRIREDRAFT_103613			
TRIREDRAFT_103614			
TRIREDRAFT_103618	SNARE-complex protein Syntaxin-18 N-terminus		
TRIREDRAFT_103625	Proteasome maturation factor UMP1		
TRIREDRAFT_103651			
TRIREDRAFT_103653			
TRIREDRAFT_103655	recombinase activity		
TRIREDRAFT_103660			
TRIREDRAFT_103668			
TRIREDRAFT_103669	Serine aminopeptidase, S33		
TRIREDRAFT_103671			
TRIREDRAFT_103683			
TRIREDRAFT_103694	integral membrane protein		
TRIREDRAFT_103695			
TRIREDRAFT_103703	Pex2 / Pex12 amino terminal region(PEX12)		
TRIREDRAFT_103712	Cation efflux family		
TRIREDRAFT_103715			
TRIREDRAFT_103720	Cofilin/tropomyosin-type actin-binding protein		
TRIREDRAFT_103725			
TRIREDRAFT_103739			
TRIREDRAFT_103740	Restriction endonuclease		
TRIREDRAFT_103745	CLASP N terminal(STU1)		
TRIREDRAFT_103747	Peptidase of plants and bacteria		
TRIREDRAFT_103751	GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain		
TRIREDRAFT_103754	Protein tyrosine kinase		
TRIREDRAFT_103755			
TRIREDRAFT_103756	ATP-dependent serine protease that mediates the selective degradation of misfolded, unassembled or oxidatively damaged polypeptides as well as certain short-lived regulatory proteins in the mitochondrial matrix. May also have a chaperone function in the assembly of inner membrane protein complexes. Participates in the regulation of mitochondrial gene expression and in the maintenance of the integrity of the mitochondrial genome. Binds to mitochondrial DNA in a site-specific manner(PIM1)		3.4.21.53
TRIREDRAFT_103761	TPR repeat(CNS1)		
TRIREDRAFT_103771	zinc finger		
TRIREDRAFT_103772	Alpha/beta hydrolase family		
TRIREDRAFT_103774			
TRIREDRAFT_103778			
TRIREDRAFT_103798			
TRIREDRAFT_103799	Amidohydrolase family		
TRIREDRAFT_103801			
TRIREDRAFT_103804			
TRIREDRAFT_103812			
TRIREDRAFT_103813	Protein kinase domain		
TRIREDRAFT_103822			
TRIREDRAFT_103825	GDSL-like Lipase/Acylhydrolase		
TRIREDRAFT_103827			
TRIREDRAFT_103844			
TRIREDRAFT_103850	Glycosyl transferases group 1(ALG1)		2.4.1.142
TRIREDRAFT_103852			
TRIREDRAFT_103853	Belongs to the mitochondrial carrier (TC 2.A.29) family(CRC1)		
TRIREDRAFT_103861	Src homology 3 domains		
TRIREDRAFT_103863			
TRIREDRAFT_103865			
TRIREDRAFT_103866	structural molecule activity		
TRIREDRAFT_103886	Fungal protein of unknown function (DUF1774)		
TRIREDRAFT_103898			
TRIREDRAFT_103900	Protein tyrosine kinase		
TRIREDRAFT_103907			
TRIREDRAFT_103917			
TRIREDRAFT_103920			
TRIREDRAFT_103930	protein alkylation(RKM5)		
TRIREDRAFT_103937	Mif2/CENP-C like(MIF2)		
TRIREDRAFT_103947	ARS binding protein 2		
TRIREDRAFT_103949	Sds3-like		
TRIREDRAFT_103951	Pyridoxal 5'-phosphate (PLP)-binding protein, which may be involved in intracellular homeostatic regulation of pyridoxal 5'-phosphate (PLP), the active form of vitamin B6		
TRIREDRAFT_103959			
TRIREDRAFT_103960	Carbon-nitrogen hydrolase(NIT2)		3.5.1.6
TRIREDRAFT_103973			
TRIREDRAFT_103993	EXOIII(REX4)		
TRIREDRAFT_103995	Pfam:DUF1237		
TRIREDRAFT_104000	Putative DNA-binding (bihelical) motif predicted to be involved in chromosomal organisation(RAD18)		2.3.2.27
TRIREDRAFT_104004	Transcription initiation factor(TFG1)		
TRIREDRAFT_104015	RNA polymerase subunit 8(RPB8)		
TRIREDRAFT_104016	PAXNEB protein(ELP4)		
TRIREDRAFT_104021	Pfam:DUF2454		
TRIREDRAFT_104046			
TRIREDRAFT_104050			
TRIREDRAFT_104054			
TRIREDRAFT_104059	Belongs to the short-chain dehydrogenases reductases (SDR) family		
TRIREDRAFT_104060	short chain dehydrogenase		
TRIREDRAFT_104061	Fungal specific transcription factor domain		
TRIREDRAFT_104064			
TRIREDRAFT_104067			
TRIREDRAFT_104071	Fungal specific transcription factor domain		
TRIREDRAFT_104072	Sugar (and other) transporter		
TRIREDRAFT_104073	Asp/Glu/Hydantoin racemase		
TRIREDRAFT_104075	Fungal specific transcription factor domain		
TRIREDRAFT_104077	Amino acid permease		
TRIREDRAFT_104079	Mortierella verticillata NRRL 6337		
TRIREDRAFT_104081	Luciferase-like monooxygenase		
TRIREDRAFT_104084	Protein of unknown function (DUF3445)		
TRIREDRAFT_104089			
TRIREDRAFT_104097			
TRIREDRAFT_104102	alpha/beta hydrolase fold		
TRIREDRAFT_104103	Enoyl-(Acyl carrier protein) reductase		
TRIREDRAFT_104104	Fungal specific transcription factor domain		
TRIREDRAFT_104106	Belongs to the mitochondrial carrier (TC 2.A.29) family(PET9)		
TRIREDRAFT_104109			
TRIREDRAFT_104115	Belongs to the cytochrome P450 family		
TRIREDRAFT_104116	Zinc-binding dehydrogenase		
TRIREDRAFT_104117	UvrD/REP helicase N-terminal domain		
TRIREDRAFT_104118			
TRIREDRAFT_104121	Adds the first Dol-P-Man derived mannose in an alpha-1,3 linkage to Man(5)GlcNAc(2)-PP-Dol(ALG3)		2.4.1.258
TRIREDRAFT_104132	Sin-like protein conserved region		
TRIREDRAFT_104135	Thioredoxin(TRX1)		
TRIREDRAFT_104137			
TRIREDRAFT_104140	Belongs to the 3-hydroxyisobutyrate dehydrogenase family		1.1.1.31
TRIREDRAFT_104141	KilA-N		
TRIREDRAFT_104152	Protein of unknown function (DUF2611)		
TRIREDRAFT_104156	Pfam:DUF2036		
TRIREDRAFT_104157			
TRIREDRAFT_104159	HORMA domain		
TRIREDRAFT_104161	Importin-beta N-terminal domain		
TRIREDRAFT_104168			
TRIREDRAFT_104171			
TRIREDRAFT_104173			
TRIREDRAFT_104174			
TRIREDRAFT_104175			
TRIREDRAFT_104179	NAD dependent epimerase/dehydratase family		
TRIREDRAFT_104180	NACHT domain		
TRIREDRAFT_104181			
TRIREDRAFT_104182	Fungal specific transcription factor domain		
TRIREDRAFT_104197	Amidohydrolase family		
TRIREDRAFT_104199	basic region leucin zipper		
TRIREDRAFT_104200	F-box domain-containing protein		
TRIREDRAFT_104201			
TRIREDRAFT_104202			
TRIREDRAFT_104203	FAD-NAD(P)-binding		
TRIREDRAFT_104206			
TRIREDRAFT_104207	Thioesterase superfamily		
TRIREDRAFT_104209			
TRIREDRAFT_104211	FKBP-type peptidyl-prolyl cis-trans isomerase		5.2.1.8
TRIREDRAFT_104215			
TRIREDRAFT_104217			
TRIREDRAFT_104219	Ankyrin repeats (many copies)		
TRIREDRAFT_104220			
TRIREDRAFT_104222	Acetyltransferase (GNAT) domain		
TRIREDRAFT_104227			
TRIREDRAFT_104228			
TRIREDRAFT_104230	Calcium-dependent channel, 7TM region, putative phosphate		
TRIREDRAFT_104231	integral membrane protein		
TRIREDRAFT_104239	Ribosome biogenesis protein SLX9		
TRIREDRAFT_104243			
TRIREDRAFT_104251	Capsule polysaccharide biosynthesis protein		
TRIREDRAFT_104260			
TRIREDRAFT_104261	Acetyltransferase (GNAT) family		
TRIREDRAFT_104263			
TRIREDRAFT_104272			
TRIREDRAFT_104276	aortic smooth muscle cell differentiation		
TRIREDRAFT_104277	Hydrophobic surface binding protein A		
TRIREDRAFT_104286			
TRIREDRAFT_104288	Phosphatidylethanolamine-binding protein		
TRIREDRAFT_104289			
TRIREDRAFT_104291			
TRIREDRAFT_104292	Pheromone		
TRIREDRAFT_104293	Fungal hydrophobin		
TRIREDRAFT_104294			
TRIREDRAFT_104295			
TRIREDRAFT_104301			
TRIREDRAFT_104302			
TRIREDRAFT_104304	C6 zinc finger		
TRIREDRAFT_104310			
TRIREDRAFT_104313			
TRIREDRAFT_104318	Reversible hydration of carbon dioxide		4.2.1.1
TRIREDRAFT_104320	Major Facilitator Superfamily		
TRIREDRAFT_104322	Major Facilitator Superfamily		
TRIREDRAFT_104325	Ydr279p protein family (RNase H2 complex component)		
TRIREDRAFT_104333	Ankyrin repeat		
TRIREDRAFT_104334			
TRIREDRAFT_104335	SnoaL-like polyketide cyclase		
TRIREDRAFT_104336	SnoaL-like polyketide cyclase		
TRIREDRAFT_104343			
TRIREDRAFT_104351			
TRIREDRAFT_104353			
